name,detector type,wavelength units,central wavelength,pivot wavelength,effective wavelength,Vega mag,Vega flux,Vega Jy,AB mag,AB flux,AB Jy,ST mag,ST flux,ST Jy
2MASS_H,photon,AA,16513.665,16494.947,16386.026,24.86218,1.1353e-10,1030.4,23.49470,4.0005e-10,3630.8,21.10000,3.6308e-09,32952
2MASS_J,photon,AA,12408.376,12390.788,12282.551,23.76733,3.1122e-10,1593.8,22.87344,7.0896e-10,3630.8,21.10000,3.6308e-09,18594
2MASS_Ks,photon,AA,21655.839,21638.144,21521.418,25.92165,4.279e-11,668.28,24.08405,2.3248e-10,3630.8,21.10000,3.6308e-09,56705
CFHT_CFH12K_CFH7406,photon,AA,4888.664,4888.514,4891.329,20.91452,4.3072e-09,3433.4,20.85383,4.5548e-09,3630.8,21.10000,3.6308e-09,2894.2
CFHT_CFH12K_CFH7504,photon,AA,5037.756,5037.593,5036.966,20.83347,4.641e-09,3928.6,20.91906,4.2892e-09,3630.8,21.10000,3.6308e-09,3073.4
CFHT_MEGAPRIME_CFH7605,photon,AA,6584.131,6584.080,6586.220,21.87242,1.7825e-09,2577.5,21.50042,2.5109e-09,3630.8,21.10000,3.6308e-09,5250.1
CFHT_MEGAPRIME_CFH7701,photon,AA,7777.761,7777.546,7776.431,22.26960,1.2364e-09,2494.7,21.86216,1.7994e-09,3630.8,21.10000,3.6308e-09,7326
CFHT_MEGAPRIME_CFH7803,photon,AA,8120.543,8120.356,8119.333,22.41563,1.0808e-09,2377.3,21.95582,1.6507e-09,3630.8,21.10000,3.6308e-09,7986
CFHT_MEGAPRIME_CFH9301,photon,AA,3751.495,3743.534,3832.257,20.74720,5.0248e-09,2348.9,20.27436,7.7671e-09,3630.8,21.10000,3.6308e-09,1697.2
CFHT_MEGAPRIME_CFH9401,photon,AA,4857.163,4837.610,4758.859,20.73576,5.078e-09,3964,20.83110,4.6511e-09,3630.8,21.10000,3.6308e-09,2834.3
CFHT_MEGAPRIME_CFH9601,photon,AA,6273.303,6262.157,6203.983,21.54954,2.3998e-09,3139.1,21.39157,2.7757e-09,3630.8,21.10000,3.6308e-09,4749.3
CFHT_MEGAPRIME_CFH9701,photon,AA,7761.463,7748.532,7680.130,22.25068,1.2581e-09,2519.7,21.85405,1.8129e-09,3630.8,21.10000,3.6308e-09,7271.4
CFHT_MEGAPRIME_CFH9702,photon,AA,7552.456,7538.442,7467.314,22.15632,1.3724e-09,2601.4,21.79436,1.9154e-09,3630.8,21.10000,3.6308e-09,6882.4
CFHT_MEGAPRIME_CFH9801,photon,AA,10140.025,10081.085,9806.089,23.03238,6.1242e-10,2076.1,22.42548,1.071e-09,3630.8,21.10000,3.6308e-09,12308
CFHT_WIRCAM_CFH8002,photon,AA,10258.798,10253.033,10221.172,23.06775,5.9279e-10,2078.7,22.46221,1.0354e-09,3630.8,21.10000,3.6308e-09,12732
CFHT_WIRCAM_CFH8101,photon,AA,12544.575,12535.955,12481.454,23.81821,2.9697e-10,1556.7,22.89874,6.9264e-10,3630.8,21.10000,3.6308e-09,19032
CFHT_WIRCAM_CFH8102,photon,AA,11892.282,11892.217,11891.784,23.61305,3.5874e-10,1692.3,22.78426,7.6965e-10,3630.8,21.10000,3.6308e-09,17128
CFHT_WIRCAM_CFH8103,photon,AA,12539.775,12531.357,12477.935,23.81703,2.973e-10,1557.3,22.89794,6.9315e-10,3630.8,21.10000,3.6308e-09,19018
CFHT_WIRCAM_CFH8104,photon,AA,10628.757,10628.698,10628.316,23.18804,5.3062e-10,1999.5,22.54035,9.6352e-10,3630.8,21.10000,3.6308e-09,13682
CFHT_WIRCAM_CFH8201,photon,AA,16309.536,16287.360,16157.567,24.81283,1.1881e-10,1051.4,23.46720,4.1032e-10,3630.8,21.10000,3.6308e-09,32128
CFHT_WIRCAM_CFH8202,photon,AA,16368.727,16346.781,16218.683,24.82653,1.1732e-10,1045.8,23.47511,4.0734e-10,3630.8,21.10000,3.6308e-09,32363
CFHT_WIRCAM_CFH8203,photon,AA,16918.976,16915.866,16896.584,24.96218,1.0354e-10,988.32,23.54942,3.8039e-10,3630.8,21.10000,3.6308e-09,34655
CFHT_WIRCAM_CFH8204,photon,AA,15892.062,15889.209,15872.816,24.73287,1.279e-10,1077.1,23.41346,4.3114e-10,3630.8,21.10000,3.6308e-09,30576
CFHT_WIRCAM_CFH8301,photon,AA,21518.558,21497.169,21357.648,25.89306,4.3931e-11,677.2,24.06985,2.3554e-10,3630.8,21.10000,3.6308e-09,55968
CFHT_WIRCAM_CFH8302,photon,AA,21497.446,21476.278,21337.705,25.88913,4.4091e-11,678.34,24.06774,2.3599e-10,3630.8,21.10000,3.6308e-09,55860
CFHT_WIRCAM_CFH8303,photon,AA,22245.679,22245.409,22243.617,26.03514,3.8543e-11,636.22,24.14415,2.1996e-10,3630.8,21.10000,3.6308e-09,59932
CFHT_WIRCAM_CFH8304,photon,AA,21300.219,21299.968,21296.060,25.85920,4.5323e-11,685.9,24.04984,2.3992e-10,3630.8,21.10000,3.6308e-09,54946
CFHT_WIRCAM_CFH8305,photon,AA,21719.874,21719.612,21719.882,25.98140,4.0499e-11,637.27,24.09221,2.3074e-10,3630.8,21.10000,3.6308e-09,57133
GALEX_FUV,photon,AA,1539.858,1536.405,1543.876,20.46601,6.5102e-09,512.61,18.34048,4.6112e-08,3630.8,21.10000,3.6308e-09,285.88
GALEX_NUV,photon,AA,2313.892,2299.245,2272.612,20.87808,4.4542e-09,785.45,19.21587,2.059e-08,3630.8,21.10000,3.6308e-09,640.25
GROUND_BESSELL_H,energy,AA,16470.918,16402.823,16314.950,24.83923,1.1596e-10,1040.7,23.48254,4.0456e-10,3630.8,21.10000,3.6308e-09,32585
GROUND_BESSELL_J,energy,AA,12369.874,12303.169,12211.948,23.74161,3.1868e-10,1609.1,22.85803,7.191e-10,3630.8,21.10000,3.6308e-09,18332
GROUND_BESSELL_K,energy,AA,22122.139,22027.455,21887.303,25.98930,4.0205e-11,650.71,24.12277,2.2433e-10,3630.8,21.10000,3.6308e-09,58764
GROUND_COUSINS_I,energy,AA,7900.363,7872.624,7841.777,22.30672,1.1948e-09,2470.2,21.88855,1.7562e-09,3630.8,21.10000,3.6308e-09,7506.2
GROUND_COUSINS_R,energy,AA,6555.370,6471.152,6389.949,21.64642,2.195e-09,3066,21.46286,2.5993e-09,3630.8,21.10000,3.6308e-09,5071.6
GROUND_JOHNSON_B,energy,AA,4347.526,4296.702,4316.313,20.51217,6.2393e-09,3842.2,20.57362,5.8959e-09,3630.8,21.10000,3.6308e-09,2235.9
GROUND_JOHNSON_U,energy,AA,3651.963,3634.688,3709.279,20.94618,4.1834e-09,1843.5,20.21028,8.2392e-09,3630.8,21.10000,3.6308e-09,1600
GROUND_JOHNSON_V,energy,AA,5504.666,5469.853,5438.690,21.09910,3.6338e-09,3626.5,21.09783,3.6381e-09,3630.8,21.10000,3.6308e-09,3623.5
GaiaDR2_BP,photon,nm,513.111,505.152,489.209,20.98173,4.0486e-09,3446.1,20.92506,4.2656e-09,3630.8,21.10000,3.6308e-09,3090.5
GaiaDR2_G,photon,nm,640.621,623.159,555.818,21.51011,2.4886e-09,3223.5,21.38094,2.803e-09,3630.8,21.10000,3.6308e-09,4703
GaiaDR2_RP,photon,nm,777.732,772.597,749.982,22.21978,1.2945e-09,2577.4,21.84771,1.8235e-09,3630.8,21.10000,3.6308e-09,7229.1
GaiaDR2_weiler_BPbright,photon,nm,516.469,509.180,491.288,20.97403,4.0775e-09,3526.2,20.94230,4.1983e-09,3630.8,21.10000,3.6308e-09,3139.9
GaiaDR2_weiler_BPfaint,photon,nm,511.777,503.849,485.197,20.96004,4.1303e-09,3497.6,20.91945,4.2876e-09,3630.8,21.10000,3.6308e-09,3074.5
GaiaDR2_weiler_G,photon,nm,639.736,622.878,555.060,21.49910,2.514e-09,3253.5,21.37996,2.8055e-09,3630.8,21.10000,3.6308e-09,4698.8
GaiaDR2_weiler_RP,photon,nm,783.046,777.495,752.320,22.23660,1.2746e-09,2570,21.86144,1.8006e-09,3630.8,21.10000,3.6308e-09,7321.1
GaiaDR2v2_BP,photon,nm,512.897,504.862,489.534,20.98536,4.0351e-09,3430.7,20.92381,4.2705e-09,3630.8,21.10000,3.6308e-09,3086.9
GaiaDR2v2_G,photon,nm,642.493,624.676,554.565,21.50742,2.4948e-09,3247.3,21.38622,2.7894e-09,3630.8,21.10000,3.6308e-09,4726
GaiaDR2v2_RP,photon,nm,779.919,774.087,748.140,22.22051,1.2936e-09,2585.6,21.85190,1.8165e-09,3630.8,21.10000,3.6308e-09,7257
Gaia_BP,photon,nm,520.126,513.385,493.855,20.97231,4.0839e-09,3590.4,20.96016,4.1299e-09,3630.8,21.10000,3.6308e-09,3192
Gaia_G,photon,nm,641.860,625.621,559.216,21.50762,2.4943e-09,3256.5,21.38950,2.781e-09,3630.8,21.10000,3.6308e-09,4740.3
Gaia_MAW_BP_bright,photon,nanometer,518.864,511.715,492.384,20.97522,4.073e-09,3557.5,20.95309,4.1568e-09,3630.8,21.10000,3.6308e-09,3171.3
Gaia_MAW_BP_faint,photon,nanometer,511.655,503.740,485.596,20.96267,4.1203e-09,3487.6,20.91898,4.2895e-09,3630.8,21.10000,3.6308e-09,3073.2
