# WAVELENGTH_UNIT	AA
# COMPNAME       	2MASS_H
# NAME           	2MASS_H
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
13000.000000,0.000000
13150.000000,0.000000
13410.000000,0.000000
13680.000000,0.000000
13970.000000,0.000000
14180.000000,0.000000
14400.000000,0.000500
14620.000000,0.002800
14780.000000,0.008100
14860.000000,0.028700
14930.000000,0.087100
15040.000000,0.201400
15150.000000,0.438200
15280.000000,0.686400
15390.000000,0.818100
15460.000000,0.882100
15510.000000,0.911800
15560.000000,0.926900
15650.000000,0.929300
15720.000000,0.872700
15770.000000,0.856600
15830.000000,0.882600
15920.000000,0.918100
15970.000000,0.926700
16020.000000,0.907600
16130.000000,0.926000
16190.000000,0.920500
16280.000000,0.924200
16330.000000,0.923500
16420.000000,0.941800
16480.000000,0.949100
16570.000000,0.980700
16590.000000,0.993700
16710.000000,1.000000
16840.000000,0.956100
17010.000000,0.924100
17150.000000,0.982100
17270.000000,0.991600
17390.000000,0.988700
17460.000000,0.979200
17510.000000,0.968200
17530.000000,0.937000
17560.000000,0.919000
17640.000000,0.842300
17750.000000,0.667100
17850.000000,0.269400
17900.000000,0.451600
17960.000000,0.173100
18030.000000,0.107700
18100.000000,0.070700
18130.000000,0.005100
18180.000000,0.020000
18280.000000,0.000400
18350.000000,0.000000
18500.000000,0.000100
18710.000000,0.000000
18930.000000,0.000000
19150.000000,0.000000
