# WAVELENGTH_UNIT	AA
# COMPNAME       	2MASS_J
# NAME           	2MASS_J
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
10620.000000,0.000000
10660.000000,0.000500
10700.000000,0.002000
10750.000000,0.003400
10780.000000,0.007100
10820.000000,0.015800
10840.000000,0.026200
10870.000000,0.039600
10890.000000,0.052300
10930.000000,0.066500
10960.000000,0.072700
11020.000000,0.092700
11050.000000,0.273600
11070.000000,0.341000
11090.000000,0.358400
11120.000000,0.380100
11160.000000,0.330700
11170.000000,0.239500
11200.000000,0.239400
11230.000000,0.283300
11280.000000,0.258200
11290.000000,0.251500
11320.000000,0.538100
11340.000000,0.223200
11380.000000,0.536900
11400.000000,0.110200
11430.000000,0.529200
11470.000000,0.261900
11540.000000,0.320200
11590.000000,0.174300
11640.000000,0.607000
11670.000000,0.617900
11700.000000,0.676300
11730.000000,0.727900
11750.000000,0.746500
11790.000000,0.830400
11820.000000,0.790300
11860.000000,0.809600
11880.000000,0.836900
11920.000000,0.836000
11950.000000,0.749900
11990.000000,0.708000
12020.000000,0.698800
12090.000000,0.704900
12160.000000,0.700400
12210.000000,0.732800
12270.000000,0.705700
12310.000000,0.842400
12360.000000,0.921900
12400.000000,0.952500
12440.000000,0.967600
12470.000000,0.959500
12530.000000,0.922700
12550.000000,0.893000
12580.000000,0.852900
12600.000000,0.802300
12650.000000,0.750100
12700.000000,0.678100
12750.000000,0.652400
12790.000000,0.638800
12860.000000,0.642400
12920.000000,0.648600
12970.000000,0.682400
13020.000000,0.752900
13050.000000,0.775900
13070.000000,0.811800
13100.000000,0.777000
13130.000000,0.721000
13160.000000,0.952500
13190.000000,0.855100
13230.000000,0.841400
13260.000000,1.000000
13300.000000,0.894700
13330.000000,0.854900
13340.000000,0.537900
13360.000000,0.279900
13390.000000,0.906500
13430.000000,0.689300
13460.000000,0.553300
13490.000000,0.243200
13530.000000,0.014400
13550.000000,0.000200
13600.000000,0.040100
13630.000000,0.004500
13700.000000,0.000300
13730.000000,0.037200
13770.000000,0.000500
13830.000000,0.000000
13880.000000,0.000100
13920.000000,0.003300
13950.000000,0.000300
13960.000000,0.008500
13980.000000,0.124200
13970.000000,0.024200
14000.000000,0.000100
14000.000000,0.000100
14020.000000,0.052100
14040.000000,0.010400
14060.000000,0.047800
14070.000000,0.000400
14100.000000,0.002400
14120.000000,0.005300
14160.000000,0.008600
14210.000000,0.000700
14260.000000,0.000300
14420.000000,0.000400
14590.000000,0.000300
14940.000000,0.000000
15000.000000,0.000000
