# WAVELENGTH_UNIT	AA
# COMPNAME       	2MASS_Ks
# NAME           	2MASS_Ks
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
18970.000000,0.000000
19150.000000,0.000000
19270.000000,0.000000
19340.000000,0.000200
19390.000000,0.000500
19480.000000,0.005400
19570.000000,0.011900
19620.000000,0.019700
19690.000000,0.042200
19760.000000,0.087300
19810.000000,0.152800
19890.000000,0.248200
19900.000000,0.190200
19980.000000,0.233900
20080.000000,0.294600
20140.000000,0.398200
20190.000000,0.336600
20280.000000,0.620700
20370.000000,0.765000
20450.000000,0.746400
20610.000000,0.625100
20720.000000,0.725500
20750.000000,0.689500
20820.000000,0.787900
20890.000000,0.818100
20990.000000,0.822800
21060.000000,0.863300
21130.000000,0.877800
21240.000000,0.895300
21240.000000,0.898200
21380.000000,0.918900
21450.000000,0.926800
21550.000000,0.926700
21690.000000,0.900900
21760.000000,0.922800
21850.000000,0.842800
21970.000000,0.945900
22080.000000,0.980400
22130.000000,0.987900
22180.000000,0.984800
22320.000000,0.964700
22370.000000,0.981600
22480.000000,0.983400
22560.000000,0.961300
22600.000000,0.979200
22630.000000,1.000000
22650.000000,0.963200
22700.000000,0.981200
22720.000000,0.968100
22760.000000,0.910900
22770.000000,0.982100
22810.000000,0.889600
22840.000000,0.891800
22860.000000,0.942400
22910.000000,0.840400
22930.000000,0.804200
22960.000000,0.702000
22960.000000,0.660500
22990.000000,0.560700
23060.000000,0.443700
23110.000000,0.348200
23160.000000,0.230200
23200.000000,0.162600
23250.000000,0.136000
23280.000000,0.092100
23350.000000,0.062400
23390.000000,0.043100
23450.000000,0.030700
23450.000000,0.025300
23520.000000,0.011800
23610.000000,0.006800
23630.000000,0.000700
23700.000000,0.003000
23750.000000,0.002100
23840.000000,0.000400
23990.000000,0.000000
24290.000000,0.000400
24740.000000,0.000000
