# NAME           	PS1_g
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	photon
# COMPNAME       	PS1_g
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.900000000000000000e+03,1.000000000000000021e-03
3.910000000000000000e+03,1.000000000000000021e-03
3.920000000000000000e+03,1.000000000000000021e-03
3.930000000000000000e+03,2.000000000000000042e-03
3.940000000000000000e+03,4.000000000000000083e-03
3.950000000000000000e+03,7.000000000000000146e-03
3.960000000000000000e+03,1.200000000000000025e-02
3.970000000000000000e+03,2.100000000000000130e-02
3.980000000000000000e+03,3.500000000000000333e-02
3.990000000000000000e+03,5.299999999999999850e-02
4.000000000000000000e+03,7.299999999999999545e-02
4.010000000000000000e+03,9.600000000000000200e-02
4.020000000000000000e+03,1.179999999999999938e-01
4.030000000000000000e+03,1.350000000000000089e-01
4.040000000000000000e+03,1.469999999999999918e-01
4.050000000000000000e+03,1.570000000000000007e-01
4.060000000000000000e+03,1.630000000000000060e-01
4.070000000000000000e+03,1.670000000000000095e-01
4.080000000000000000e+03,1.710000000000000131e-01
4.090000000000000000e+03,1.749999999999999889e-01
4.100000000000000000e+03,1.809999999999999942e-01
4.110000000000000000e+03,1.859999999999999987e-01
4.120000000000000000e+03,1.920000000000000040e-01
4.130000000000000000e+03,1.990000000000000102e-01
4.140000000000000000e+03,2.039999999999999869e-01
4.150000000000000000e+03,2.059999999999999887e-01
4.160000000000000000e+03,2.079999999999999905e-01
4.170000000000000000e+03,2.109999999999999931e-01
4.180000000000000000e+03,2.169999999999999984e-01
4.190000000000000000e+03,2.250000000000000056e-01
4.200000000000000000e+03,2.330000000000000127e-01
4.210000000000000000e+03,2.399999999999999911e-01
4.220000000000000000e+03,2.459999999999999964e-01
4.230000000000000000e+03,2.489999999999999991e-01
4.240000000000000000e+03,2.500000000000000000e-01
4.250000000000000000e+03,2.500000000000000000e-01
4.260000000000000000e+03,2.530000000000000027e-01
4.270000000000000000e+03,2.590000000000000080e-01
4.280000000000000000e+03,2.680000000000000160e-01
4.290000000000000000e+03,2.770000000000000240e-01
4.300000000000000000e+03,2.859999999999999765e-01
4.310000000000000000e+03,2.949999999999999845e-01
4.320000000000000000e+03,2.999999999999999889e-01
4.330000000000000000e+03,3.019999999999999907e-01
4.340000000000000000e+03,3.019999999999999907e-01
4.350000000000000000e+03,3.039999999999999925e-01
4.360000000000000000e+03,3.089999999999999969e-01
4.370000000000000000e+03,3.160000000000000031e-01
4.380000000000000000e+03,3.230000000000000093e-01
4.390000000000000000e+03,3.300000000000000155e-01
4.400000000000000000e+03,3.360000000000000209e-01
4.410000000000000000e+03,3.400000000000000244e-01
4.420000000000000000e+03,3.410000000000000253e-01
4.430000000000000000e+03,3.420000000000000262e-01
4.440000000000000000e+03,3.439999999999999725e-01
4.450000000000000000e+03,3.479999999999999760e-01
4.460000000000000000e+03,3.539999999999999813e-01
4.470000000000000000e+03,3.609999999999999876e-01
4.480000000000000000e+03,3.679999999999999938e-01
4.490000000000000000e+03,3.739999999999999991e-01
4.500000000000000000e+03,3.800000000000000044e-01
4.510000000000000000e+03,3.860000000000000098e-01
4.520000000000000000e+03,3.920000000000000151e-01
4.530000000000000000e+03,3.960000000000000187e-01
4.540000000000000000e+03,3.980000000000000204e-01
4.550000000000000000e+03,3.980000000000000204e-01
4.560000000000000000e+03,3.940000000000000169e-01
4.570000000000000000e+03,3.880000000000000115e-01
4.580000000000000000e+03,3.840000000000000080e-01
4.590000000000000000e+03,3.820000000000000062e-01
4.600000000000000000e+03,3.840000000000000080e-01
4.610000000000000000e+03,3.880000000000000115e-01
