# NAME           	PS1_i
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	photon
# COMPNAME       	PS1_i
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
6.650000000000000000e+03,1.000000000000000021e-03
6.660000000000000000e+03,1.000000000000000021e-03
6.670000000000000000e+03,1.000000000000000021e-03
6.680000000000000000e+03,1.000000000000000021e-03
6.690000000000000000e+03,1.000000000000000021e-03
6.700000000000000000e+03,1.000000000000000021e-03
6.710000000000000000e+03,1.000000000000000021e-03
6.720000000000000000e+03,2.000000000000000042e-03
6.730000000000000000e+03,2.000000000000000042e-03
6.740000000000000000e+03,3.000000000000000062e-03
6.750000000000000000e+03,4.000000000000000083e-03
6.760000000000000000e+03,5.000000000000000104e-03
6.770000000000000000e+03,7.000000000000000146e-03
6.780000000000000000e+03,8.999999999999999320e-03
6.790000000000000000e+03,1.200000000000000025e-02
6.800000000000000000e+03,1.600000000000000033e-02
6.810000000000000000e+03,2.199999999999999872e-02
6.820000000000000000e+03,2.900000000000000147e-02
6.830000000000000000e+03,3.899999999999999994e-02
6.840000000000000000e+03,5.600000000000000117e-02
6.850000000000000000e+03,8.400000000000000522e-02
6.860000000000000000e+03,1.330000000000000071e-01
6.870000000000000000e+03,1.690000000000000113e-01
6.880000000000000000e+03,2.640000000000000124e-01
6.890000000000000000e+03,3.499999999999999778e-01
6.900000000000000000e+03,4.259999999999999898e-01
6.910000000000000000e+03,5.120000000000000107e-01
6.920000000000000000e+03,5.909999999999999698e-01
6.930000000000000000e+03,6.700000000000000400e-01
6.940000000000000000e+03,7.369999999999999885e-01
6.950000000000000000e+03,7.920000000000000373e-01
6.960000000000000000e+03,8.209999999999999520e-01
6.970000000000000000e+03,8.429999999999999716e-01
6.980000000000000000e+03,8.479999999999999760e-01
6.990000000000000000e+03,8.459999999999999742e-01
7.000000000000000000e+03,8.479999999999999760e-01
7.010000000000000000e+03,8.469999999999999751e-01
7.020000000000000000e+03,8.469999999999999751e-01
7.030000000000000000e+03,8.449999999999999734e-01
7.040000000000000000e+03,8.479999999999999760e-01
7.050000000000000000e+03,8.489999999999999769e-01
7.060000000000000000e+03,8.519999999999999796e-01
7.070000000000000000e+03,8.529999999999999805e-01
