# NAME           	PS1_r
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	photon
# COMPNAME       	PS1_r
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
5.290000000000000000e+03,1.000000000000000021e-03
5.300000000000000000e+03,1.000000000000000021e-03
5.310000000000000000e+03,1.000000000000000021e-03
5.320000000000000000e+03,1.000000000000000021e-03
5.330000000000000000e+03,1.000000000000000021e-03
5.340000000000000000e+03,2.000000000000000042e-03
5.350000000000000000e+03,2.000000000000000042e-03
5.360000000000000000e+03,3.000000000000000062e-03
5.370000000000000000e+03,4.000000000000000083e-03
5.380000000000000000e+03,5.000000000000000104e-03
5.390000000000000000e+03,8.000000000000000167e-03
5.400000000000000000e+03,1.099999999999999936e-02
5.410000000000000000e+03,1.700000000000000122e-02
5.420000000000000000e+03,2.599999999999999881e-02
5.430000000000000000e+03,4.000000000000000083e-02
5.440000000000000000e+03,6.199999999999999956e-02
5.450000000000000000e+03,9.299999999999999933e-02
5.460000000000000000e+03,1.340000000000000080e-01
5.470000000000000000e+03,1.839999999999999969e-01
5.480000000000000000e+03,2.419999999999999929e-01
5.490000000000000000e+03,3.049999999999999933e-01
5.500000000000000000e+03,3.669999999999999929e-01
5.510000000000000000e+03,4.229999999999999871e-01
5.520000000000000000e+03,4.689999999999999725e-01
5.530000000000000000e+03,5.040000000000000036e-01
5.540000000000000000e+03,5.280000000000000249e-01
5.550000000000000000e+03,5.440000000000000391e-01
5.560000000000000000e+03,5.560000000000000497e-01
5.570000000000000000e+03,5.649999999999999467e-01
5.580000000000000000e+03,5.699999999999999512e-01
5.590000000000000000e+03,5.749999999999999556e-01
5.600000000000000000e+03,5.779999999999999583e-01
5.610000000000000000e+03,5.819999999999999618e-01
5.620000000000000000e+03,5.839999999999999636e-01
5.630000000000000000e+03,5.859999999999999654e-01
5.640000000000000000e+03,5.879999999999999671e-01
5.650000000000000000e+03,5.899999999999999689e-01
5.660000000000000000e+03,5.909999999999999698e-01
5.670000000000000000e+03,5.919999999999999707e-01
5.680000000000000000e+03,5.919999999999999707e-01
5.690000000000000000e+03,5.909999999999999698e-01
5.700000000000000000e+03,5.909999999999999698e-01
5.710000000000000000e+03,5.889999999999999680e-01
5.720000000000000000e+03,5.859999999999999654e-01
5.730000000000000000e+03,5.829999999999999627e-01
5.740000000000000000e+03,5.809999999999999609e-01
5.750000000000000000e+03,5.819999999999999618e-01
5.760000000000000000e+03,5.859999999999999654e-01
5.770000000000000000e+03,5.919999999999999707e-01
5.780000000000000000e+03,5.989999999999999769e-01
5.790000000000000000e+03,6.059999999999999831e-01
5.800000000000000000e+03,6.119999999999999885e-01
5.810000000000000000e+03,6.149999999999999911e-01
5.820000000000000000e+03,6.169999999999999929e-01
5.830000000000000000e+03,6.169999999999999929e-01
