# NAME           	PS1_w
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	photon
# COMPNAME       	PS1_w
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.880000000000000000e+03,1.000000000000000021e-03
3.890000000000000000e+03,6.000000000000000125e-03
3.900000000000000000e+03,6.000000000000000125e-03
3.910000000000000000e+03,5.000000000000000104e-03
3.920000000000000000e+03,5.000000000000000104e-03
3.930000000000000000e+03,5.000000000000000104e-03
3.940000000000000000e+03,6.000000000000000125e-03
3.950000000000000000e+03,6.000000000000000125e-03
3.960000000000000000e+03,8.000000000000000167e-03
3.970000000000000000e+03,1.000000000000000021e-02
3.980000000000000000e+03,1.400000000000000029e-02
3.990000000000000000e+03,2.100000000000000130e-02
4.000000000000000000e+03,3.200000000000000067e-02
4.010000000000000000e+03,4.900000000000000189e-02
4.020000000000000000e+03,7.099999999999999367e-02
4.030000000000000000e+03,9.600000000000000200e-02
4.040000000000000000e+03,1.229999999999999982e-01
4.050000000000000000e+03,1.479999999999999927e-01
4.060000000000000000e+03,1.690000000000000113e-01
4.070000000000000000e+03,1.859999999999999987e-01
4.080000000000000000e+03,1.980000000000000093e-01
4.090000000000000000e+03,2.079999999999999905e-01
4.100000000000000000e+03,2.159999999999999976e-01
4.110000000000000000e+03,2.230000000000000038e-01
4.120000000000000000e+03,2.310000000000000109e-01
4.130000000000000000e+03,2.399999999999999911e-01
4.140000000000000000e+03,2.479999999999999982e-01
4.150000000000000000e+03,2.570000000000000062e-01
4.160000000000000000e+03,2.650000000000000133e-01
4.170000000000000000e+03,2.720000000000000195e-01
4.180000000000000000e+03,2.780000000000000249e-01
4.190000000000000000e+03,2.839999999999999747e-01
4.200000000000000000e+03,2.879999999999999782e-01
4.210000000000000000e+03,2.929999999999999827e-01
4.220000000000000000e+03,2.969999999999999862e-01
4.230000000000000000e+03,3.029999999999999916e-01
4.240000000000000000e+03,3.079999999999999960e-01
4.250000000000000000e+03,3.150000000000000022e-01
4.260000000000000000e+03,3.220000000000000084e-01
4.270000000000000000e+03,3.280000000000000138e-01
4.280000000000000000e+03,3.350000000000000200e-01
4.290000000000000000e+03,3.420000000000000262e-01
4.300000000000000000e+03,3.499999999999999778e-01
4.310000000000000000e+03,3.579999999999999849e-01
4.320000000000000000e+03,3.669999999999999929e-01
4.330000000000000000e+03,3.750000000000000000e-01
4.340000000000000000e+03,3.820000000000000062e-01
4.350000000000000000e+03,3.890000000000000124e-01
4.360000000000000000e+03,3.960000000000000187e-01
4.370000000000000000e+03,4.020000000000000240e-01
4.380000000000000000e+03,4.079999999999999738e-01
4.390000000000000000e+03,4.109999999999999765e-01
4.400000000000000000e+03,4.159999999999999809e-01
4.410000000000000000e+03,4.209999999999999853e-01
4.420000000000000000e+03,4.259999999999999898e-01
4.430000000000000000e+03,4.299999999999999933e-01
4.440000000000000000e+03,4.329999999999999960e-01
4.450000000000000000e+03,4.369999999999999996e-01
4.460000000000000000e+03,4.420000000000000040e-01
4.470000000000000000e+03,4.460000000000000075e-01
4.480000000000000000e+03,4.490000000000000102e-01
4.490000000000000000e+03,4.530000000000000138e-01
4.500000000000000000e+03,4.580000000000000182e-01
4.510000000000000000e+03,4.620000000000000218e-01
4.520000000000000000e+03,4.670000000000000262e-01
4.530000000000000000e+03,4.699999999999999734e-01
4.540000000000000000e+03,4.729999999999999760e-01
4.550000000000000000e+03,4.759999999999999787e-01
4.560000000000000000e+03,4.799999999999999822e-01
4.570000000000000000e+03,4.839999999999999858e-01
4.580000000000000000e+03,4.879999999999999893e-01
4.590000000000000000e+03,4.909999999999999920e-01
4.600000000000000000e+03,4.939999999999999947e-01
4.610000000000000000e+03,4.969999999999999973e-01
4.620000000000000000e+03,5.000000000000000000e-01
4.630000000000000000e+03,5.030000000000000027e-01
4.640000000000000000e+03,5.070000000000000062e-01
4.650000000000000000e+03,5.110000000000000098e-01
4.660000000000000000e+03,5.150000000000000133e-01
4.670000000000000000e+03,5.170000000000000151e-01
4.680000000000000000e+03,5.180000000000000160e-01
4.690000000000000000e+03,5.160000000000000142e-01
4.700000000000000000e+03,5.120000000000000107e-01
4.710000000000000000e+03,5.110000000000000098e-01
4.720000000000000000e+03,5.110000000000000098e-01
4.730000000000000000e+03,5.090000000000000080e-01
4.740000000000000000e+03,5.060000000000000053e-01
4.750000000000000000e+03,5.040000000000000036e-01
4.760000000000000000e+03,5.030000000000000027e-01
4.770000000000000000e+03,5.050000000000000044e-01
4.780000000000000000e+03,5.100000000000000089e-01
4.790000000000000000e+03,5.180000000000000160e-01
4.800000000000000000e+03,5.260000000000000231e-01
4.810000000000000000e+03,5.330000000000000293e-01
4.820000000000000000e+03,5.380000000000000338e-01
4.830000000000000000e+03,5.400000000000000355e-01
4.840000000000000000e+03,5.420000000000000373e-01
4.850000000000000000e+03,5.420000000000000373e-01
4.860000000000000000e+03,5.420000000000000373e-01
4.870000000000000000e+03,5.430000000000000382e-01
4.880000000000000000e+03,5.460000000000000409e-01
4.890000000000000000e+03,5.470000000000000417e-01
4.900000000000000000e+03,5.500000000000000444e-01
4.910000000000000000e+03,5.520000000000000462e-01
4.920000000000000000e+03,5.530000000000000471e-01
4.930000000000000000e+03,5.540000000000000480e-01
4.940000000000000000e+03,5.550000000000000488e-01
4.950000000000000000e+03,5.570000000000000506e-01
4.960000000000000000e+03,5.590000000000000524e-01
4.970000000000000000e+03,5.610000000000000542e-01
4.980000000000000000e+03,5.620000000000000551e-01
