# NAME           	PS1_y
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	photon
# COMPNAME       	PS1_y
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
8.970000000000000000e+03,1.000000000000000021e-03
8.980000000000000000e+03,1.000000000000000021e-03
8.990000000000000000e+03,1.000000000000000021e-03
9.000000000000000000e+03,1.000000000000000021e-03
9.010000000000000000e+03,2.000000000000000042e-03
9.020000000000000000e+03,2.000000000000000042e-03
9.030000000000000000e+03,2.000000000000000042e-03
9.040000000000000000e+03,2.000000000000000042e-03
9.050000000000000000e+03,2.000000000000000042e-03
9.060000000000000000e+03,3.000000000000000062e-03
9.070000000000000000e+03,3.000000000000000062e-03
9.080000000000000000e+03,3.000000000000000062e-03
9.090000000000000000e+03,5.000000000000000104e-03
9.100000000000000000e+03,6.000000000000000125e-03
9.110000000000000000e+03,8.999999999999999320e-03
9.120000000000000000e+03,1.499999999999999944e-02
9.130000000000000000e+03,2.400000000000000050e-02
9.140000000000000000e+03,4.000000000000000083e-02
9.150000000000000000e+03,6.600000000000000311e-02
9.160000000000000000e+03,9.800000000000000377e-02
9.170000000000000000e+03,1.519999999999999962e-01
9.180000000000000000e+03,1.990000000000000102e-01
9.190000000000000000e+03,2.710000000000000187e-01
9.200000000000000000e+03,3.350000000000000200e-01
9.210000000000000000e+03,4.030000000000000249e-01
9.220000000000000000e+03,4.510000000000000120e-01
9.230000000000000000e+03,5.060000000000000053e-01
9.240000000000000000e+03,5.390000000000000346e-01
9.250000000000000000e+03,5.649999999999999467e-01
9.260000000000000000e+03,5.909999999999999698e-01
9.270000000000000000e+03,6.149999999999999911e-01
9.280000000000000000e+03,5.969999999999999751e-01
9.290000000000000000e+03,6.009999999999999787e-01
9.300000000000000000e+03,5.699999999999999512e-01
9.310000000000000000e+03,5.430000000000000382e-01
9.320000000000000000e+03,5.010000000000000009e-01
9.330000000000000000e+03,4.859999999999999876e-01
9.340000000000000000e+03,4.349999999999999978e-01
9.350000000000000000e+03,4.640000000000000235e-01
9.360000000000000000e+03,4.010000000000000231e-01
9.370000000000000000e+03,4.349999999999999978e-01
9.380000000000000000e+03,4.410000000000000031e-01
9.390000000000000000e+03,5.130000000000000115e-01
9.400000000000000000e+03,5.290000000000000258e-01
9.410000000000000000e+03,4.979999999999999982e-01
9.420000000000000000e+03,4.989999999999999991e-01
9.430000000000000000e+03,4.309999999999999942e-01
9.440000000000000000e+03,4.189999999999999836e-01
9.450000000000000000e+03,4.709999999999999742e-01
9.460000000000000000e+03,3.860000000000000098e-01
9.470000000000000000e+03,4.590000000000000191e-01
9.480000000000000000e+03,4.040000000000000258e-01
9.490000000000000000e+03,4.869999999999999885e-01
9.500000000000000000e+03,3.489999999999999769e-01
9.510000000000000000e+03,4.799999999999999822e-01
9.520000000000000000e+03,3.860000000000000098e-01
9.530000000000000000e+03,4.219999999999999862e-01
9.540000000000000000e+03,4.349999999999999978e-01
9.550000000000000000e+03,4.129999999999999782e-01
9.560000000000000000e+03,4.020000000000000240e-01
9.570000000000000000e+03,3.880000000000000115e-01
9.580000000000000000e+03,4.119999999999999774e-01
9.590000000000000000e+03,3.950000000000000178e-01
9.600000000000000000e+03,4.010000000000000231e-01
9.610000000000000000e+03,4.010000000000000231e-01
9.620000000000000000e+03,3.940000000000000169e-01
9.630000000000000000e+03,3.990000000000000213e-01
9.640000000000000000e+03,3.860000000000000098e-01
9.650000000000000000e+03,3.870000000000000107e-01
9.660000000000000000e+03,3.820000000000000062e-01
9.670000000000000000e+03,3.810000000000000053e-01
9.680000000000000000e+03,3.880000000000000115e-01
9.690000000000000000e+03,3.900000000000000133e-01
9.700000000000000000e+03,3.780000000000000027e-01
9.710000000000000000e+03,3.800000000000000044e-01
9.720000000000000000e+03,3.679999999999999938e-01
9.730000000000000000e+03,3.579999999999999849e-01
9.740000000000000000e+03,3.489999999999999769e-01
9.750000000000000000e+03,3.410000000000000253e-01
9.760000000000000000e+03,3.370000000000000218e-01
9.770000000000000000e+03,3.350000000000000200e-01
9.780000000000000000e+03,3.270000000000000129e-01
9.790000000000000000e+03,3.260000000000000120e-01
9.800000000000000000e+03,3.150000000000000022e-01
9.810000000000000000e+03,3.180000000000000049e-01
9.820000000000000000e+03,3.109999999999999987e-01
9.830000000000000000e+03,3.019999999999999907e-01
9.840000000000000000e+03,3.009999999999999898e-01
9.850000000000000000e+03,2.919999999999999818e-01
9.860000000000000000e+03,2.899999999999999800e-01
9.870000000000000000e+03,2.819999999999999729e-01
9.880000000000000000e+03,2.740000000000000213e-01
9.890000000000000000e+03,2.680000000000000160e-01
9.900000000000000000e+03,2.600000000000000089e-01
9.910000000000000000e+03,2.550000000000000044e-01
9.920000000000000000e+03,2.500000000000000000e-01
9.930000000000000000e+03,2.429999999999999938e-01
9.940000000000000000e+03,2.379999999999999893e-01
9.950000000000000000e+03,2.320000000000000118e-01
9.960000000000000000e+03,2.270000000000000073e-01
9.970000000000000000e+03,2.210000000000000020e-01
9.980000000000000000e+03,2.159999999999999976e-01
9.990000000000000000e+03,2.109999999999999931e-01
1.000000000000000000e+04,2.049999999999999878e-01
1.001000000000000000e+04,2.000000000000000111e-01
1.002000000000000000e+04,1.950000000000000067e-01
1.003000000000000000e+04,1.890000000000000013e-01
1.004000000000000000e+04,1.829999999999999960e-01
1.005000000000000000e+04,1.779999999999999916e-01
1.006000000000000000e+04,1.729999999999999871e-01
1.007000000000000000e+04,1.680000000000000104e-01
1.008000000000000000e+04,1.620000000000000051e-01
1.009000000000000000e+04,1.570000000000000007e-01
1.010000000000000000e+04,1.519999999999999962e-01
1.011000000000000000e+04,1.469999999999999918e-01
1.012000000000000000e+04,1.409999999999999865e-01
1.013000000000000000e+04,1.360000000000000098e-01
1.014000000000000000e+04,1.310000000000000053e-01
1.015000000000000000e+04,1.270000000000000018e-01
1.016000000000000000e+04,1.239999999999999991e-01
1.017000000000000000e+04,1.199999999999999956e-01
1.018000000000000000e+04,1.160000000000000059e-01
1.019000000000000000e+04,1.110000000000000014e-01
1.020000000000000000e+04,1.059999999999999970e-01
1.021000000000000000e+04,1.019999999999999934e-01
1.022000000000000000e+04,9.700000000000000289e-02
1.023000000000000000e+04,9.400000000000000022e-02
1.024000000000000000e+04,9.099999999999999756e-02
1.025000000000000000e+04,8.799999999999999489e-02
1.026000000000000000e+04,8.400000000000000522e-02
1.027000000000000000e+04,8.100000000000000255e-02
1.028000000000000000e+04,7.799999999999999989e-02
1.029000000000000000e+04,7.499999999999999722e-02
1.030000000000000000e+04,7.099999999999999367e-02
1.031000000000000000e+04,6.700000000000000400e-02
1.032000000000000000e+04,6.400000000000000133e-02
1.033000000000000000e+04,5.999999999999999778e-02
1.034000000000000000e+04,5.700000000000000205e-02
1.035000000000000000e+04,5.500000000000000028e-02
1.036000000000000000e+04,5.299999999999999850e-02
1.037000000000000000e+04,5.000000000000000278e-02
1.038000000000000000e+04,4.800000000000000100e-02
