# NAME           	PS1_z
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	photon
# COMPNAME       	PS1_z
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
7.850000000000000000e+03,1.000000000000000021e-03
7.860000000000000000e+03,1.000000000000000021e-03
7.870000000000000000e+03,1.000000000000000021e-03
7.880000000000000000e+03,1.000000000000000021e-03
7.890000000000000000e+03,1.000000000000000021e-03
7.900000000000000000e+03,1.000000000000000021e-03
7.910000000000000000e+03,1.000000000000000021e-03
7.920000000000000000e+03,1.000000000000000021e-03
7.930000000000000000e+03,1.000000000000000021e-03
7.940000000000000000e+03,2.000000000000000042e-03
7.950000000000000000e+03,2.000000000000000042e-03
7.960000000000000000e+03,2.000000000000000042e-03
7.970000000000000000e+03,3.000000000000000062e-03
7.980000000000000000e+03,4.000000000000000083e-03
7.990000000000000000e+03,5.000000000000000104e-03
8.000000000000000000e+03,6.000000000000000125e-03
8.010000000000000000e+03,7.000000000000000146e-03
8.020000000000000000e+03,8.000000000000000167e-03
8.030000000000000000e+03,8.999999999999999320e-03
8.040000000000000000e+03,1.200000000000000025e-02
8.050000000000000000e+03,1.499999999999999944e-02
8.060000000000000000e+03,1.899999999999999953e-02
8.070000000000000000e+03,2.500000000000000139e-02
8.080000000000000000e+03,3.400000000000000244e-02
8.090000000000000000e+03,4.499999999999999833e-02
8.100000000000000000e+03,5.999999999999999778e-02
8.110000000000000000e+03,7.900000000000000078e-02
8.120000000000000000e+03,1.010000000000000064e-01
8.130000000000000000e+03,1.290000000000000036e-01
8.140000000000000000e+03,1.600000000000000033e-01
8.150000000000000000e+03,2.030000000000000138e-01
8.160000000000000000e+03,2.520000000000000018e-01
8.170000000000000000e+03,3.180000000000000049e-01
8.180000000000000000e+03,3.970000000000000195e-01
8.190000000000000000e+03,4.989999999999999991e-01
8.200000000000000000e+03,5.879999999999999671e-01
8.210000000000000000e+03,6.959999999999999520e-01
8.220000000000000000e+03,7.610000000000000098e-01
8.230000000000000000e+03,7.500000000000000000e-01
8.240000000000000000e+03,8.329999999999999627e-01
8.250000000000000000e+03,8.489999999999999769e-01
8.260000000000000000e+03,8.499999999999999778e-01
8.270000000000000000e+03,8.629999999999999893e-01
8.280000000000000000e+03,8.389999999999999680e-01
8.290000000000000000e+03,8.599999999999999867e-01
8.300000000000000000e+03,8.579999999999999849e-01
8.310000000000000000e+03,8.569999999999999840e-01
8.320000000000000000e+03,8.449999999999999734e-01
8.330000000000000000e+03,8.619999999999999885e-01
8.340000000000000000e+03,8.569999999999999840e-01
8.350000000000000000e+03,8.669999999999999929e-01
8.360000000000000000e+03,8.669999999999999929e-01
8.370000000000000000e+03,8.770000000000000018e-01
8.380000000000000000e+03,8.790000000000000036e-01
8.390000000000000000e+03,8.800000000000000044e-01
8.400000000000000000e+03,8.800000000000000044e-01
8.410000000000000000e+03,8.760000000000000009e-01
8.420000000000000000e+03,8.729999999999999982e-01
8.430000000000000000e+03,8.709999999999999964e-01
8.440000000000000000e+03,8.689999999999999947e-01
8.450000000000000000e+03,8.689999999999999947e-01
8.460000000000000000e+03,8.679999999999999938e-01
8.470000000000000000e+03,8.679999999999999938e-01
8.480000000000000000e+03,8.669999999999999929e-01
8.490000000000000000e+03,8.659999999999999920e-01
8.500000000000000000e+03,8.649999999999999911e-01
8.510000000000000000e+03,8.629999999999999893e-01
8.520000000000000000e+03,8.609999999999999876e-01
8.530000000000000000e+03,8.579999999999999849e-01
8.540000000000000000e+03,8.549999999999999822e-01
8.550000000000000000e+03,8.539999999999999813e-01
8.560000000000000000e+03,8.519999999999999796e-01
8.570000000000000000e+03,8.499999999999999778e-01
8.580000000000000000e+03,8.479999999999999760e-01
8.590000000000000000e+03,8.479999999999999760e-01
8.600000000000000000e+03,8.489999999999999769e-01
8.610000000000000000e+03,8.499999999999999778e-01
8.620000000000000000e+03,8.509999999999999787e-01
8.630000000000000000e+03,8.499999999999999778e-01
8.640000000000000000e+03,8.489999999999999769e-01
8.650000000000000000e+03,8.489999999999999769e-01
8.660000000000000000e+03,8.479999999999999760e-01
8.670000000000000000e+03,8.459999999999999742e-01
8.680000000000000000e+03,8.449999999999999734e-01
8.690000000000000000e+03,8.429999999999999716e-01
8.700000000000000000e+03,8.399999999999999689e-01
8.710000000000000000e+03,8.389999999999999680e-01
8.720000000000000000e+03,8.369999999999999662e-01
8.730000000000000000e+03,8.349999999999999645e-01
8.740000000000000000e+03,8.329999999999999627e-01
8.750000000000000000e+03,8.319999999999999618e-01
8.760000000000000000e+03,8.309999999999999609e-01
8.770000000000000000e+03,8.289999999999999591e-01
8.780000000000000000e+03,8.269999999999999574e-01
8.790000000000000000e+03,8.239999999999999547e-01
8.800000000000000000e+03,8.199999999999999512e-01
8.810000000000000000e+03,8.159999999999999476e-01
8.820000000000000000e+03,8.100000000000000533e-01
8.830000000000000000e+03,8.060000000000000497e-01
8.840000000000000000e+03,8.010000000000000453e-01
8.850000000000000000e+03,7.960000000000000409e-01
8.860000000000000000e+03,7.920000000000000373e-01
8.870000000000000000e+03,7.900000000000000355e-01
8.880000000000000000e+03,7.870000000000000329e-01
8.890000000000000000e+03,7.860000000000000320e-01
8.900000000000000000e+03,7.830000000000000293e-01
8.910000000000000000e+03,7.830000000000000293e-01
8.920000000000000000e+03,7.810000000000000275e-01
8.930000000000000000e+03,7.770000000000000240e-01
8.940000000000000000e+03,7.730000000000000204e-01
8.950000000000000000e+03,7.640000000000000124e-01
8.960000000000000000e+03,7.469999999999999973e-01
8.970000000000000000e+03,7.229999999999999760e-01
8.980000000000000000e+03,7.269999999999999796e-01
8.990000000000000000e+03,6.710000000000000409e-01
9.000000000000000000e+03,7.189999999999999725e-01
9.010000000000000000e+03,6.969999999999999529e-01
9.020000000000000000e+03,7.099999999999999645e-01
9.030000000000000000e+03,6.909999999999999476e-01
9.040000000000000000e+03,7.299999999999999822e-01
