# WAVELENGTH_UNIT	nanometer	
# COMPNAME       	ZTF_g
# NAME           	ZTF_g
# DETECTOR       	photon
#
## WAVELENGTH	None	nanometer
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
367.6,0.570983649
367.7,0.538017761
367.8,0.588691939
367.9,0.568291895
368.0,0.582810298
368.1,0.496625493
368.1,0.55808583
368.2,0.468489283
368.3,0.592847581
368.4,0.564255373
368.5,0.504032258
368.6,0.524056068
368.7,0.512917933
368.7,0.56981841
368.8,0.493811726
368.9,0.507928642
369.0,0.498722025
369.1,0.509411692
369.2,0.473525613
369.2,0.484306032
369.3,0.460433421
369.4,0.460489961
369.5,0.452322738
369.6,0.454242626
369.7,0.555186772
369.7,0.474959418
369.8,0.53905127
369.9,0.542732749
370.0,0.508312403
370.1,0.543965569
370.2,0.499940483
370.2,0.499762018
370.3,0.551143771
370.4,0.475854776
370.5,0.526284667
370.6,0.497803807
370.7,0.456968774
370.8,0.480657864
370.8,0.531914894
370.9,0.456120092
371.0,0.473987779
371.1,0.423437858
371.2,0.468785731
371.3,0.451951867
371.3,0.451620187
371.4,0.521689821
371.5,0.490887547
371.6,0.4823602
371.7,0.478176258
371.8,0.546569994
371.8,0.479669809
371.9,0.545996029
372.0,0.464756003
372.1,0.516625447
372.2,0.51164816
372.3,0.430494251
372.4,0.478027052
372.4,0.39763568
372.5,0.411344447
372.6,0.447222372
372.7,0.45657195
372.8,0.44078598
372.9,0.466274572
372.9,0.462004142
373.0,0.497644132
373.1,0.491580379
373.2,0.485791893
373.3,0.448056684
373.4,0.530338481
373.4,0.433570765
373.5,0.49390338
373.6,0.437242798
373.7,0.410909651
373.8,0.478420195
373.9,0.47715736
373.9,0.429249571
374.0,0.362501259
374.1,0.453217847
374.2,0.458327106
374.3,0.397160304
374.4,0.343368997
374.4,0.456349206
374.5,0.410099313
374.6,0.440852314
374.7,0.380729243
374.8,0.471308488
374.9,0.438807985
375.0,0.400966184
375.0,0.416846342
375.1,0.43014864
375.2,0.471608232
375.3,0.428673494
375.4,0.421940928
375.5,0.426600939
375.5,0.393682336
375.6,0.386675984
375.7,0.407055631
375.8,0.415858054
375.9,0.314203863
376.0,0.408669299
376.0,0.396605792
376.1,0.379532672
376.2,0.389792866
376.3,0.381402107
376.4,0.402059993
376.5,0.387143243
376.5,0.381542329
376.6,0.378450579
376.7,0.373150904
376.8,0.402512385
376.9,0.403297288
377.0,0.356325884
377.0,0.399841821
377.1,0.344316597
377.2,0.367647059
377.3,0.379523009
377.4,0.403606698
377.5,0.411469718
377.6,0.401383492
377.6,0.332580054
377.7,0.300669095
377.8,0.312790599
377.9,0.400489018
378.0,0.390264373
378.1,0.308294796
378.1,0.41172801
378.2,0.345502227
378.3,0.346277517
378.4,0.358054161
378.5,0.348075348
378.6,0.337714123
378.6,0.317990949
378.7,0.381555447
378.8,0.406782392
378.9,0.324987963
379.0,0.27646446
379.1,0.375309431
379.1,0.362217888
379.2,0.344445324
379.3,0.396903368
379.4,0.355618777
379.5,0.368945757
379.6,0.32019993
379.6,0.365332297
379.7,0.352549202
379.8,0.312970905
379.9,0.348966522
380.0,0.332048395
380.1,0.337293982
380.1,0.303363543
380.2,0.336687599
380.3,0.384470411
380.4,0.34142498
380.5,0.376009828
380.6,0.375394908
380.6,0.323636634
380.7,0.27281106
380.8,0.335310807
380.9,0.323684114
381.0,0.308177716
381.1,0.316732197
381.1,0.315526058
381.2,0.301884047
381.3,0.281741015
381.4,0.334737069
381.5,0.322130355
381.6,0.318381208
381.6,0.330314331
381.7,0.278954802
381.8,0.357345033
381.9,0.339826233
382.0,0.311210574
382.1,0.340739195
382.1,0.295282429
382.2,0.269151139
382.3,0.268262485
382.4,0.299116247
382.5,0.334083316
382.6,0.322624465
382.6,0.286745606
382.7,0.299895542
382.8,0.309941717
382.9,0.257818255
383.0,0.258835241
383.1,0.2934605
383.2,0.300290281
383.2,0.300508553
383.3,0.287308874
383.4,0.32673332
383.5,0.264274062
383.6,0.345220648
383.7,0.316088247
383.7,0.302211934
383.8,0.29154519
383.9,0.297153082
384.0,0.282611457
384.1,0.275342596
384.2,0.28296188
384.2,0.254869262
384.3,0.296324318
384.4,0.307460626
384.5,0.346517654
384.6,0.251365442
384.7,0.315994919
384.7,0.295912706
384.8,0.234604106
384.9,0.288750998
385.0,0.281319757
385.1,0.296942702
385.2,0.276192789
385.2,0.320386882
385.3,0.25570062
385.4,0.276608539
385.5,0.269646763
385.6,0.264047944
385.7,0.285120285
385.7,0.3080295
385.8,0.270795314
385.9,0.253942007
386.0,0.238955589
386.1,0.255813953
386.2,0.272605997
386.2,0.268553278
386.3,0.26490829
386.4,0.284384695
386.5,0.234245558
386.6,0.280320366
386.6,0.287724696
386.7,0.247341787
386.8,0.26588222
386.9,0.280962014
387.0,0.288119947
387.1,0.262408576
387.1,0.255427842
387.2,0.278071297
387.3,0.266030388
387.4,0.277984202
387.5,0.284232022
387.6,0.257520136
387.6,0.262495899
387.7,0.265892503
387.8,0.25222391
387.9,0.276183256
388.0,0.221837463
388.1,0.259844629
388.1,0.247867804
388.2,0.234192037
388.3,0.278396437
388.4,0.250970861
388.5,0.25574099
388.6,0.236356952
388.6,0.24819082
388.7,0.259780745
388.8,0.270791022
388.9,0.277893206
389.0,0.237756816
389.1,0.234053498
389.1,0.265896249
389.2,0.230881712
389.3,0.272542028
389.4,0.213208792
389.5,0.259648592
389.6,0.25723797
389.6,0.234771098
389.7,0.249569493
389.8,0.246587626
389.9,0.246391239
390.0,0.252337836
390.1,0.23572744
390.1,0.245935909
390.2,0.259416069
390.3,0.269574807
390.4,0.268161872
390.5,0.252586584
390.6,0.212580926
390.6,0.248858392
390.7,0.230891337
390.8,0.230133046
390.9,0.252820378
391.0,0.230568101
391.1,0.259326228
391.1,0.244603291
391.2,0.23389326
391.3,0.243320498
391.4,0.263059
391.5,0.25345568
391.5,0.23819532
391.6,0.225639117
391.7,0.238392816
391.8,0.249734079
391.9,0.232194584
392.0,0.234498931
392.0,0.24840149
392.1,0.21738633
392.2,0.241475029
392.3,0.227086929
392.4,0.230878924
392.5,0.219273459
392.5,0.246836011
392.6,0.231351497
392.7,0.246079506
392.8,0.242410764
392.9,0.208814644
393.0,0.267811691
393.0,0.215801991
393.1,0.230870712
393.2,0.226194659
393.3,0.209739792
393.4,0.236225639
393.5,0.225699342
393.5,0.223161088
393.6,0.219704476
393.7,0.236869872
393.8,0.227991311
393.9,0.223003688
393.9,0.19869672
394.0,0.217502559
394.1,0.220638153
394.2,0.243778352
394.3,0.253447948
394.4,0.221043324
394.4,0.21717794
394.5,0.229573203
394.6,0.219757221
394.7,0.199671374
394.8,0.205842603
394.9,0.245274852
394.9,0.220673156
395.0,0.220905506
395.1,0.228846979
395.2,0.184286504
395.3,0.226239733
395.4,0.217311832
395.4,0.255401954
395.5,0.232685187
395.6,0.210688384
395.7,0.236406619
395.8,0.24659182
395.8,0.198353068
395.9,0.238867767
396.0,0.240762481
396.1,0.193389245
396.2,0.202297948
396.3,0.22213922
396.3,0.212080748
396.4,0.2585599
396.5,0.226182584
396.6,0.211338607
396.7,0.192068912
396.8,0.220720634
396.8,0.224974041
396.9,0.209906024
397.0,0.211514056
397.1,0.192840095
397.2,0.232833314
397.2,0.224599338
397.3,0.214555604
397.4,0.215855945
397.5,0.245848935
397.6,0.220036485
397.7,0.21861631
397.7,0.196920538
397.8,0.231624171
397.9,0.217512549
398.0,0.227099272
398.1,0.210291244
398.2,0.229880796
398.2,0.221987902
398.3,0.231869123
398.4,0.196872125
398.5,0.202754539
398.6,0.222961366
398.6,0.226877687
398.7,0.231728733
398.8,0.230218436
398.9,0.230314461
399.0,0.244070003
399.1,0.216500983
399.1,0.227806777
399.2,0.216396023
399.3,0.20698023
399.4,0.232691344
399.5,0.208749643
399.6,0.213397827
399.6,0.226204362
399.7,0.236845361
399.8,0.219181956
399.9,0.244554699
400.0,0.218960202
400.0,0.262936475
400.1,0.230101454
400.2,0.239117534
400.3,0.236172614
400.4,0.230606512
400.5,0.250635231
400.5,0.234977021
400.6,0.207771692
400.7,0.220567963
400.8,0.256330856
400.9,0.249611051
400.9,0.240667725
401.0,0.226718715
401.1,0.2377354
401.2,0.220227003
401.3,0.253481141
401.4,0.213295414
401.4,0.221986782
401.5,0.235575224
401.6,0.230626535
401.7,0.2359043
401.8,0.256337226
401.8,0.244200244
401.9,0.244348404
402.0,0.260953394
402.1,0.242002321
402.2,0.253903352
402.3,0.253869867
402.3,0.262652462
402.4,0.253794639
402.5,0.245954056
402.6,0.256242859
402.7,0.263295611
402.8,0.255675842
402.8,0.26394682
402.9,0.278265964
403.0,0.26741868
403.1,0.266137617
403.2,0.280966914
403.2,0.290814441
403.3,0.284881943
403.4,0.254200707
403.5,0.289831865
403.6,0.285546584
403.7,0.302904697
403.7,0.27894887
403.8,0.30566994
403.9,0.316180539
404.0,0.292554874
404.1,0.323083955
404.1,0.300257589
404.2,0.30815672
404.3,0.31410488
404.4,0.30211005
404.5,0.312932444
404.6,0.326663944
404.6,0.328870096
404.7,0.311613848
404.8,0.332334769
404.9,0.317129666
405.0,0.323987539
405.0,0.349324639
405.1,0.31818464
405.2,0.324189141
405.3,0.313377999
405.4,0.352714671
405.4,0.355806109
405.5,0.341626325
405.6,0.35451781
405.7,0.351252291
