# WAVELENGTH_UNIT	nanometer
# COMPNAME       	ZTF_i
# NAME           	ZTF_i
# DETECTOR       	photon
#
## WAVELENGTH	None	nanometer
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
1100.0,0.372344
1099.8,0.3607
1099.6,0.349056
1099.4,0.337412
1099.2,0.325768
1099.0,0.314124
1098.8,0.3043414
1098.6,0.2945588
1098.4,0.2847762
1098.2,0.2749936
1098.0,0.265211
1097.8,0.2584078
1097.6,0.2516046
1097.4,0.2448014
1097.2,0.2379982
1097.0,0.231195
1096.8,0.2257412
1096.6,0.2202874
1096.4,0.2148336
1096.2,0.2093798
1096.0,0.203926
1095.8,0.1988574
1095.6,0.1937888
1095.4,0.1887202
1095.2,0.1836516
1095.0,0.178583
1094.8,0.173529
1094.6,0.168475
1094.4,0.163421
1094.2,0.158367
1094.0,0.153313
1093.8,0.1498946
1093.6,0.1464762
1093.4,0.1430578
1093.2,0.1396394
1093.0,0.136221
1092.8,0.132394
1092.6,0.128567
1092.4,0.12474
1092.2,0.120913
1092.0,0.117086
1091.8,0.1143434
1091.6,0.1116008
1091.4,0.1088582
1091.2,0.1061156
1091.0,0.103373
1090.8,0.1003968
1090.6,0.0974206
1090.4,0.0944444
1090.2,0.0914682
1090.0,0.088492
1089.8,0.0858528
1089.6,0.0832136
1089.4,0.0805744
1089.2,0.0779352
1089.0,0.075296
1088.8,0.0741636
1088.6,0.0730312
1088.4,0.0718988
1088.2,0.0707664
1088.0,0.069634
1087.8,0.068871
1087.6,0.068108
1087.4,0.067345
1087.2,0.066582
1087.0,0.065819
1086.8,0.0635358
1086.6,0.0612526
1086.4,0.0589694
1086.2,0.0566862
1086.0,0.054403
1085.8,0.0537074
1085.6,0.0530118
1085.4,0.0523162
1085.2,0.0516206
1085.0,0.050925
1084.8,0.0497104
1084.6,0.0484958
1084.4,0.0472812
1084.2,0.0460666
1084.0,0.044852
1083.8,0.0442392
1083.6,0.0436264
1083.4,0.0430136
1083.2,0.0424008
1083.0,0.041788
1082.8,0.0400946
1082.6,0.0384012
1082.4,0.0367078
1082.2,0.0350144
1082.0,0.033321
1081.8,0.0337648
1081.6,0.0342086
1081.4,0.0346524
1081.2,0.0350962
1081.0,0.03554
1080.8,0.0350734
1080.6,0.0346068
1080.4,0.0341402
1080.2,0.0336736
1080.0,0.033207
1079.8,0.0331968
1079.6,0.0331866
1079.4,0.0331764
1079.2,0.0331662
1079.0,0.033156
1078.8,0.0315652
1078.6,0.0299744
1078.4,0.0283836
1078.2,0.0267928
1078.0,0.025202
1077.8,0.0250902
1077.6,0.0249784
1077.4,0.0248666
1077.2,0.0247548
1077.0,0.024643
1076.8,0.0244358
1076.6,0.0242286
1076.4,0.0240214
1076.2,0.0238142
1076.0,0.023607
1075.8,0.0228242
1075.6,0.0220414
1075.4,0.0212586
1075.2,0.0204758
1075.0,0.019693
1074.8,0.019743
1074.6,0.019793
1074.4,0.019843
1074.2,0.019893
1074.0,0.019943
1073.8,0.0194314
1073.6,0.0189198
1073.4,0.0184082
1073.2,0.0178966
1073.0,0.017385
1072.8,0.0176332
1072.6,0.0178814
1072.4,0.0181296
1072.2,0.0183778
1072.0,0.018626
1071.8,0.0182716
1071.6,0.0179172
1071.4,0.0175628
1071.2,0.0172084
1071.0,0.016854
1070.8,0.0158794
1070.6,0.0149048
1070.4,0.0139302
1070.2,0.0129556
1070.0,0.011981
1069.8,0.0116772
1069.6,0.0113734
1069.4,0.0110696
1069.2,0.0107658
1069.0,0.010462
1068.8,0.0107476
1068.6,0.0110332
1068.4,0.0113188
1068.2,0.0116044
1068.0,0.01189
1067.8,0.0121754
1067.6,0.0124608
1067.4,0.0127462
1067.2,0.0130316
1067.0,0.013317
1066.8,0.01222
1066.6,0.011123
1066.4,0.010026
1066.2,0.008929
1066.0,0.007832
1065.8,0.0082238
1065.6,0.0086156
1065.4,0.0090074
1065.2,0.0093992
1065.0,0.009791
1064.8,0.0101
1064.6,0.010409
1064.4,0.010718
1064.2,0.011027
1064.0,0.011336
1063.8,0.011017
1063.6,0.010698
1063.4,0.010379
1063.2,0.01006
1063.0,0.009741
1062.8,0.0090672
1062.6,0.0083934
1062.4,0.0077196
1062.2,0.0070458
1062.0,0.006372
1061.8,0.006692
1061.6,0.007012
1061.4,0.007332
1061.2,0.007652
1061.0,0.007972
1060.8,0.0070274
1060.6,0.0060828
1060.4,0.0051382
1060.2,0.0041936
1060.0,0.003249
1059.8,0.0036388
1059.6,0.0040286
1059.4,0.0044184
1059.2,0.0048082
1059.0,0.005198
1058.8,0.0047518
1058.6,0.0043056
1058.4,0.0038594
1058.2,0.0034132
1058.0,0.002967
1057.8,0.0031624
1057.6,0.0033578
1057.4,0.0035532
1057.2,0.0037486
1057.0,0.003944
1056.8,0.0039736
1056.6,0.0040032
1056.4,0.0040328
1056.2,0.0040624
1056.0,0.004092
1055.8,0.0037106
1055.6,0.0033292
1055.4,0.0029478
1055.2,0.0025664
1055.0,0.002185
1054.8,0.0017758
1054.6,0.0013666
1054.4,0.0009574
1054.2,0.0005482
1054.0,0.000139
1053.8,0.000442
1053.6,0.000745
1053.4,0.001048
1053.2,0.001351
1053.0,0.001654
1052.8,0.0016214
1052.6,0.0015888
1052.4,0.0015562
1052.2,0.0015236
1052.0,0.001491
1051.8,0.0015576
1051.6,0.0016242
1051.4,0.0016908
1051.2,0.0017574
1051.0,0.001824
1050.8,0.0014948
1050.6,0.0011656
1050.4,0.0008364
1050.2,0.0005072
1050.0,0.000178
1049.8,0.0003476
1049.6,0.0005172
1049.4,0.0006868
1049.2,0.0008564
1049.0,0.001026
1048.8,0.0012968
1048.6,0.0015676
1048.4,0.0018384
1048.2,0.0021092
1048.0,0.00238
1047.8,0.0022658
1047.6,0.0021516
1047.4,0.0020374
1047.2,0.0019232
1047.0,0.001809
1046.8,0.002392
1046.6,0.002975
1046.4,0.003558
1046.2,0.004141
1046.0,0.004724
1045.8,0.0039322
1045.6,0.0031404
1045.4,0.0023486
1045.2,0.0015568
1045.0,0.000765
1044.8,0.0006902
1044.6,0.0006154
1044.4,0.0005406
1044.2,0.0004658
1044.0,0.000391
1043.8,0.0007314
1043.6,0.0010718
1043.4,0.0014122
1043.2,0.0017526
1043.0,0.002093
1042.8,0.0021154
1042.6,0.0021378
1042.4,0.0021602
1042.2,0.0021826
1042.0,0.002205
1041.8,0.0018146
1041.6,0.0014242
1041.4,0.0010338
1041.2,0.0006434
1041.0,0.000253
1040.8,0.0003268
1040.6,0.0004006
1040.4,0.0004744
1040.2,0.0005482
1040.0,0.000622
1039.8,0.0006218
1039.6,0.0006216
1039.4,0.0006214
1039.2,0.0006212
1039.0,0.000621
1038.8,0.0010256
1038.6,0.0014302
1038.4,0.0018348
1038.2,0.0022394
1038.0,0.002644
1037.8,0.003138
1037.6,0.003632
1037.4,0.004126
1037.2,0.00462
1037.0,0.005114
1036.8,0.0043696
1036.6,0.0036252
1036.4,0.0028808
1036.2,0.0021364
1036.0,0.001392
1035.8,0.0013498
1035.6,0.0013076
1035.4,0.0012654
1035.2,0.0012232
1035.0,0.001181
1034.8,0.0010222
1034.6,0.0008634
1034.4,0.0007046
1034.2,0.0005458
1034.0,0.000387
1033.8,0.0003134
1033.6,0.0002398
1033.4,0.0001662
1033.2,9.26E-05
1033.0,1.9E-05
1032.8,0.000634
1032.6,0.001249
1032.4,0.001864
1032.2,0.002479
1032.0,0.003094
1031.8,0.0028766
1031.6,0.0026592
1031.4,0.0024418
1031.2,0.0022244
1031.0,0.002007
1030.8,0.001764
1030.6,0.001521
1030.4,0.001278
1030.2,0.001035
1030.0,0.000792
1029.8,0.0007574
1029.6,0.0007228
1029.4,0.0006882
1029.2,0.0006536
1029.0,0.000619
1028.8,0.0008512
1028.6,0.0010834
1028.4,0.0013156
1028.2,0.0015478
1028.0,0.00178
1027.8,0.0018098
1027.6,0.0018396
1027.4,0.0018694
1027.2,0.0018992
1027.0,0.001929
1026.8,0.002359
1026.6,0.002789
1026.4,0.003219
1026.2,0.003649
