# WAVELENGTH_UNIT	nanometer
# COMPNAME       	ZTF_r
# NAME           	ZTF_r
# DETECTOR       	photon
#
## WAVELENGTH	None	nanometer
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
549.76,0.125
549.83,0.131
549.90,0.122
549.97,0.132
550.04,0.137
550.12,0.133
550.19,0.128
550.26,0.124
550.33,0.122
550.40,0.124
550.47,0.127
550.54,0.125
550.61,0.113
550.69,0.128
550.76,0.123
550.83,0.132
550.90,0.125
550.97,0.118
551.04,0.109
551.11,0.122
551.18,0.125
551.25,0.122
551.33,0.126
551.40,0.126
551.47,0.137
551.54,0.139
551.61,0.137
551.68,0.128
551.75,0.122
551.82,0.124
551.89,0.134
551.96,0.132
552.04,0.141
552.11,0.133
552.18,0.136
552.25,0.138
552.32,0.140
552.39,0.126
552.46,0.137
552.53,0.142
552.60,0.144
552.67,0.134
552.75,0.143
552.82,0.138
552.89,0.129
552.96,0.149
553.03,0.154
553.10,0.138
553.17,0.159
553.24,0.139
553.31,0.151
553.38,0.151
553.45,0.159
553.53,0.136
553.60,0.142
553.67,0.161
553.74,0.160
553.81,0.163
553.88,0.138
553.95,0.142
554.02,0.165
554.09,0.166
554.16,0.162
554.23,0.167
554.30,0.174
554.38,0.166
554.45,0.171
554.52,0.169
554.59,0.176
554.66,0.172
554.73,0.170
554.80,0.180
554.87,0.183
554.94,0.180
555.01,0.182
555.08,0.186
555.15,0.188
555.22,0.187
555.29,0.193
555.37,0.208
555.44,0.186
555.51,0.199
555.58,0.196
555.65,0.216
555.72,0.199
555.79,0.205
555.86,0.218
555.93,0.221
556.00,0.216
556.07,0.231
556.14,0.220
556.21,0.228
556.28,0.233
556.35,0.234
556.42,0.241
556.50,0.246
556.57,0.245
556.64,0.273
556.71,0.274
556.78,0.263
556.85,0.268
556.92,0.272
556.99,0.281
557.06,0.302
557.13,0.312
557.20,0.306
557.27,0.307
557.34,0.316
557.41,0.314
557.48,0.326
557.55,0.334
557.62,0.355
557.69,0.347
557.76,0.370
557.83,0.376
557.90,0.376
557.97,0.395
558.04,0.394
558.12,0.405
558.19,0.425
558.26,0.438
558.33,0.442
558.40,0.446
558.47,0.464
558.54,0.498
558.61,0.499
558.68,0.493
558.75,0.526
558.82,0.551
558.89,0.564
558.96,0.586
559.03,0.605
559.10,0.621
559.17,0.637
559.24,0.653
559.31,0.676
559.38,0.699
559.45,0.734
559.52,0.776
559.59,0.794
559.66,0.819
559.73,0.835
559.80,0.850
