# WAVELENGTH_UNIT	AA
# COMPNAME       	CFHT_CFH12K_CFH7406
# NAME           	CFHT_CFH12K_CFH7406
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
4622.000000,0.000660
4624.000000,0.000610
4626.000000,0.000720
4628.000000,0.000810
4630.000000,0.000760
4632.000000,0.000750
4634.000000,0.000820
4636.000000,0.000900
4638.000000,0.000840
4640.000000,0.000810
4642.000000,0.000870
4644.000000,0.000950
4646.000000,0.000990
4648.000000,0.000950
4650.000000,0.000990
4652.000000,0.001010
4654.000000,0.001010
4656.000000,0.001110
4658.000000,0.001110
4660.000000,0.001080
4662.000000,0.001110
4664.000000,0.001190
4666.000000,0.001190
4668.000000,0.001160
4670.000000,0.001210
4672.000000,0.001270
4674.000000,0.001340
4676.000000,0.001390
4678.000000,0.001390
4680.000000,0.001420
4682.000000,0.001450
4684.000000,0.001500
4686.000000,0.001540
4688.000000,0.001590
4690.000000,0.001570
4692.000000,0.001620
4694.000000,0.001740
4696.000000,0.001790
4698.000000,0.001860
4700.000000,0.001860
4702.000000,0.001860
4704.000000,0.001890
4706.000000,0.001980
4708.000000,0.002090
4710.000000,0.002060
4712.000000,0.002170
4714.000000,0.002350
4716.000000,0.002400
4718.000000,0.002440
4720.000000,0.002590
4722.000000,0.002670
4724.000000,0.002720
4726.000000,0.002900
4728.000000,0.003020
4730.000000,0.003170
4732.000000,0.003360
4734.000000,0.003450
4736.000000,0.003620
4738.000000,0.003880
4740.000000,0.004070
4742.000000,0.004260
4744.000000,0.004560
4746.000000,0.004840
4748.000000,0.005020
4750.000000,0.005290
4752.000000,0.005620
4754.000000,0.005970
4756.000000,0.006450
4758.000000,0.006820
4760.000000,0.007230
4762.000000,0.007770
4764.000000,0.008300
4766.000000,0.008900
4768.000000,0.009510
4770.000000,0.010070
4772.000000,0.010760
4774.000000,0.011630
4776.000000,0.012530
4778.000000,0.013500
4780.000000,0.014500
4782.000000,0.015640
4784.000000,0.016880
4786.000000,0.018200
4788.000000,0.019820
4790.000000,0.021580
4792.000000,0.023330
4794.000000,0.025360
4796.000000,0.027570
4798.000000,0.029910
4800.000000,0.032680
4802.000000,0.035890
4804.000000,0.039570
4806.000000,0.043380
4808.000000,0.047450
4810.000000,0.052200
4812.000000,0.057540
4814.000000,0.063630
4816.000000,0.070620
4818.000000,0.078580
4820.000000,0.087340
4822.000000,0.097440
4824.000000,0.109100
4826.000000,0.122310
4828.000000,0.137450
4830.000000,0.154800
4832.000000,0.174580
4834.000000,0.197280
4836.000000,0.223130
4838.000000,0.252750
4840.000000,0.286740
4842.000000,0.323900
4844.000000,0.363860
4846.000000,0.407470
4848.000000,0.454540
4850.000000,0.504780
4852.000000,0.556560
4854.000000,0.607680
4856.000000,0.656620
4858.000000,0.703450
4860.000000,0.747060
4862.000000,0.784090
4864.000000,0.814700
4866.000000,0.838960
4868.000000,0.857180
4870.000000,0.869020
4872.000000,0.875690
4874.000000,0.878540
4876.000000,0.878080
4878.000000,0.875790
4880.000000,0.871090
4882.000000,0.866930
4884.000000,0.863800
4886.000000,0.859530
4888.000000,0.856220
4890.000000,0.854100
4892.000000,0.851730
4894.000000,0.850230
4896.000000,0.849230
4898.000000,0.846830
4900.000000,0.844680
4902.000000,0.838850
4904.000000,0.830600
4906.000000,0.821140
4908.000000,0.806700
4910.000000,0.786420
4912.000000,0.760970
4914.000000,0.733000
4916.000000,0.701250
4918.000000,0.664170
4920.000000,0.622270
4922.000000,0.579100
4924.000000,0.535280
4926.000000,0.490280
4928.000000,0.446760
4930.000000,0.405330
4932.000000,0.365460
4934.000000,0.329040
4936.000000,0.295460
4938.000000,0.264540
4940.000000,0.237530
4942.000000,0.213270
4944.000000,0.190480
4946.000000,0.169860
4948.000000,0.151460
4950.000000,0.135450
4952.000000,0.122190
4954.000000,0.110350
4956.000000,0.099470
4958.000000,0.089970
4960.000000,0.081530
4962.000000,0.074050
4964.000000,0.067400
4966.000000,0.061400
4968.000000,0.056110
4970.000000,0.051560
4972.000000,0.047390
4974.000000,0.043440
4976.000000,0.040020
4978.000000,0.037000
4980.000000,0.034210
4982.000000,0.031740
4984.000000,0.029340
4986.000000,0.027210
4988.000000,0.025390
4990.000000,0.023730
4992.000000,0.022060
4994.000000,0.020540
4996.000000,0.019290
4998.000000,0.018140
5000.000000,0.017010
5002.000000,0.015880
5004.000000,0.014970
5006.000000,0.014100
5008.000000,0.013340
5010.000000,0.012590
5012.000000,0.011860
5014.000000,0.011180
5016.000000,0.010570
5018.000000,0.010040
5020.000000,0.009570
5022.000000,0.009080
5024.000000,0.008610
5026.000000,0.008260
5028.000000,0.007780
5030.000000,0.007320
5032.000000,0.007020
5034.000000,0.006620
5036.000000,0.006360
5038.000000,0.006150
5040.000000,0.005870
5042.000000,0.005630
5044.000000,0.005260
5046.000000,0.005040
5048.000000,0.004870
5050.000000,0.004700
5052.000000,0.004500
5054.000000,0.004320
5056.000000,0.004090
5058.000000,0.003860
5060.000000,0.003740
5062.000000,0.003560
5064.000000,0.003460
5066.000000,0.003390
5068.000000,0.003310
5070.000000,0.003200
5072.000000,0.003040
5074.000000,0.002940
5076.000000,0.002870
5078.000000,0.002760
5080.000000,0.002700
5082.000000,0.002610
5084.000000,0.002500
5086.000000,0.002440
5088.000000,0.002370
5090.000000,0.002240
5092.000000,0.002180
5094.000000,0.002120
5096.000000,0.002110
5098.000000,0.002080
5100.000000,0.002080
5102.000000,0.001980
5104.000000,0.001860
5106.000000,0.001830
5108.000000,0.001750
5110.000000,0.001650
5112.000000,0.001590
5114.000000,0.001590
5116.000000,0.001600
5118.000000,0.001570
5120.000000,0.001530
5122.000000,0.001560
5124.000000,0.001510
5126.000000,0.001330
5128.000000,0.001300
5130.000000,0.001360
5132.000000,0.001310
5134.000000,0.001280
5136.000000,0.001240
5138.000000,0.001190
5140.000000,0.001190
5142.000000,0.001160
5144.000000,0.001160
5146.000000,0.001130
5148.000000,0.001050
5150.000000,0.001050
5152.000000,0.001020
5154.000000,0.001020
5156.000000,0.001050
