# WAVELENGTH_UNIT	AA
# COMPNAME       	CFHT_MEGAPRIME_CFH7803
# NAME           	CFHT_MEGAPRIME_CFH7803
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
7907.000000,0.003130
7908.000000,0.003170
7909.000000,0.003250
7910.000000,0.003280
7911.000000,0.003340
7912.000000,0.003400
7913.000000,0.003460
7914.000000,0.003520
7915.000000,0.003590
7916.000000,0.003650
7917.000000,0.003710
7918.000000,0.003780
7919.000000,0.003860
7920.000000,0.003940
7921.000000,0.004030
7922.000000,0.004100
7923.000000,0.004200
7924.000000,0.004290
7925.000000,0.004360
7926.000000,0.004470
7927.000000,0.004560
7928.000000,0.004670
7929.000000,0.004780
7930.000000,0.004880
7931.000000,0.004970
7932.000000,0.005100
7933.000000,0.005220
7934.000000,0.005340
7935.000000,0.005460
7936.000000,0.005600
7937.000000,0.005750
7938.000000,0.005890
7939.000000,0.006060
7940.000000,0.006230
7941.000000,0.006390
7942.000000,0.006580
7943.000000,0.006740
7944.000000,0.006930
7945.000000,0.007140
7946.000000,0.007350
7947.000000,0.007600
7948.000000,0.007840
7949.000000,0.008100
7950.000000,0.008350
7951.000000,0.008640
7952.000000,0.008910
7953.000000,0.009170
7954.000000,0.009490
7955.000000,0.009800
7956.000000,0.010120
7957.000000,0.010450
7958.000000,0.010790
7959.000000,0.011170
7960.000000,0.011570
7961.000000,0.011990
7962.000000,0.012420
7963.000000,0.012860
7964.000000,0.013310
7965.000000,0.013780
7966.000000,0.014300
7967.000000,0.014820
7968.000000,0.015400
7969.000000,0.016020
7970.000000,0.016660
7971.000000,0.017330
7972.000000,0.018050
7973.000000,0.018770
7974.000000,0.019560
7975.000000,0.020400
7976.000000,0.021270
7977.000000,0.022160
7978.000000,0.023130
7979.000000,0.024150
7980.000000,0.025210
7981.000000,0.026350
7982.000000,0.027540
7983.000000,0.028820
7984.000000,0.030140
7985.000000,0.031510
7986.000000,0.032990
7987.000000,0.034550
7988.000000,0.036220
7989.000000,0.038010
7990.000000,0.039870
7991.000000,0.041820
7992.000000,0.043880
7993.000000,0.046100
7994.000000,0.048450
7995.000000,0.050950
7996.000000,0.053600
7997.000000,0.056370
7998.000000,0.059310
7999.000000,0.062450
8000.000000,0.065780
8001.000000,0.069350
8002.000000,0.073070
8003.000000,0.077100
8004.000000,0.081340
8005.000000,0.085880
8006.000000,0.090640
8007.000000,0.095760
8008.000000,0.101200
8009.000000,0.107030
8010.000000,0.113070
8011.000000,0.119400
8012.000000,0.126170
8013.000000,0.133330
8014.000000,0.140880
8015.000000,0.148830
8016.000000,0.157290
8017.000000,0.166080
8018.000000,0.175280
8019.000000,0.184840
8020.000000,0.194990
8021.000000,0.205520
8022.000000,0.216430
8023.000000,0.227830
8024.000000,0.239870
8025.000000,0.252120
8026.000000,0.265010
8027.000000,0.278320
8028.000000,0.292070
8029.000000,0.306300
8030.000000,0.320880
8031.000000,0.335920
8032.000000,0.351320
8033.000000,0.367100
8034.000000,0.383190
8035.000000,0.399670
8036.000000,0.416430
8037.000000,0.433400
8038.000000,0.450590
8039.000000,0.467830
8040.000000,0.485430
8041.000000,0.503010
8042.000000,0.520610
8043.000000,0.538450
8044.000000,0.556060
8045.000000,0.573500
8046.000000,0.591020
8047.000000,0.607990
8048.000000,0.624850
8049.000000,0.641510
8050.000000,0.657940
8051.000000,0.673870
8052.000000,0.689210
8053.000000,0.704390
8054.000000,0.719190
8055.000000,0.733510
8056.000000,0.746840
8057.000000,0.759780
8058.000000,0.771990
8059.000000,0.783740
8060.000000,0.794750
8061.000000,0.805190
8062.000000,0.814930
8063.000000,0.824250
8064.000000,0.832840
8065.000000,0.840640
8066.000000,0.847580
8067.000000,0.854170
8068.000000,0.860380
8069.000000,0.865800
8070.000000,0.870730
8071.000000,0.875230
8072.000000,0.879270
8073.000000,0.883030
8074.000000,0.886520
8075.000000,0.889370
8076.000000,0.892330
8077.000000,0.895070
8078.000000,0.897370
8079.000000,0.899430
8080.000000,0.901120
8081.000000,0.902730
8082.000000,0.904560
8083.000000,0.906230
8084.000000,0.907580
8085.000000,0.909010
8086.000000,0.910350
8087.000000,0.911760
8088.000000,0.913010
8089.000000,0.914340
8090.000000,0.915570
8091.000000,0.916700
8092.000000,0.917910
8093.000000,0.918910
8094.000000,0.919890
8095.000000,0.920870
8096.000000,0.922360
8097.000000,0.923830
8098.000000,0.925170
8099.000000,0.926390
8100.000000,0.927670
8101.000000,0.928890
8102.000000,0.930210
8103.000000,0.931370
8104.000000,0.932650
8105.000000,0.933780
8106.000000,0.934940
8107.000000,0.936070
8108.000000,0.936980
8109.000000,0.938190
8110.000000,0.939610
8111.000000,0.940890
8112.000000,0.941620
8113.000000,0.942460
8114.000000,0.943470
8115.000000,0.944440
8116.000000,0.945530
8117.000000,0.946440
8118.000000,0.947100
8119.000000,0.947800
8120.000000,0.948650
8121.000000,0.949450
8122.000000,0.950060
8123.000000,0.950820
8124.000000,0.951460
8125.000000,0.951900
8126.000000,0.952030
8127.000000,0.952550
8128.000000,0.952910
8129.000000,0.953170
8130.000000,0.953370
8131.000000,0.953550
8132.000000,0.953670
8133.000000,0.953860
8134.000000,0.953860
8135.000000,0.953780
8136.000000,0.953570
8137.000000,0.953310
8138.000000,0.953110
8139.000000,0.953020
8140.000000,0.952900
8141.000000,0.952670
8142.000000,0.952580
8143.000000,0.952190
8144.000000,0.952040
8145.000000,0.951900
8146.000000,0.951550
8147.000000,0.950810
8148.000000,0.950300
8149.000000,0.949460
8150.000000,0.949050
8151.000000,0.948410
8152.000000,0.947630
8153.000000,0.947050
8154.000000,0.946290
8155.000000,0.945040
8156.000000,0.943880
8157.000000,0.942410
8158.000000,0.940870
8159.000000,0.939040
8160.000000,0.937190
8161.000000,0.935170
8162.000000,0.932650
8163.000000,0.930070
8164.000000,0.926900
8165.000000,0.923370
8166.000000,0.919600
8167.000000,0.915280
8168.000000,0.910710
8169.000000,0.905380
8170.000000,0.899540
8171.000000,0.893420
8172.000000,0.886410
8173.000000,0.879170
8174.000000,0.871080
8175.000000,0.862610
8176.000000,0.853240
8177.000000,0.843350
8178.000000,0.833010
8179.000000,0.822110
8180.000000,0.810550
8181.000000,0.798650
8182.000000,0.785810
8183.000000,0.772630
8184.000000,0.758730
8185.000000,0.744340
8186.000000,0.729630
8187.000000,0.714190
8188.000000,0.698330
8189.000000,0.682240
8190.000000,0.665890
8191.000000,0.649060
8192.000000,0.632170
8193.000000,0.614790
8194.000000,0.597380
8195.000000,0.579880
8196.000000,0.562320
8197.000000,0.544800
8198.000000,0.527250
8199.000000,0.509700
8200.000000,0.492190
8201.000000,0.474910
8202.000000,0.457690
8203.000000,0.440890
8204.000000,0.424300
8205.000000,0.407710
8206.000000,0.391430
8207.000000,0.375490
8208.000000,0.359770
8209.000000,0.344470
8210.000000,0.329560
8211.000000,0.314820
8212.000000,0.300460
8213.000000,0.286580
8214.000000,0.273090
8215.000000,0.260040
8216.000000,0.247480
8217.000000,0.235210
8218.000000,0.223500
8219.000000,0.212170
8220.000000,0.201400
8221.000000,0.191090
8222.000000,0.181270
8223.000000,0.172010
8224.000000,0.163120
8225.000000,0.154620
8226.000000,0.146510
8227.000000,0.138900
8228.000000,0.131740
8229.000000,0.124790
8230.000000,0.118240
8231.000000,0.112090
8232.000000,0.106310
8233.000000,0.100850
8234.000000,0.095640
8235.000000,0.090700
8236.000000,0.086070
8237.000000,0.081650
8238.000000,0.077470
8239.000000,0.073410
8240.000000,0.069660
8241.000000,0.066160
8242.000000,0.062760
8243.000000,0.059620
8244.000000,0.056530
8245.000000,0.053650
8246.000000,0.050930
8247.000000,0.048390
8248.000000,0.045960
8249.000000,0.043670
8250.000000,0.041500
8251.000000,0.039440
8252.000000,0.037540
8253.000000,0.035770
8254.000000,0.034090
8255.000000,0.032490
8256.000000,0.030940
8257.000000,0.029510
8258.000000,0.028180
8259.000000,0.026920
8260.000000,0.025770
8261.000000,0.024640
8262.000000,0.023610
8263.000000,0.022550
8264.000000,0.021580
8265.000000,0.020660
8266.000000,0.019790
8267.000000,0.019000
8268.000000,0.018200
8269.000000,0.017430
8270.000000,0.016710
8271.000000,0.016040
8272.000000,0.015400
8273.000000,0.014800
8274.000000,0.014210
8275.000000,0.013630
8276.000000,0.013050
8277.000000,0.012560
8278.000000,0.012080
8279.000000,0.011660
8280.000000,0.011220
8281.000000,0.010790
8282.000000,0.010410
8283.000000,0.010030
8284.000000,0.009660
8285.000000,0.009320
8286.000000,0.009000
8287.000000,0.008680
8288.000000,0.008380
8289.000000,0.008070
8290.000000,0.007780
8291.000000,0.007540
8292.000000,0.007280
8293.000000,0.007000
8294.000000,0.006760
8295.000000,0.006530
8296.000000,0.006300
8297.000000,0.006100
8298.000000,0.005910
8299.000000,0.005710
8300.000000,0.005510
8301.000000,0.005310
8302.000000,0.005130
8303.000000,0.004930
8304.000000,0.004780
8305.000000,0.004620
8306.000000,0.004470
8307.000000,0.004330
8308.000000,0.004210
8309.000000,0.004070
8310.000000,0.003940
8311.000000,0.003810
8312.000000,0.003690
8313.000000,0.003570
8314.000000,0.003460
8315.000000,0.003360
8316.000000,0.003250
8317.000000,0.003160
8318.000000,0.003070
8319.000000,0.002990
8320.000000,0.002900
8321.000000,0.002820
8322.000000,0.002730
8323.000000,0.002640
8324.000000,0.002580
8325.000000,0.002520
8326.000000,0.002430
8327.000000,0.002370
8328.000000,0.002300
8329.000000,0.002230
8330.000000,0.002170
8331.000000,0.002110
8332.000000,0.002030
8333.000000,0.001970
8334.000000,0.001920
