# WAVELENGTH_UNIT	AA
# COMPNAME       	CFHT_WIRCAM_CFH8002
# NAME           	CFHT_WIRCAM_CFH8002
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
9386.000000,0.009960
9388.000000,0.010030
9390.000000,0.010280
9392.000000,0.010600
9394.000000,0.010740
9396.000000,0.010960
9398.000000,0.011150
9400.000000,0.011320
9402.000000,0.011410
9404.000000,0.011700
9406.000000,0.012020
9408.000000,0.012300
9410.000000,0.012500
9412.000000,0.012710
9414.000000,0.012860
9416.000000,0.013140
9418.000000,0.013410
9420.000000,0.013790
9422.000000,0.014040
9424.000000,0.014240
9426.000000,0.014570
9428.000000,0.014880
9430.000000,0.015110
9432.000000,0.015460
9434.000000,0.015870
9436.000000,0.016240
9438.000000,0.016420
9440.000000,0.016690
9442.000000,0.017060
9444.000000,0.017290
9446.000000,0.017610
9448.000000,0.017940
9450.000000,0.018370
9452.000000,0.018660
9454.000000,0.019060
9456.000000,0.019530
9458.000000,0.019880
9460.000000,0.020420
9462.000000,0.020950
9464.000000,0.021420
9466.000000,0.021770
9468.000000,0.022230
9470.000000,0.022720
9472.000000,0.023320
9474.000000,0.023800
9476.000000,0.024430
9478.000000,0.024990
9480.000000,0.025570
9482.000000,0.026140
9484.000000,0.026720
9486.000000,0.027310
9488.000000,0.027940
9490.000000,0.028490
9492.000000,0.029070
9494.000000,0.029790
9496.000000,0.030560
9498.000000,0.031370
9500.000000,0.032040
9502.000000,0.032820
9504.000000,0.033550
9506.000000,0.034410
9508.000000,0.035310
9510.000000,0.036130
9512.000000,0.036930
9514.000000,0.037840
9516.000000,0.038730
9518.000000,0.039700
9520.000000,0.040740
9522.000000,0.041850
9524.000000,0.042940
9526.000000,0.043930
9528.000000,0.045000
9530.000000,0.046130
9532.000000,0.047420
9534.000000,0.048710
9536.000000,0.049990
9538.000000,0.051380
9540.000000,0.052730
9542.000000,0.054200
9544.000000,0.055710
9546.000000,0.057250
9548.000000,0.058900
9550.000000,0.060500
9552.000000,0.062160
9554.000000,0.063960
9556.000000,0.065780
9558.000000,0.067720
9560.000000,0.069600
9562.000000,0.071520
9564.000000,0.073320
9566.000000,0.075260
9568.000000,0.077350
9570.000000,0.079420
9572.000000,0.081470
9574.000000,0.083620
9576.000000,0.085860
9578.000000,0.088090
9580.000000,0.090470
9582.000000,0.092910
9584.000000,0.095290
9586.000000,0.097870
9588.000000,0.100450
9590.000000,0.103010
9592.000000,0.105760
9594.000000,0.108630
9596.000000,0.111620
9598.000000,0.114610
9600.000000,0.117610
9602.000000,0.120730
9604.000000,0.124020
9606.000000,0.127290
9608.000000,0.130720
9610.000000,0.134170
9612.000000,0.137620
9614.000000,0.141330
9616.000000,0.145020
9618.000000,0.148680
9620.000000,0.152540
9622.000000,0.156480
9624.000000,0.160460
9626.000000,0.164520
9628.000000,0.168640
9630.000000,0.172930
9632.000000,0.177310
9634.000000,0.181790
9636.000000,0.186330
9638.000000,0.190990
9640.000000,0.195570
9642.000000,0.200390
9644.000000,0.205410
9646.000000,0.210210
9648.000000,0.215330
9650.000000,0.220570
9652.000000,0.225780
9654.000000,0.231050
9656.000000,0.236470
9658.000000,0.241870
9660.000000,0.247480
9662.000000,0.253140
9664.000000,0.258740
9666.000000,0.264370
9668.000000,0.270070
9670.000000,0.275940
9672.000000,0.281860
9674.000000,0.287800
9676.000000,0.293750
9678.000000,0.299870
9680.000000,0.305830
9682.000000,0.311950
9684.000000,0.318120
9686.000000,0.324490
9688.000000,0.330670
9690.000000,0.336980
9692.000000,0.343260
9694.000000,0.349550
9696.000000,0.355960
9698.000000,0.362350
9700.000000,0.368820
9702.000000,0.375240
9704.000000,0.381610
9706.000000,0.388000
9708.000000,0.394330
9710.000000,0.400680
9712.000000,0.407000
9714.000000,0.413190
9716.000000,0.419420
9718.000000,0.425550
9720.000000,0.431720
9722.000000,0.437870
9724.000000,0.443920
9726.000000,0.449980
9728.000000,0.455990
9730.000000,0.461870
9732.000000,0.467680
9734.000000,0.473500
9736.000000,0.479280
9738.000000,0.484850
9740.000000,0.490510
9742.000000,0.496000
9744.000000,0.501460
9746.000000,0.506790
9748.000000,0.512020
9750.000000,0.517060
9752.000000,0.522250
9754.000000,0.527180
9756.000000,0.532090
9758.000000,0.536900
9760.000000,0.541580
9762.000000,0.546190
9764.000000,0.550610
9766.000000,0.554840
9768.000000,0.559070
9770.000000,0.563190
9772.000000,0.566990
9774.000000,0.570850
9776.000000,0.574660
9778.000000,0.578380
9780.000000,0.581920
9782.000000,0.585490
9784.000000,0.588760
9786.000000,0.591980
9788.000000,0.595150
9790.000000,0.598130
9792.000000,0.601090
9794.000000,0.603880
9796.000000,0.606660
9798.000000,0.609330
9800.000000,0.611920
9802.000000,0.614430
9804.000000,0.616930
9806.000000,0.619260
9808.000000,0.621520
9810.000000,0.623700
9812.000000,0.625820
9814.000000,0.627820
9816.000000,0.629780
9818.000000,0.631710
9820.000000,0.633440
9822.000000,0.635130
9824.000000,0.636800
9826.000000,0.638410
9828.000000,0.639980
9830.000000,0.641460
9832.000000,0.642840
9834.000000,0.644300
9836.000000,0.645600
9838.000000,0.646930
9840.000000,0.648160
9842.000000,0.649430
9844.000000,0.650700
9846.000000,0.651930
9848.000000,0.653060
9850.000000,0.654220
9852.000000,0.655330
9854.000000,0.656330
9856.000000,0.657380
9858.000000,0.658390
9860.000000,0.659380
9862.000000,0.660480
9864.000000,0.661530
9866.000000,0.662490
9868.000000,0.663530
9870.000000,0.664520
9872.000000,0.665530
9874.000000,0.666520
9876.000000,0.667420
9878.000000,0.668350
9880.000000,0.669330
9882.000000,0.670180
9884.000000,0.671020
9886.000000,0.672030
9888.000000,0.672850
9890.000000,0.673780
9892.000000,0.674560
9894.000000,0.675370
9896.000000,0.676210
9898.000000,0.677080
9900.000000,0.677920
9902.000000,0.678770
9904.000000,0.679630
9906.000000,0.680420
9908.000000,0.681230
9910.000000,0.682110
9912.000000,0.682950
9914.000000,0.683870
9916.000000,0.684810
9918.000000,0.685650
9920.000000,0.686610
9922.000000,0.687480
9924.000000,0.688550
9926.000000,0.689470
9928.000000,0.690340
9930.000000,0.691270
9932.000000,0.692200
9934.000000,0.692990
9936.000000,0.693790
9938.000000,0.694600
9940.000000,0.695500
9942.000000,0.696210
9944.000000,0.697010
9946.000000,0.697720
9948.000000,0.698490
9950.000000,0.699190
9952.000000,0.699910
9954.000000,0.700640
9956.000000,0.701260
9958.000000,0.701890
9960.000000,0.702590
9962.000000,0.703170
9964.000000,0.703770
9966.000000,0.704380
9968.000000,0.704940
9970.000000,0.705490
9972.000000,0.705990
9974.000000,0.706530
9976.000000,0.707000
9978.000000,0.707460
9980.000000,0.707950
9982.000000,0.708440
9984.000000,0.708890
9986.000000,0.709210
9988.000000,0.709630
9990.000000,0.710050
9992.000000,0.710310
9994.000000,0.710630
9996.000000,0.711000
9998.000000,0.711350
10000.000000,0.711750
10002.000000,0.712040
10004.000000,0.712270
10006.000000,0.712510
10008.000000,0.712710
10010.000000,0.712940
10012.000000,0.713030
10014.000000,0.713130
10016.000000,0.713200
10018.000000,0.713260
10020.000000,0.713300
10022.000000,0.713350
10024.000000,0.713420
10026.000000,0.713470
10028.000000,0.713500
10030.000000,0.713500
10032.000000,0.713360
10034.000000,0.713360
10036.000000,0.713380
10038.000000,0.713320
10040.000000,0.713330
10042.000000,0.713180
10044.000000,0.713120
10046.000000,0.713070
10048.000000,0.713010
10050.000000,0.713010
10052.000000,0.712840
10054.000000,0.712690
10056.000000,0.712660
10058.000000,0.712590
10060.000000,0.712340
10062.000000,0.712170
10064.000000,0.712020
10066.000000,0.711870
10068.000000,0.711670
10070.000000,0.711460
10072.000000,0.711260
10074.000000,0.711150
10076.000000,0.711000
10078.000000,0.710710
10080.000000,0.710480
10082.000000,0.710270
10084.000000,0.710050
10086.000000,0.709810
10088.000000,0.709560
10090.000000,0.709260
10092.000000,0.709050
10094.000000,0.708790
10096.000000,0.708630
10098.000000,0.708370
10100.000000,0.708110
10102.000000,0.707870
10104.000000,0.707660
10106.000000,0.707440
10108.000000,0.707290
10110.000000,0.707180
10112.000000,0.707030
10114.000000,0.706880
10116.000000,0.706800
10118.000000,0.706710
10120.000000,0.706540
10122.000000,0.706480
10124.000000,0.706480
10126.000000,0.706470
10128.000000,0.706380
10130.000000,0.706410
10132.000000,0.706440
10134.000000,0.706540
10136.000000,0.706590
10138.000000,0.706630
10140.000000,0.706570
10142.000000,0.706620
10144.000000,0.706700
10146.000000,0.706740
10148.000000,0.706860
10150.000000,0.707000
10152.000000,0.707180
10154.000000,0.707340
10156.000000,0.707460
10158.000000,0.707660
10160.000000,0.707920
10162.000000,0.708150
10164.000000,0.708440
10166.000000,0.708760
10168.000000,0.709030
10170.000000,0.709400
10172.000000,0.709870
10174.000000,0.710310
10176.000000,0.710710
10178.000000,0.711150
