# NAME           	GaiaDR2_BP
# WAVELENGTH_UNIT	nm
# DETECTOR       	photon
# COMPNAME       	GaiaDR2_BP
#
## WAVELENGTH	None	nm
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.250000000000000000e+02,1.897636289999999996e-04
3.252500000000000000e+02,3.418695840000000137e-04
3.255000000000000000e+02,5.095031300000000402e-04
3.257500000000000000e+02,6.926642679999999667e-04
3.260000000000000000e+02,8.913529979999997932e-04
3.262500000000000000e+02,1.494038880000000003e-03
3.265000000000000000e+02,2.197608230000000148e-03
3.267500000000000000e+02,3.002061070000000033e-03
3.270000000000000000e+02,3.907397370000000210e-03
3.272500000000000000e+02,5.498155799999999635e-03
3.275000000000000000e+02,7.258861890000000046e-03
3.277500000000000000e+02,9.189515619999999788e-03
3.280000000000000000e+02,1.129011700000000055e-02
3.282500000000000000e+02,1.412319239999999983e-02
3.285000000000000000e+02,1.709176310000000074e-02
3.287500000000000000e+02,2.019582920000000115e-02
3.290000000000000000e+02,2.343539069999999933e-02
3.292500000000000000e+02,2.753898410000000033e-02
3.295000000000000000e+02,3.162610600000000105e-02
3.297500000000000000e+02,3.569675640000000150e-02
3.300000000000000000e+02,3.975093529999999820e-02
3.302500000000000000e+02,4.537474119999999889e-02
3.305000000000000000e+02,5.099515849999999850e-02
3.307500000000000000e+02,5.661218730000001226e-02
3.310000000000000000e+02,6.222582749999999718e-02
3.312500000000000000e+02,6.939599269999999209e-02
3.315000000000000000e+02,7.658004320000000309e-02
3.317500000000000000e+02,8.377797900000000242e-02
3.320000000000000000e+02,9.098979999999999568e-02
3.322500000000000000e+02,9.990669470000000663e-02
3.325000000000000000e+02,1.090101599999999948e-01
3.327500000000000000e+02,1.183001939999999974e-01
3.330000000000000000e+02,1.277767989999999965e-01
3.332500000000000000e+02,1.374747060000000021e-01
3.335000000000000000e+02,1.473482889999999934e-01
3.337500000000000000e+02,1.573975479999999982e-01
3.340000000000000000e+02,1.676224819999999616e-01
3.342500000000000000e+02,1.772646900000000025e-01
3.345000000000000000e+02,1.870306880000000005e-01
3.347500000000000000e+02,1.969204760000000110e-01
3.350000000000000000e+02,2.069340550000000056e-01
3.352500000000000000e+02,2.152943619999999891e-01
3.355000000000000000e+02,2.236505400000000088e-01
3.357500000000000000e+02,2.320025880000000096e-01
3.360000000000000000e+02,2.403505059999999915e-01
3.362500000000000000e+02,2.460910490000000062e-01
3.365000000000000000e+02,2.516506070000000261e-01
3.367500000000000000e+02,2.570291820000000227e-01
3.370000000000000000e+02,2.622267719999999969e-01
3.372500000000000000e+02,2.661961629999999857e-01
3.375000000000000000e+02,2.700495410000000041e-01
3.377500000000000000e+02,2.737869070000000238e-01
3.380000000000000000e+02,2.774082609999999893e-01
3.382500000000000000e+02,2.855613060000000147e-01
3.385000000000000000e+02,2.938098490000000118e-01
3.387500000000000000e+02,3.021538879999999816e-01
3.390000000000000000e+02,3.105934249999999786e-01
3.392500000000000000e+02,3.160126460000000082e-01
3.395000000000000000e+02,3.214142329999999936e-01
3.397500000000000000e+02,3.267981870000000177e-01
3.400000000000000000e+02,3.321645069999999977e-01
3.402500000000000000e+02,3.317324090000000059e-01
3.405000000000000000e+02,3.310613539999999744e-01
3.407500000000000000e+02,3.301513400000000154e-01
3.410000000000000000e+02,3.290023670000000178e-01
3.412500000000000000e+02,3.215489310000000378e-01
3.415000000000000000e+02,3.137623970000000262e-01
3.417500000000000000e+02,3.056427640000000112e-01
3.420000000000000000e+02,2.971900339999999918e-01
3.422500000000000000e+02,2.878921229999999998e-01
3.425000000000000000e+02,2.783550690000000105e-01
3.427500000000000000e+02,2.685788709999999968e-01
3.430000000000000000e+02,2.585635299999999859e-01
3.432500000000000000e+02,2.603904160000000134e-01
3.435000000000000000e+02,2.622122319999999895e-01
3.437500000000000000e+02,2.640289780000000253e-01
3.440000000000000000e+02,2.658406549999999813e-01
3.442500000000000000e+02,2.786584699999999915e-01
3.445000000000000000e+02,2.916373939999999942e-01
3.447500000000000000e+02,3.047774269999999897e-01
3.450000000000000000e+02,3.180785680000000060e-01
3.452500000000000000e+02,3.336778300000000086e-01
3.455000000000000000e+02,3.493858200000000136e-01
3.457500000000000000e+02,3.652025389999999927e-01
3.460000000000000000e+02,3.811279870000000569e-01
3.462500000000000000e+02,3.948932849999999828e-01
3.465000000000000000e+02,4.087271659999999751e-01
3.467500000000000000e+02,4.226296319999999773e-01
3.470000000000000000e+02,4.366006809999999905e-01
3.472500000000000000e+02,4.428420470000000164e-01
3.475000000000000000e+02,4.491040450000000073e-01
3.477500000000000000e+02,4.553866750000000185e-01
3.480000000000000000e+02,4.616899370000001057e-01
3.482500000000000000e+02,4.621242689999999764e-01
3.485000000000000000e+02,4.625586950000000197e-01
3.487500000000000000e+02,4.629932139999999863e-01
3.490000000000000000e+02,4.634278270000000144e-01
3.492500000000000000e+02,4.620414480000000212e-01
3.495000000000000000e+02,4.606564180000000119e-01
3.497500000000000000e+02,4.592727340000000158e-01
3.500000000000000000e+02,4.578903990000000035e-01
3.502500000000000000e+02,4.574098170000001073e-01
3.505000000000000000e+02,4.569271360000000115e-01
3.507500000000000000e+02,4.564423530000000229e-01
3.510000000000000000e+02,4.559554699999999738e-01
3.512500000000000000e+02,4.567608120000000160e-01
3.515000000000000000e+02,4.575474889999999739e-01
3.517500000000000000e+02,4.583155010000000140e-01
3.520000000000000000e+02,4.590648470000001091e-01
3.522500000000000000e+02,4.590778240000000232e-01
3.525000000000000000e+02,4.590692009999999823e-01
3.527500000000000000e+02,4.590389799999999854e-01
3.530000000000000000e+02,4.589871600000000051e-01
3.532500000000000000e+02,4.569466569999999783e-01
3.535000000000000000e+02,4.549072969999999883e-01
3.537500000000000000e+02,4.528690799999999794e-01
3.540000000000000000e+02,4.508320049999999801e-01
3.542500000000000000e+02,4.469500320000000526e-01
3.545000000000000000e+02,4.430823720000000021e-01
3.547500000000000000e+02,4.392290240000000234e-01
3.550000000000000000e+02,4.353899900000000045e-01
3.552500000000000000e+02,4.321859750000000000e-01
3.555000000000000000e+02,4.289865520000000210e-01
3.557500000000000000e+02,4.257917190000000129e-01
3.560000000000000000e+02,4.226014770000000031e-01
3.562500000000000000e+02,4.197478789999999904e-01
3.565000000000000000e+02,4.168828489999999998e-01
3.567500000000000000e+02,4.140063869999999757e-01
3.570000000000000000e+02,4.111184940000000010e-01
3.572500000000000000e+02,4.094456020000000196e-01
3.575000000000000000e+02,4.077536460000000251e-01
3.577500000000000000e+02,4.060426249999999904e-01
3.580000000000000000e+02,4.043125399999999980e-01
3.582500000000000000e+02,4.018895650000000042e-01
3.585000000000000000e+02,3.994365799999999855e-01
3.587500000000000000e+02,3.969535849999999977e-01
3.590000000000000000e+02,3.944405790000000134e-01
3.592500000000000000e+02,3.915406040000000143e-01
3.595000000000000000e+02,3.886262090000000002e-01
3.597500000000000000e+02,3.856973929999999995e-01
3.600000000000000000e+02,3.827541580000000110e-01
3.602500000000000000e+02,3.794893240000000167e-01
3.605000000000000000e+02,3.762229939999999773e-01
3.607500000000000000e+02,3.729551669999999763e-01
3.610000000000000000e+02,3.696858419999999867e-01
3.612500000000000000e+02,3.652483129999999911e-01
3.615000000000000000e+02,3.608085429999999816e-01
3.617500000000000000e+02,3.563665300000000147e-01
3.620000000000000000e+02,3.519222770000000056e-01
3.622500000000000000e+02,3.486227359999999886e-01
3.625000000000000000e+02,3.453221009999999924e-01
3.627500000000000000e+02,3.420203709999999897e-01
3.630000000000000000e+02,3.387175470000000077e-01
3.632500000000000000e+02,3.347088440000000054e-01
3.635000000000000000e+02,3.306994469999999797e-01
3.637500000000000000e+02,3.266893550000000146e-01
3.640000000000000000e+02,3.226785699999999979e-01
3.642500000000000000e+02,3.193057080000000214e-01
3.645000000000000000e+02,3.159279039999999816e-01
3.647500000000000000e+02,3.125451579999999896e-01
3.650000000000000000e+02,3.091574690000000181e-01
3.652500000000000000e+02,3.053092809999999879e-01
3.655000000000000000e+02,3.014610930000000133e-01
3.657500000000000000e+02,2.976129049999999832e-01
3.660000000000000000e+02,2.937647170000000085e-01
3.662500000000000000e+02,2.892656639999999779e-01
3.665000000000000000e+02,2.847666110000000028e-01
3.667500000000000000e+02,2.802675589999999994e-01
3.670000000000000000e+02,2.757685060000000243e-01
3.672500000000000000e+02,2.719459880000000274e-01
3.675000000000000000e+02,2.681234690000000032e-01
3.677500000000000000e+02,2.643009499999999790e-01
3.680000000000000000e+02,2.604784310000000103e-01
3.682500000000000000e+02,2.568632570000000115e-01
3.685000000000000000e+02,2.532480830000000127e-01
3.687500000000000000e+02,2.496329089999999862e-01
3.690000000000000000e+02,2.460177349999999874e-01
