# NAME           	GaiaDR2_RP
# WAVELENGTH_UNIT	nm
# DETECTOR       	photon
# COMPNAME       	GaiaDR2_RP
#
## WAVELENGTH	None	nm
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
6.100000000000000000e+02,1.037768870000000070e-05
6.102500000000000000e+02,1.065076069999999821e-05
6.105000000000000000e+02,1.097670249999999962e-05
6.107500000000000000e+02,1.136523110000000063e-05
6.110000000000000000e+02,1.182773529999999915e-05
6.112500000000000000e+02,1.237282590000000071e-05
6.115000000000000000e+02,1.302029560000000065e-05
6.117500000000000000e+02,1.378816639999999964e-05
6.120000000000000000e+02,1.469741430000000072e-05
6.122500000000000000e+02,1.577672909999999849e-05
6.125000000000000000e+02,1.705076660000000280e-05
6.127500000000000000e+02,1.855246269999999962e-05
6.130000000000000000e+02,2.031991300000000062e-05
6.132500000000000000e+02,2.239502800000000150e-05
6.135000000000000000e+02,2.483014890000000043e-05
6.137500000000000000e+02,2.768352470000000039e-05
6.140000000000000000e+02,3.102207500000000063e-05
6.142500000000000000e+02,3.492639549999999583e-05
6.145000000000000000e+02,3.948152399999999696e-05
6.147500000000000000e+02,4.478816350000000275e-05
6.150000000000000000e+02,5.096124640000000152e-05
6.152500000000000000e+02,5.812662670000001268e-05
6.155000000000000000e+02,6.643689590000001856e-05
6.157500000000000000e+02,7.606084139999999376e-05
6.160000000000000000e+02,8.718977380000000909e-05
6.162500000000000000e+02,1.000286700000000046e-04
6.165000000000000000e+02,1.148301329999999937e-04
6.167500000000000000e+02,1.318691030000000025e-04
6.170000000000000000e+02,1.514550170000000058e-04
6.172500000000000000e+02,1.739044159999999714e-04
6.175000000000000000e+02,1.996291260000000072e-04
6.177500000000000000e+02,2.290637020000000127e-04
6.180000000000000000e+02,2.626936889999999985e-04
6.182500000000000000e+02,3.011784500000000268e-04
6.185000000000000000e+02,3.450373580000000028e-04
6.187500000000000000e+02,3.949475880000000204e-04
6.190000000000000000e+02,4.516607759999999847e-04
6.192500000000000000e+02,5.160100759999999278e-04
6.195000000000000000e+02,5.889162120000000040e-04
6.197500000000000000e+02,6.713959070000000400e-04
6.200000000000000000e+02,7.645694719999998395e-04
6.202500000000000000e+02,8.695629949999997580e-04
6.205000000000000000e+02,9.878064249999997468e-04
6.207500000000000000e+02,1.120776549999999948e-03
6.210000000000000000e+02,1.270088219999999934e-03
6.212500000000000000e+02,1.437835799999999560e-03
6.215000000000000000e+02,1.625693519999999543e-03
6.217500000000000000e+02,1.835763769999999981e-03
6.220000000000000000e+02,2.070328570000000076e-03
6.222500000000000000e+02,2.330681340000000188e-03
6.225000000000000000e+02,2.620380209999999873e-03
6.227500000000000000e+02,2.942259999999999927e-03
6.230000000000000000e+02,3.299370710000000019e-03
6.232500000000000000e+02,3.694851949999999972e-03
6.235000000000000000e+02,4.132315709999999885e-03
6.237500000000000000e+02,4.615508579999998487e-03
6.240000000000000000e+02,5.148427560000000056e-03
6.242500000000000000e+02,5.737321020000001742e-03
6.245000000000000000e+02,6.385163910000001691e-03
6.247500000000000000e+02,7.096811940000000325e-03
6.250000000000000000e+02,7.877402679999997645e-03
6.252500000000000000e+02,8.731918659999999069e-03
6.255000000000000000e+02,9.666417910000000766e-03
6.257500000000000000e+02,1.068688790000000069e-02
6.260000000000000000e+02,1.179960329999999932e-02
6.262500000000000000e+02,1.301240909999999695e-02
6.265000000000000000e+02,1.433111760000000019e-02
6.267500000000000000e+02,1.576287330000000070e-02
6.270000000000000000e+02,1.731508780000000011e-02
6.272500000000000000e+02,1.899197810000000097e-02
6.275000000000000000e+02,2.080424490000000112e-02
6.277500000000000000e+02,2.275994350000000097e-02
6.280000000000000000e+02,2.486732960000000159e-02
6.282500000000000000e+02,2.713862909999999878e-02
6.285000000000000000e+02,2.957931570000000079e-02
6.287500000000000000e+02,3.219817540000000089e-02
6.290000000000000000e+02,3.500409339999999841e-02
6.292500000000000000e+02,3.799784470000000525e-02
6.295000000000000000e+02,4.119521300000000136e-02
6.297500000000000000e+02,4.460503469999999721e-02
6.300000000000000000e+02,4.823608900000000282e-02
6.302500000000000000e+02,5.210946150000000249e-02
6.305000000000000000e+02,5.622322690000001316e-02
6.307500000000000000e+02,6.058589690000001221e-02
6.310000000000000000e+02,6.520574619999999766e-02
6.312500000000000000e+02,7.009946240000000661e-02
6.315000000000000000e+02,7.526726300000000092e-02
6.317500000000000000e+02,8.071649949999998297e-02
6.320000000000000000e+02,8.645407650000000443e-02
6.322500000000000000e+02,9.245404240000000551e-02
6.325000000000000000e+02,9.875019369999998853e-02
6.327500000000000000e+02,1.053474490000000097e-01
6.330000000000000000e+02,1.122500550000000014e-01
6.332500000000000000e+02,1.194721259999999979e-01
6.335000000000000000e+02,1.270071619999999790e-01
6.337500000000000000e+02,1.348571819999999921e-01
6.340000000000000000e+02,1.430233479999999946e-01
6.342500000000000000e+02,1.514872849999999993e-01
6.345000000000000000e+02,1.602647899999999903e-01
6.347500000000000000e+02,1.693541000000000074e-01
6.350000000000000000e+02,1.787524550000000045e-01
6.352500000000000000e+02,1.885195390000000137e-01
6.355000000000000000e+02,1.985938050000000121e-01
6.357500000000000000e+02,2.089696839999999889e-01
6.360000000000000000e+02,2.196405439999999931e-01
6.362500000000000000e+02,2.305491990000000102e-01
6.365000000000000000e+02,2.417315929999999946e-01
6.367500000000000000e+02,2.531777550000000043e-01
6.370000000000000000e+02,2.648766869999999995e-01
6.372500000000000000e+02,2.768674239999999731e-01
6.375000000000000000e+02,2.890904559999999957e-01
6.377500000000000000e+02,3.015320189999999845e-01
6.380000000000000000e+02,3.141774569999999933e-01
6.382500000000000000e+02,3.268772080000000302e-01
6.385000000000000000e+02,3.397384770000000387e-01
6.387500000000000000e+02,3.527440729999999913e-01
6.390000000000000000e+02,3.658761739999999985e-01
6.392500000000000000e+02,3.791764309999999805e-01
6.395000000000000000e+02,3.925701830000000170e-01
6.397500000000000000e+02,4.060381969999999896e-01
6.400000000000000000e+02,4.195609089999999819e-01
6.402500000000000000e+02,4.331415209999999738e-01
6.405000000000000000e+02,4.467384839999999913e-01
6.407500000000000000e+02,4.603317470000000133e-01
6.410000000000000000e+02,4.739012699999999856e-01
6.412500000000000000e+02,4.875177900000000064e-01
6.415000000000000000e+02,5.010758539999999872e-01
6.417500000000000000e+02,5.145559280000000513e-01
6.420000000000000000e+02,5.279388189999999481e-01
6.422500000000000000e+02,5.411559639999999893e-01
6.425000000000000000e+02,5.542365009999999925e-01
6.427500000000000000e+02,5.671627849999999471e-01
6.430000000000000000e+02,5.799178220000000827e-01
6.432500000000000000e+02,5.924042039999999343e-01
6.435000000000000000e+02,6.046842260000000469e-01
6.437500000000000000e+02,6.167433270000000078e-01
6.440000000000000000e+02,6.285678390000000171e-01
6.442500000000000000e+02,6.400749460000000335e-01
6.445000000000000000e+02,6.513205149999999888e-01
6.447500000000000000e+02,6.622938879999999973e-01
6.450000000000000000e+02,6.729854390000000741e-01
6.452500000000000000e+02,6.835119670000000536e-01
6.455000000000000000e+02,6.937442990000000087e-01
6.457500000000000000e+02,7.036758190000000912e-01
6.460000000000000000e+02,7.133009719999999776e-01
6.462500000000000000e+02,7.228425389999999506e-01
6.465000000000000000e+02,7.320753570000000376e-01
6.467500000000000000e+02,7.409966799999998521e-01
6.470000000000000000e+02,7.496047540000000398e-01
6.472500000000000000e+02,7.575937859999999358e-01
6.475000000000000000e+02,7.652628000000000208e-01
6.477500000000000000e+02,7.726132309999999004e-01
6.480000000000000000e+02,7.796473659999999528e-01
6.482500000000000000e+02,7.862386489999999561e-01
6.485000000000000000e+02,7.925185000000000146e-01
6.487500000000000000e+02,7.984916459999999994e-01
6.490000000000000000e+02,8.041634669999999652e-01
6.492500000000000000e+02,8.098421470000000122e-01
6.495000000000000000e+02,8.152358769999999977e-01
6.497500000000000000e+02,8.203513719999999676e-01
6.500000000000000000e+02,8.251957930000000108e-01
6.502500000000000000e+02,8.297092400000000145e-01
6.505000000000000000e+02,8.339664059999999379e-01
6.507500000000000000e+02,8.379755399999998522e-01
6.510000000000000000e+02,8.417451270000000374e-01
6.512500000000000000e+02,8.452264729999998671e-01
6.515000000000000000e+02,8.484853240000000962e-01
6.517500000000000000e+02,8.515306229999999310e-01
6.520000000000000000e+02,8.543713600000000241e-01
6.522500000000000000e+02,8.570680609999999922e-01
6.525000000000000000e+02,8.595784349999998630e-01
6.527500000000000000e+02,8.619113409999999975e-01
6.530000000000000000e+02,8.640755340000000340e-01
6.532500000000000000e+02,8.659727179999998636e-01
6.535000000000000000e+02,8.677178669999998650e-01
6.537500000000000000e+02,8.693193190000000348e-01
6.540000000000000000e+02,8.707852040000000349e-01
6.542500000000000000e+02,8.720617400000000297e-01
6.545000000000000000e+02,8.732181049999998557e-01
6.547500000000000000e+02,8.742617240000000178e-01
6.550000000000000000e+02,8.751997500000000541e-01
6.552500000000000000e+02,8.762046770000000429e-01
6.555000000000000000e+02,8.771177620000000230e-01
6.557500000000000000e+02,8.779452570000000344e-01
6.560000000000000000e+02,8.786931270000000183e-01
6.562500000000000000e+02,8.792397640000000347e-01
6.565000000000000000e+02,8.797177140000000950e-01
6.567500000000000000e+02,8.801321100000000230e-01
6.570000000000000000e+02,8.804878029999998468e-01
6.572500000000000000e+02,8.810421219999999831e-01
6.575000000000000000e+02,8.815467340000000540e-01
6.577500000000000000e+02,8.820056359999999263e-01
