# NAME                  GaiaDR2v2_G
# WAVELENGTH_UNIT       nm
# DETECTOR              photon
# COMPNAME              GaiaDR2v2_G
#
## WAVELENGTH   None    nm
## THROUGHPUT   None    filter throughput definition
#
WAVELENGTH,THROUGHPUT
300.00,0.0
300.25,0.0
300.50,0.0
300.75,0.0
301.00,0.0
301.25,0.0
301.50,0.0
301.75,0.0
302.00,0.0
302.25,0.0
302.50,0.0
302.75,0.0
303.00,0.0
303.25,0.0
303.50,0.0
303.75,0.0
304.00,0.0
304.25,0.0
304.50,0.0
304.75,0.0
305.00,0.0
305.25,0.0
305.50,0.0
305.75,0.0
306.00,0.0
306.25,0.0
306.50,0.0
306.75,0.0
307.00,0.0
307.25,0.0
307.50,0.0
307.75,0.0
308.00,0.0
308.25,0.0
308.50,0.0
308.75,0.0
309.00,0.0
309.25,0.0
309.50,0.0
309.75,0.0
310.00,0.0
310.25,0.0
310.50,0.0
310.75,0.0
311.00,0.0
311.25,0.0
311.50,0.0
311.75,0.0
312.00,0.0
312.25,0.0
312.50,0.0
312.75,0.0
313.00,0.0
313.25,0.0
313.50,0.0
313.75,0.0
314.00,0.0
314.25,0.0
314.50,0.0
314.75,0.0
315.00,0.0
315.25,0.0
315.50,0.0
315.75,0.0
316.00,0.0
316.25,0.0
316.50,0.0
316.75,0.0
317.00,0.0
317.25,0.0
317.50,0.0
317.75,0.0
318.00,0.0
318.25,0.0
318.50,0.0
318.75,0.0
319.00,0.0
319.25,0.0
319.50,0.0
319.75,0.0
320.00,1.04394024e-08
320.25,4.51432570e-08
320.50,7.98471115e-08
320.75,1.14550966e-07
321.00,1.49254821e-07
321.25,3.46353656e-07
321.50,5.43452492e-07
321.75,7.40551328e-07
322.00,9.37650164e-07
322.25,1.94096158e-06
322.50,2.94427300e-06
322.75,3.94758442e-06
323.00,4.95089584e-06
323.25,9.85619374e-06
323.50,1.47614916e-05
323.75,1.96667895e-05
324.00,2.45720874e-05
324.25,4.52034208e-05
324.50,6.58347542e-05
324.75,8.64660876e-05
325.00,1.07097421e-04
325.25,1.78948028e-04
325.50,2.50798635e-04
325.75,3.22649242e-04
326.00,3.94499849e-04
326.25,5.90560548e-04
326.50,7.86621247e-04
326.75,9.82681946e-04
327.00,1.17874264e-03
327.25,1.59792445e-03
327.50,2.01710626e-03
327.75,2.43628807e-03
328.00,2.85546988e-03
328.25,3.60031199e-03
328.50,4.34515409e-03
328.75,5.08999619e-03
329.00,5.83483829e-03
329.25,6.98861253e-03
329.50,8.14238677e-03
329.75,9.29616101e-03
330.00,1.04499352e-02
330.25,1.20231655e-02
330.50,1.35963957e-02
330.75,1.51696260e-02
331.00,1.67428562e-02
331.25,1.86752047e-02
331.50,2.06075533e-02
331.75,2.25399018e-02
332.00,2.44722504e-02
332.25,2.66316759e-02
332.50,2.87911014e-02
332.75,3.09505269e-02
333.00,3.31099525e-02
333.25,3.54346027e-02
333.50,3.77592530e-02
333.75,4.00839033e-02
334.00,4.24085535e-02
334.25,4.47773428e-02
334.50,4.71461320e-02
334.75,4.95149212e-02
335.00,5.18837105e-02
335.25,5.42107873e-02
335.50,5.65378641e-02
335.75,5.88649409e-02
336.00,6.11920177e-02
336.25,6.34908687e-02
336.50,6.57897197e-02
336.75,6.80885707e-02
337.00,7.03874217e-02
337.25,7.25215976e-02
337.50,7.46557736e-02
337.75,7.67899496e-02
338.00,7.89241256e-02
338.25,8.09840783e-02
338.50,8.30440311e-02
338.75,8.51039838e-02
339.00,8.71639366e-02
339.25,8.91303465e-02
339.50,9.10967564e-02
339.75,9.30631663e-02
340.00,9.50295762e-02
340.25,9.69602554e-02
340.50,9.88909346e-02
340.75,1.00821614e-01
341.00,1.02752293e-01
341.25,1.04518771e-01
341.50,1.06285249e-01
341.75,1.08051727e-01
342.00,1.09818205e-01
342.25,1.11382051e-01
342.50,1.12945897e-01
342.75,1.14509743e-01
343.00,1.16073589e-01
343.25,1.17499139e-01
343.50,1.18924688e-01
343.75,1.20350238e-01
344.00,1.21775788e-01
344.25,1.23093419e-01
344.50,1.24411051e-01
344.75,1.25728682e-01
345.00,1.27046314e-01
345.25,1.28115628e-01
345.50,1.29184943e-01
345.75,1.30254257e-01
346.00,1.31323572e-01
346.25,1.32245382e-01
346.50,1.33167193e-01
346.75,1.34089004e-01
347.00,1.35010815e-01
347.25,1.35786180e-01
347.50,1.36561545e-01
347.75,1.37336910e-01
348.00,1.38112275e-01
348.25,1.38745589e-01
348.50,1.39378904e-01
348.75,1.40012218e-01
349.00,1.40645532e-01
349.25,1.41145411e-01
349.50,1.41645289e-01
349.75,1.42145168e-01
350.00,1.42645046e-01
350.25,1.42998006e-01
350.50,1.43350966e-01
350.75,1.43703926e-01
351.00,1.44056887e-01
351.25,1.44250103e-01
351.50,1.44443319e-01
351.75,1.44636536e-01
352.00,1.44829752e-01
352.25,1.44892709e-01
352.50,1.44955667e-01
352.75,1.45018624e-01
353.00,1.45081581e-01
353.25,1.45113792e-01
353.50,1.45146003e-01
353.75,1.45178214e-01
354.00,1.45210425e-01
354.25,1.45079296e-01
354.50,1.44948168e-01
354.75,1.44817039e-01
355.00,1.44685910e-01
355.25,1.44452472e-01
355.50,1.44219034e-01
355.75,1.43985595e-01
356.00,1.43752157e-01
356.25,1.43367492e-01
356.50,1.42982827e-01
356.75,1.42598162e-01
357.00,1.42213497e-01
357.25,1.41829797e-01
357.50,1.41446097e-01
357.75,1.41062396e-01
358.00,1.40678696e-01
358.25,1.40122342e-01
358.50,1.39565989e-01
358.75,1.39009635e-01
359.00,1.38453281e-01
359.25,1.37868979e-01
359.50,1.37284678e-01
359.75,1.36700376e-01
360.00,1.36116074e-01
360.25,1.35522582e-01
360.50,1.34929091e-01
360.75,1.34335599e-01
361.00,1.33742107e-01
361.25,1.32982902e-01
361.50,1.32223698e-01
361.75,1.31464493e-01
362.00,1.30705288e-01
362.25,1.30055824e-01
362.50,1.29406359e-01
362.75,1.28756895e-01
363.00,1.28107431e-01
363.25,1.27359854e-01
363.50,1.26612277e-01
363.75,1.25864700e-01
364.00,1.25117123e-01
364.25,1.24418670e-01
364.50,1.23720217e-01
364.75,1.23021764e-01
365.00,1.22323311e-01
365.25,1.21608262e-01
365.50,1.20893212e-01
365.75,1.20178163e-01
366.00,1.19463114e-01
366.25,1.18686426e-01
366.50,1.17909738e-01
366.75,1.17133050e-01
367.00,1.16356363e-01
367.25,1.15682370e-01
367.50,1.15008377e-01
367.75,1.14334384e-01
368.00,1.13660391e-01
368.25,1.13030032e-01
368.50,1.12399672e-01
368.75,1.11769313e-01
369.00,1.11138954e-01
369.25,1.10458789e-01
369.50,1.09778625e-01
369.75,1.09098460e-01
370.00,1.08418295e-01
370.25,1.07905565e-01
370.50,1.07392836e-01
370.75,1.06880106e-01
371.00,1.06367376e-01
371.25,1.05778087e-01
371.50,1.05188798e-01
371.75,1.04599508e-01
372.00,1.04010219e-01
372.25,1.03475834e-01
372.50,1.02941448e-01
372.75,1.02407063e-01
373.00,1.01872678e-01
373.25,1.01437519e-01
373.50,1.01002360e-01
373.75,1.00567201e-01
374.00,1.00132042e-01
374.25,9.98374779e-02
374.50,9.95429138e-02
374.75,9.92483496e-02
375.00,9.89537855e-02
375.25,9.88392045e-02
375.50,9.87246235e-02
375.75,9.86100425e-02
376.00,9.84954615e-02
376.25,9.84472897e-02
376.50,9.83991178e-02
