# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_BESSELL_H
# NAME           	GROUND_BESSELL_H
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
14600.000000,0.000000
14800.000000,0.150000
15000.000000,0.440000
15200.000000,0.860000
15400.000000,0.940000
15600.000000,0.980000
15800.000000,0.950000
16000.000000,0.990000
16200.000000,0.990000
16400.000000,0.990000
16600.000000,0.990000
16800.000000,0.990000
17000.000000,0.990000
17200.000000,0.950000
17400.000000,0.970000
17600.000000,0.840000
17800.000000,0.710000
18000.000000,0.520000
18200.000000,0.020000
18400.000000,0.000000
