# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_BESSELL_K
# NAME           	GROUND_BESSELL_K
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
19400.000000,0.000000
19600.000000,0.120000
19800.000000,0.200000
20000.000000,0.300000
20200.000000,0.550000
20400.000000,0.740000
20600.000000,0.550000
20800.000000,0.770000
21000.000000,0.850000
21200.000000,0.900000
21400.000000,0.940000
21600.000000,0.940000
21800.000000,0.950000
22000.000000,0.940000
22200.000000,0.960000
22400.000000,0.980000
22600.000000,0.970000
22800.000000,0.960000
23000.000000,0.910000
23200.000000,0.880000
23400.000000,0.840000
23800.000000,0.750000
24000.000000,0.640000
24400.000000,0.100000
24800.000000,0.000000
