# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_COUSINS_I
# NAME           	GROUND_COUSINS_I
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
7000.000000,0.000000
7000.170000,0.000105
7000.330000,0.000207
7000.500000,0.000312
7000.670000,0.000417
7000.840000,0.000522
7001.010000,0.000626
7001.180000,0.000729
7001.340000,0.000834
7001.510000,0.000938
7001.680000,0.001041
7001.850000,0.001146
7002.020000,0.001251
7002.180000,0.001353
7002.360000,0.001461
7002.520000,0.001565
7002.690000,0.001668
7002.860000,0.001773
7003.020000,0.001875
7003.190000,0.001980
7003.360000,0.002085
7003.530000,0.002188
7003.700000,0.002292
7003.870000,0.002400
7004.040000,0.002502
7004.210000,0.002607
7004.370000,0.002712
7004.540000,0.002815
7004.710000,0.002919
7004.870000,0.003022
7005.040000,0.003127
7005.210000,0.003232
7005.380000,0.003337
7005.550000,0.003441
7005.720000,0.003547
7005.890000,0.003649
7006.050000,0.003754
7006.220000,0.003859
7006.390000,0.003961
7006.560000,0.004066
7006.720000,0.004169
7006.900000,0.004276
7007.070000,0.004381
7007.230000,0.004484
7007.400000,0.004589
7007.570000,0.004694
7007.740000,0.004796
7007.900000,0.004901
7008.070000,0.005006
7008.240000,0.005109
7008.410000,0.005216
7008.580000,0.005318
7008.750000,0.005423
7008.920000,0.005529
7009.080000,0.005631
7009.250000,0.005736
7009.420000,0.005841
7009.590000,0.005944
7009.760000,0.006049
7009.930000,0.006156
7010.090000,0.006258
7010.260000,0.006363
7010.430000,0.006466
7010.600000,0.006571
7010.770000,0.006676
7010.930000,0.006779
7011.100000,0.006884
7011.270000,0.006989
7011.440000,0.007094
7011.610000,0.007199
7011.780000,0.007304
7011.950000,0.007406
7012.120000,0.007511
7012.280000,0.007614
7012.450000,0.007719
7012.620000,0.007824
7012.790000,0.007927
7012.960000,0.008034
7013.130000,0.008139
7013.290000,0.008242
7013.460000,0.008347
7013.630000,0.008452
7013.800000,0.008554
7013.970000,0.008659
7014.140000,0.008764
7014.300000,0.008867
7014.480000,0.008975
7014.640000,0.009077
7014.810000,0.009182
7014.980000,0.009287
7015.150000,0.009390
7015.310000,0.009495
7015.480000,0.009600
7015.650000,0.009703
7015.820000,0.009808
