# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_COUSINS_R
# NAME           	GROUND_COUSINS_R
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
5500.000000,0.000000
5500.250000,0.000210
5500.500000,0.000423
5500.750000,0.000634
5501.010000,0.000847
5501.260000,0.001060
5501.520000,0.001273
5501.770000,0.001484
5502.020000,0.001694
5502.270000,0.001907
5502.520000,0.002118
5502.770000,0.002331
5503.030000,0.002542
5503.280000,0.002755
5503.530000,0.002968
5503.780000,0.003179
5504.040000,0.003392
5504.290000,0.003602
5504.540000,0.003816
5504.790000,0.004026
5505.050000,0.004240
5505.300000,0.004450
5505.550000,0.004661
5505.810000,0.004877
5506.060000,0.005088
5506.310000,0.005301
5506.560000,0.005512
5506.820000,0.005725
5507.070000,0.005936
5507.320000,0.006147
5507.570000,0.006360
5507.820000,0.006571
5508.080000,0.006786
5508.330000,0.006997
5508.580000,0.007211
5508.830000,0.007421
5509.090000,0.007633
5509.340000,0.007846
5509.590000,0.008057
5509.850000,0.008270
5510.100000,0.008481
5510.350000,0.008697
5510.600000,0.008908
5510.860000,0.009119
5511.110000,0.009332
5511.360000,0.009543
5511.620000,0.009757
5511.870000,0.009968
5512.120000,0.010181
5512.370000,0.010392
5512.630000,0.010606
5512.880000,0.010819
5513.130000,0.011030
5513.390000,0.011244
5513.640000,0.011455
5513.890000,0.011669
5514.140000,0.011879
5514.400000,0.012093
5514.650000,0.012304
5514.900000,0.012518
5515.160000,0.012731
5515.410000,0.012942
5515.660000,0.013156
5515.910000,0.013367
5516.170000,0.013581
5516.420000,0.013792
5516.670000,0.014003
5516.920000,0.014217
5517.180000,0.014431
5517.430000,0.014644
5517.690000,0.014855
5517.940000,0.015069
5518.190000,0.015280
5518.440000,0.015492
5518.700000,0.015705
5518.950000,0.015917
5519.200000,0.016131
5519.460000,0.016344
5519.710000,0.016558
5519.960000,0.016769
5520.210000,0.016980
5520.470000,0.017195
5520.720000,0.017406
5520.980000,0.017619
5521.230000,0.017831
5521.480000,0.018045
5521.740000,0.018259
5521.990000,0.018470
5522.240000,0.018684
5522.490000,0.018895
5522.750000,0.019109
5523.000000,0.019321
5523.260000,0.019534
5523.510000,0.019746
5523.760000,0.019957
5524.020000,0.020174
5524.270000,0.020385
5524.520000,0.020599
5524.770000,0.020811
5525.030000,0.021025
5525.280000,0.021236
5525.530000,0.021448
5525.790000,0.021662
5526.040000,0.021873
5526.300000,0.022090
5526.550000,0.022301
5526.800000,0.022516
5527.060000,0.022727
5527.310000,0.022939
5527.560000,0.023153
5527.810000,0.023364
5528.070000,0.023578
5528.320000,0.023790
5528.580000,0.024004
5528.830000,0.024219
5529.080000,0.024430
5529.340000,0.024644
5529.590000,0.024856
5529.850000,0.025070
5530.100000,0.025282
5530.350000,0.025496
5530.600000,0.025707
5530.860000,0.025922
5531.110000,0.026136
5531.370000,0.026348
5531.620000,0.026562
5531.870000,0.026774
5532.130000,0.026988
5532.380000,0.027200
5532.630000,0.027412
5532.890000,0.027626
5533.140000,0.027838
5533.400000,0.028055
5533.650000,0.028266
5533.910000,0.028481
5534.160000,0.028692
5534.410000,0.028904
5534.670000,0.029119
5534.920000,0.029331
5535.170000,0.029545
5535.420000,0.029757
5535.680000,0.029974
5535.940000,0.030185
5536.190000,0.030398
5536.440000,0.030612
5536.700000,0.030824
5536.950000,0.031038
5537.200000,0.031250
5537.460000,0.031465
5537.710000,0.031677
5537.970000,0.031891
5538.220000,0.032106
5538.470000,0.032318
5538.730000,0.032532
5538.980000,0.032744
5539.240000,0.032959
5539.490000,0.033171
5539.740000,0.033385
5540.000000,0.033598
5540.250000,0.033812
5540.510000,0.034027
5540.760000,0.034239
5541.020000,0.034453
5541.270000,0.034666
5541.520000,0.034880
5541.780000,0.035092
5542.030000,0.035304
5542.280000,0.035519
5542.540000,0.035734
5542.800000,0.035949
5543.050000,0.036161
5543.300000,0.036375
5543.560000,0.036588
5543.810000,0.036800
5544.060000,0.037015
5544.320000,0.037227
5544.570000,0.037442
5544.830000,0.037656
5545.080000,0.037871
5545.340000,0.038083
5545.590000,0.038296
5545.850000,0.038510
5546.100000,0.038722
5546.350000,0.038937
5546.610000,0.039150
5546.860000,0.039364
5547.120000,0.039579
5547.370000,0.039792
5547.630000,0.040007
5547.880000,0.040219
5548.140000,0.040434
5548.390000,0.040646
5548.640000,0.040861
5548.900000,0.041073
5549.150000,0.041286
5549.410000,0.041503
5549.660000,0.041716
5549.920000,0.041931
5550.170000,0.042259
5550.430000,0.042648
5550.680000,0.043032
5550.930000,0.043417
5551.190000,0.043806
5551.440000,0.044191
5551.700000,0.044584
5551.950000,0.044969
5552.210000,0.045358
5552.460000,0.045743
5552.720000,0.046127
5552.970000,0.046516
5553.220000,0.046901
5553.480000,0.047290
5553.730000,0.047675
5553.990000,0.048069
5554.250000,0.048453
5554.500000,0.048838
5554.750000,0.049227
5555.010000,0.049613
5555.260000,0.050001
5555.520000,0.050387
5555.770000,0.050776
5556.030000,0.051161
5556.280000,0.051550
5556.540000,0.051939
5556.790000,0.052325
5557.050000,0.052714
5557.300000,0.053099
5557.560000,0.053488
5557.810000,0.053873
5558.060000,0.054258
5558.320000,0.054648
5558.580000,0.055037
5558.830000,0.055427
5559.090000,0.055812
5559.340000,0.056202
5559.600000,0.056587
5559.850000,0.056972
5560.110000,0.057362
5560.360000,0.057747
5560.620000,0.058137
5560.870000,0.058526
5561.130000,0.058916
5561.380000,0.059301
5561.640000,0.059691
5561.890000,0.060076
5562.150000,0.060461
5562.400000,0.060852
5562.660000,0.061237
5562.910000,0.061626
5563.170000,0.062016
5563.420000,0.062402
5563.680000,0.062792
5563.930000,0.063177
5564.190000,0.063567
5564.440000,0.063952
5564.700000,0.064342
5564.950000,0.064728
5565.210000,0.065118
5565.470000,0.065508
5565.720000,0.065893
5565.980000,0.066284
5566.230000,0.066669
5566.490000,0.067059
5566.740000,0.067445
5567.000000,0.067835
5567.250000,0.068221
5567.500000,0.068606
5567.760000,0.069001
5568.020000,0.069387
5568.270000,0.069777
5568.530000,0.070162
5568.780000,0.070553
5569.040000,0.070939
5569.290000,0.071325
5569.550000,0.071715
5569.800000,0.072101
5570.060000,0.072496
5570.320000,0.072882
5570.570000,0.073272
5570.830000,0.073658
5571.080000,0.074043
5571.340000,0.074434
5571.590000,0.074819
5571.850000,0.075211
5572.100000,0.075597
5572.360000,0.075991
5572.620000,0.076377
5572.870000,0.076763
5573.130000,0.077155
5573.380000,0.077540
5573.640000,0.077931
5573.890000,0.078317
5574.150000,0.078708
5574.400000,0.079094
5574.660000,0.079484
5574.920000,0.079875
5575.170000,0.080261
5575.430000,0.080652
5575.680000,0.081038
5575.940000,0.081429
5576.190000,0.081815
5576.450000,0.082201
5576.710000,0.082592
5576.960000,0.082983
5577.220000,0.083374
5577.470000,0.083761
5577.730000,0.084151
5577.990000,0.084538
5578.240000,0.084924
5578.500000,0.085315
5578.750000,0.085701
5579.010000,0.086093
5579.260000,0.086479
5579.520000,0.086875
5579.780000,0.087261
5580.030000,0.087648
5580.290000,0.088039
5580.540000,0.088425
5580.800000,0.088816
5581.050000,0.089203
5581.310000,0.089594
5581.570000,0.089985
5581.820000,0.090372
5582.080000,0.090763
5582.340000,0.091150
5582.590000,0.091541
5582.850000,0.091928
5583.100000,0.092319
5583.360000,0.092705
5583.620000,0.093097
5583.870000,0.093484
5584.130000,0.093875
5584.390000,0.094266
5584.640000,0.094653
5584.900000,0.095045
5585.150000,0.095432
5585.410000,0.095823
5585.660000,0.096210
5585.920000,0.096597
5586.180000,0.096993
5586.430000,0.097380
5586.690000,0.097772
5586.950000,0.098158
5587.200000,0.098546
5587.460000,0.098937
5587.710000,0.099324
5587.970000,0.099715
5588.230000,0.100103
5588.480000,0.100495
5588.740000,0.100886
5589.000000,0.101278
5589.250000,0.101665
5589.510000,0.102052
5589.770000,0.102444
5590.020000,0.102831
5590.280000,0.103223
5590.530000,0.103610
5590.790000,0.104002
5591.050000,0.104394
5591.300000,0.104781
5591.560000,0.105173
5591.820000,0.105560
5592.070000,0.105952
5592.330000,0.106339
5592.590000,0.106731
5592.840000,0.107119
5593.100000,0.107506
5593.360000,0.107903
5593.610000,0.108291
5593.870000,0.108683
5594.120000,0.109070
5594.380000,0.109457
5594.640000,0.109849
5594.890000,0.110237
5595.150000,0.110629
5595.410000,0.111021
5595.670000,0.111414
5595.920000,0.111801
5596.180000,0.112193
5596.440000,0.112581
5596.690000,0.112969
5596.950000,0.113361
5597.200000,0.113749
5597.460000,0.114141
5597.720000,0.114529
5597.980000,0.114926
5598.230000,0.115313
5598.490000,0.115701
5598.750000,0.116093
5599.000000,0.116481
5599.260000,0.116874
5599.510000,0.117262
5599.770000,0.117654
5600.030000,0.118110
5600.290000,0.119023
5600.540000,0.119947
5600.800000,0.120862
5601.060000,0.121786
5601.310000,0.122701
5601.570000,0.123625
5601.830000,0.124538
5602.080000,0.125452
5602.340000,0.126377
5602.600000,0.127301
5602.860000,0.128226
5603.110000,0.129140
5603.370000,0.130065
5603.630000,0.130979
5603.880000,0.131893
5604.140000,0.132820
5604.390000,0.133732
5604.650000,0.134659
5604.910000,0.135584
5605.170000,0.136508
5605.430000,0.137424
5605.680000,0.138339
5605.940000,0.139263
5606.190000,0.140177
5606.450000,0.141104
5606.710000,0.142018
5606.970000,0.142943
5607.230000,0.143869
5607.480000,0.144784
5607.740000,0.145710
5608.000000,0.146624
5608.250000,0.147551
5608.510000,0.148465
5608.770000,0.149391
5609.020000,0.150306
5609.280000,0.151232
5609.540000,0.152159
5609.800000,0.153073
5610.060000,0.153999
5610.310000,0.154915
5610.570000,0.155840
5610.830000,0.156756
5611.080000,0.157682
5611.340000,0.158598
5611.600000,0.159513
5611.860000,0.160450
5612.110000,0.161366
5612.370000,0.162292
5612.630000,0.163208
5612.880000,0.164124
5613.140000,0.165050
5613.400000,0.165966
5613.660000,0.166893
5613.910000,0.167809
5614.170000,0.168746
5614.430000,0.169662
5614.690000,0.170588
5614.950000,0.171504
5615.200000,0.172420
5615.460000,0.173348
5615.720000,0.174264
5615.980000,0.175191
5616.230000,0.176107
5616.490000,0.177033
5616.750000,0.177962
5617.000000,0.178877
5617.260000,0.179806
5617.520000,0.180722
5617.780000,0.181648
5618.040000,0.182566
5618.290000,0.183492
5618.550000,0.184408
5618.810000,0.185337
5619.070000,0.186265
5619.320000,0.187181
5619.580000,0.188109
5619.840000,0.189025
5620.100000,0.189953
5620.350000,0.190869
5620.610000,0.191787
5620.870000,0.192715
5621.130000,0.193643
5621.390000,0.194571
5621.640000,0.195487
5621.900000,0.196416
5622.160000,0.197333
5622.420000,0.198249
5622.680000,0.199178
5622.930000,0.200095
5623.190000,0.201023
5623.450000,0.201952
5623.710000,0.202880
5623.970000,0.203798
5624.220000,0.204715
5624.480000,0.205644
5624.740000,0.206561
5625.000000,0.207490
5625.250000,0.208407
5625.510000,0.209335
5625.770000,0.210265
5626.030000,0.211183
5626.290000,0.212111
5626.540000,0.213029
5626.800000,0.213957
5627.060000,0.214877
5627.320000,0.215805
5627.580000,0.216723
5627.830000,0.217640
5628.100000,0.218581
5628.350000,0.219499
5628.610000,0.220429
5628.870000,0.221346
5629.130000,0.222276
5629.380000,0.223194
5629.640000,0.224112
5629.900000,0.225042
5630.160000,0.225961
5630.420000,0.226889
5630.680000,0.227819
5630.940000,0.228749
5631.190000,0.229667
5631.450000,0.230597
5631.710000,0.231516
5631.960000,0.232434
5632.220000,0.233364
5632.480000,0.234284
5632.740000,0.235224
5633.000000,0.236143
5633.260000,0.237061
5633.520000,0.237991
5633.770000,0.238911
5634.030000,0.239841
5634.290000,0.240760
5634.550000,0.241690
5634.810000,0.242610
5635.070000,0.243539
5635.330000,0.244469
5635.580000,0.245389
5635.840000,0.246319
5636.100000,0.247238
5636.360000,0.248170
5636.620000,0.249090
5636.880000,0.250019
5637.130000,0.250939
5637.390000,0.251869
5637.650000,0.252801
5637.910000,0.253720
5638.170000,0.254650
5638.430000,0.255570
5638.690000,0.256501
5638.940000,0.257421
5639.200000,0.258340
5639.460000,0.259272
5639.720000,0.260191
5639.980000,0.261134
5640.240000,0.262055
5640.500000,0.262985
5640.760000,0.263906
5641.010000,0.264825
5641.270000,0.265757
5641.530000,0.266677
5641.790000,0.267608
5642.050000,0.268540
5642.310000,0.269460
5642.570000,0.270391
5642.820000,0.271312
5643.080000,0.272244
5643.340000,0.273164
5643.600000,0.274095
5643.860000,0.275017
5644.120000,0.275948
5644.380000,0.276869
5644.640000,0.277801
5644.900000,0.278733
5645.150000,0.279654
5645.420000,0.280586
5645.670000,0.281507
5645.930000,0.282439
5646.190000,0.283360
5646.450000,0.284281
5646.710000,0.285223
5646.970000,0.286145
5647.230000,0.287078
