# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_JOHNSON_B
# NAME           	GROUND_JOHNSON_B
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3000.000000,-0.005000
3010.000000,-0.005000
3020.000000,-0.005000
3030.000000,-0.005000
3040.000000,-0.005000
3050.000000,-0.005000
3060.000000,0.000000
3070.000000,-0.005000
3080.000000,-0.005000
3090.000000,-0.005000
3100.000000,-0.005000
3110.000000,-0.005000
3120.000000,-0.005000
3130.000000,-0.005000
3140.000000,-0.005000
3150.000000,0.000000
3160.000000,-0.005000
3170.000000,-0.005000
3180.000000,-0.020000
3190.000000,-0.035000
3200.000000,0.000000
3210.000000,-0.005000
3220.000000,0.000000
3230.000000,0.000000
3240.000000,0.000000
3250.000000,-0.005000
3260.000000,-0.005000
3270.000000,-0.005000
3280.000000,0.000000
3290.000000,-0.005000
3300.000000,-0.005000
3310.000000,-0.005000
3320.000000,-0.005000
3330.000000,-0.005000
3340.000000,-0.005000
3350.000000,0.000000
3360.000000,0.000000
3370.000000,0.000000
3380.000000,0.000000
3390.000000,0.000000
3400.000000,-0.005000
3410.000000,-0.005000
3420.000000,-0.005000
3430.000000,-0.005000
3440.000000,-0.005000
3450.000000,0.000000
3460.000000,0.000000
3470.000000,0.005000
3480.000000,0.015000
3490.000000,0.040000
3500.000000,0.080000
3510.000000,0.155000
3520.000000,0.275000
3530.000000,0.455000
3540.000000,0.710000
3550.000000,1.065000
3560.000000,1.535000
3570.000000,2.125000
3580.000000,2.855000
3590.000000,3.715000
3600.000000,4.730000
3610.000000,5.880000
3620.000000,7.155000
3630.000000,8.525000
3640.000000,9.965000
3650.000000,11.540000
3660.000000,13.170000
3670.000000,14.865000
3680.000000,16.565000
3690.000000,18.365000
3700.000000,20.155000
3710.000000,21.895000
3720.000000,23.720000
3730.000000,25.520000
3740.000000,27.255000
3750.000000,28.965000
3760.000000,30.700000
3770.000000,32.220000
3780.000000,33.745000
3790.000000,35.470000
3800.000000,36.960000
3810.000000,38.435000
3820.000000,39.885000
3830.000000,41.225000
3840.000000,42.585000
3850.000000,43.870000
3860.000000,45.120000
3870.000000,46.280000
3880.000000,47.405000
3890.000000,48.465000
3900.000000,49.540000
3910.000000,50.625000
3920.000000,51.550000
3930.000000,52.405000
3940.000000,53.340000
3950.000000,54.210000
3960.000000,55.000000
3970.000000,55.785000
3980.000000,56.485000
3990.000000,57.150000
4000.000000,57.790000
4010.000000,58.480000
4020.000000,59.045000
4030.000000,59.635000
4040.000000,60.205000
4050.000000,60.695000
4060.000000,61.245000
4070.000000,61.675000
4080.000000,62.165000
4090.000000,62.570000
4100.000000,63.005000
4110.000000,63.350000
4120.000000,63.760000
4130.000000,64.105000
4140.000000,64.445000
4150.000000,64.770000
4160.000000,65.120000
4170.000000,65.475000
4180.000000,65.730000
4190.000000,66.045000
4200.000000,66.335000
4210.000000,66.475000
4220.000000,66.705000
4230.000000,66.885000
4240.000000,67.040000
4250.000000,67.160000
4260.000000,67.185000
4270.000000,67.365000
4280.000000,67.475000
4290.000000,67.610000
4300.000000,67.625000
4310.000000,67.735000
4320.000000,67.760000
4330.000000,67.710000
4340.000000,67.755000
4350.000000,67.735000
4360.000000,67.645000
4370.000000,67.625000
4380.000000,67.580000
4390.000000,67.575000
4400.000000,67.500000
4410.000000,67.475000
4420.000000,67.415000
4430.000000,67.245000
4440.000000,67.110000
4450.000000,66.920000
4460.000000,66.710000
4470.000000,66.435000
4480.000000,66.155000
4490.000000,65.815000
4500.000000,65.430000
4510.000000,65.115000
4520.000000,64.770000
4530.000000,64.460000
4540.000000,64.155000
4550.000000,63.740000
4560.000000,63.415000
4570.000000,62.920000
4580.000000,62.410000
4590.000000,61.870000
4600.000000,61.230000
4610.000000,60.625000
4620.000000,59.880000
4630.000000,59.165000
4640.000000,58.330000
4650.000000,57.390000
4660.000000,56.405000
4670.000000,55.315000
4680.000000,54.210000
4690.000000,53.015000
4700.000000,51.725000
4710.000000,50.460000
4720.000000,49.090000
4730.000000,47.720000
4740.000000,46.380000
4750.000000,44.960000
4760.000000,43.565000
4770.000000,42.135000
4780.000000,40.685000
4790.000000,39.255000
4800.000000,37.780000
4810.000000,36.315000
4820.000000,34.785000
4830.000000,33.340000
4840.000000,31.880000
4850.000000,30.435000
4860.000000,29.035000
4870.000000,27.650000
4880.000000,26.315000
4890.000000,25.070000
4900.000000,23.825000
4910.000000,22.650000
4920.000000,21.555000
4930.000000,20.530000
4940.000000,19.560000
4950.000000,18.635000
4960.000000,17.810000
4970.000000,17.025000
4980.000000,16.265000
4990.000000,15.540000
5000.000000,14.785000
5010.000000,14.020000
5020.000000,13.230000
5030.000000,12.420000
5040.000000,11.590000
5050.000000,10.770000
5060.000000,9.975000
5070.000000,9.225000
5080.000000,8.530000
5090.000000,7.895000
5100.000000,7.295000
5110.000000,6.765000
5120.000000,6.275000
5130.000000,5.815000
5140.000000,5.360000
5150.000000,4.945000
5160.000000,4.525000
5170.000000,4.140000
5180.000000,3.775000
5190.000000,3.425000
5200.000000,3.105000
5210.000000,2.800000
5220.000000,2.515000
5230.000000,2.260000
5240.000000,2.030000
5250.000000,1.815000
5260.000000,1.625000
5270.000000,1.460000
5280.000000,1.315000
