# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_JOHNSON_U
# NAME           	GROUND_JOHNSON_U
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3050.000000,0.000000
3050.100000,0.000039
3050.190000,0.000078
3050.290000,0.000117
3050.390000,0.000156
3050.490000,0.000196
3050.590000,0.000235
3050.680000,0.000273
3050.780000,0.000312
3050.880000,0.000352
3050.980000,0.000391
3051.070000,0.000430
3051.170000,0.000468
3051.270000,0.000507
3051.370000,0.000547
3051.470000,0.000586
3051.560000,0.000625
3051.660000,0.000664
3051.760000,0.000703
3051.850000,0.000742
3051.950000,0.000781
3052.050000,0.000820
3052.150000,0.000859
3052.250000,0.000899
3052.340000,0.000937
3052.440000,0.000976
3052.540000,0.001016
3052.640000,0.001055
3052.730000,0.001094
3052.830000,0.001133
3052.930000,0.001171
3053.030000,0.001210
3053.130000,0.001251
3053.220000,0.001289
3053.320000,0.001328
3053.420000,0.001367
3053.520000,0.001406
3053.610000,0.001445
3053.710000,0.001485
3053.810000,0.001523
3053.910000,0.001562
3054.000000,0.001602
3054.100000,0.001641
3054.200000,0.001680
3054.300000,0.001719
3054.400000,0.001758
3054.490000,0.001797
3054.590000,0.001836
3054.690000,0.001875
3054.790000,0.001914
3054.890000,0.001954
3054.980000,0.001993
3055.080000,0.002032
3055.180000,0.002071
3055.270000,0.002110
3055.370000,0.002149
3055.470000,0.002188
3055.570000,0.002227
3055.670000,0.002266
3055.760000,0.002306
3055.860000,0.002345
3055.960000,0.002384
3056.060000,0.002423
3056.160000,0.002462
3056.250000,0.002501
3056.350000,0.002540
3056.450000,0.002579
3056.550000,0.002618
3056.650000,0.002658
3056.740000,0.002697
3056.840000,0.002736
3056.940000,0.002775
3057.040000,0.002814
3057.130000,0.002853
3057.230000,0.002892
3057.330000,0.002931
3057.430000,0.002970
3057.520000,0.003010
3057.620000,0.003049
3057.720000,0.003088
3057.820000,0.003127
3057.920000,0.003166
3058.010000,0.003205
3058.110000,0.003245
3058.210000,0.003284
3058.310000,0.003323
3058.410000,0.003362
3058.500000,0.003401
3058.600000,0.003440
3058.700000,0.003480
3058.800000,0.003519
3058.890000,0.003558
3058.990000,0.003597
3059.090000,0.003636
3059.190000,0.003675
3059.290000,0.003715
3059.380000,0.003754
3059.480000,0.003793
3059.580000,0.003832
3059.680000,0.003871
3059.770000,0.003910
3059.870000,0.003949
3059.970000,0.003988
3060.070000,0.004027
3060.170000,0.004067
3060.260000,0.004106
3060.360000,0.004145
3060.460000,0.004185
3060.560000,0.004224
3060.660000,0.004262
3060.750000,0.004302
3060.850000,0.004341
3060.950000,0.004380
3061.050000,0.004419
3061.150000,0.004459
3061.240000,0.004498
3061.340000,0.004537
3061.440000,0.004576
3061.540000,0.004615
3061.640000,0.004654
3061.730000,0.004693
3061.830000,0.004732
3061.930000,0.004772
3062.030000,0.004811
3062.130000,0.004851
3062.220000,0.004890
3062.320000,0.004929
3062.420000,0.004968
3062.520000,0.005007
3062.620000,0.005046
3062.710000,0.005085
3062.810000,0.005125
3062.910000,0.005164
3063.010000,0.005203
3063.110000,0.005242
3063.200000,0.005282
3063.300000,0.005321
3063.400000,0.005360
3063.500000,0.005399
3063.590000,0.005438
3063.690000,0.005478
3063.790000,0.005517
3063.890000,0.005556
3063.990000,0.005595
3064.090000,0.005634
3064.180000,0.005673
3064.280000,0.005713
3064.380000,0.005752
3064.480000,0.005791
3064.580000,0.005830
3064.670000,0.005870
3064.770000,0.005909
3064.870000,0.005949
3064.970000,0.005988
3065.070000,0.006027
3065.160000,0.006066
3065.260000,0.006105
3065.360000,0.006144
3065.460000,0.006184
3065.560000,0.006223
3065.660000,0.006262
3065.750000,0.006301
3065.850000,0.006340
3065.950000,0.006379
3066.050000,0.006419
3066.150000,0.006458
3066.240000,0.006497
3066.340000,0.006536
3066.440000,0.006576
3066.540000,0.006616
3066.640000,0.006655
3066.730000,0.006694
3066.830000,0.006733
3066.930000,0.006772
3067.030000,0.006811
3067.130000,0.006851
3067.220000,0.006890
3067.320000,0.006930
3067.420000,0.006969
3067.520000,0.007008
3067.620000,0.007047
3067.720000,0.007087
3067.810000,0.007126
3067.910000,0.007165
3068.010000,0.007204
3068.110000,0.007243
3068.210000,0.007283
3068.310000,0.007322
3068.400000,0.007361
3068.500000,0.007400
3068.600000,0.007440
3068.700000,0.007479
3068.800000,0.007518
3068.890000,0.007558
3068.990000,0.007597
3069.090000,0.007636
3069.190000,0.007675
3069.290000,0.007715
3069.390000,0.007754
3069.480000,0.007793
3069.580000,0.007833
3069.680000,0.007872
3069.780000,0.007911
3069.880000,0.007950
3069.980000,0.007990
3070.070000,0.008029
3070.170000,0.008068
3070.270000,0.008108
3070.370000,0.008147
3070.470000,0.008186
3070.560000,0.008226
3070.660000,0.008265
3070.760000,0.008304
3070.860000,0.008344
3070.960000,0.008383
3071.060000,0.008422
3071.150000,0.008462
3071.250000,0.008501
3071.350000,0.008540
3071.450000,0.008579
3071.550000,0.008618
3071.640000,0.008658
3071.740000,0.008698
3071.840000,0.008737
3071.940000,0.008776
3072.040000,0.008815
3072.140000,0.008855
3072.230000,0.008894
3072.330000,0.008933
3072.430000,0.008972
3072.530000,0.009011
3072.630000,0.009051
3072.730000,0.009091
3072.830000,0.009130
3072.920000,0.009169
3073.020000,0.009208
3073.120000,0.009247
3073.220000,0.009287
3073.320000,0.009326
3073.410000,0.009366
3073.510000,0.009405
3073.610000,0.009445
3073.710000,0.009484
3073.810000,0.009523
3073.910000,0.009563
3074.000000,0.009602
3074.100000,0.009641
3074.200000,0.009680
3074.300000,0.009719
3074.400000,0.009759
3074.500000,0.009799
3074.600000,0.009838
3074.690000,0.009877
3074.790000,0.009916
3074.890000,0.009956
3074.990000,0.009995
3075.090000,0.010035
3075.180000,0.010074
3075.280000,0.010114
3075.380000,0.010153
3075.480000,0.010192
3075.580000,0.010232
3075.680000,0.010271
3075.780000,0.010310
3075.870000,0.010349
3075.970000,0.010389
3076.070000,0.010428
3076.170000,0.010468
3076.270000,0.010507
3076.370000,0.010547
3076.460000,0.010586
3076.560000,0.010625
3076.660000,0.010665
3076.760000,0.010704
3076.860000,0.010743
3076.960000,0.010782
3077.060000,0.010822
3077.150000,0.010861
3077.250000,0.010901
3077.350000,0.010940
3077.450000,0.010980
3077.550000,0.011019
3077.650000,0.011058
3077.740000,0.011097
3077.840000,0.011137
3077.940000,0.011177
3078.040000,0.011216
3078.140000,0.011255
3078.240000,0.011295
3078.340000,0.011335
3078.430000,0.011374
3078.530000,0.011413
3078.630000,0.011452
3078.730000,0.011491
3078.830000,0.011531
3078.930000,0.011571
3079.030000,0.011610
3079.120000,0.011650
3079.220000,0.011689
3079.320000,0.011728
3079.420000,0.011767
3079.520000,0.011807
3079.620000,0.011846
3079.720000,0.011886
3079.810000,0.011926
3079.910000,0.011965
3080.010000,0.012004
3080.110000,0.012044
3080.210000,0.012083
3080.310000,0.012122
3080.400000,0.012162
3080.500000,0.012201
3080.600000,0.012241
3080.700000,0.012281
3080.800000,0.012320
3080.900000,0.012359
3081.000000,0.012398
3081.090000,0.012438
3081.190000,0.012477
3081.290000,0.012517
3081.390000,0.012556
3081.490000,0.012596
3081.590000,0.012635
3081.690000,0.012674
3081.790000,0.012714
3081.880000,0.012753
3081.980000,0.012793
3082.080000,0.012832
3082.180000,0.012871
3082.280000,0.012911
3082.380000,0.012951
3082.480000,0.012990
3082.570000,0.013030
3082.670000,0.013069
3082.770000,0.013108
3082.870000,0.013148
3082.970000,0.013187
3083.070000,0.013227
3083.160000,0.013266
3083.260000,0.013306
3083.360000,0.013345
3083.460000,0.013385
3083.560000,0.013424
3083.660000,0.013464
3083.760000,0.013503
3083.860000,0.013542
3083.960000,0.013582
3084.050000,0.013621
3084.150000,0.013661
3084.250000,0.013701
3084.350000,0.013740
3084.450000,0.013779
3084.550000,0.013819
3084.650000,0.013858
3084.740000,0.013898
3084.840000,0.013937
3084.940000,0.013976
3085.040000,0.014016
3085.140000,0.014056
3085.240000,0.014096
3085.340000,0.014135
3085.440000,0.014174
3085.530000,0.014214
3085.630000,0.014253
3085.730000,0.014293
3085.830000,0.014332
3085.930000,0.014371
3086.030000,0.014411
3086.130000,0.014451
3086.220000,0.014490
3086.320000,0.014530
3086.420000,0.014569
3086.520000,0.014609
3086.620000,0.014648
3086.720000,0.014687
3086.820000,0.014727
3086.920000,0.014767
3087.020000,0.014806
3087.110000,0.014846
3087.210000,0.014885
3087.310000,0.014924
3087.410000,0.014965
3087.510000,0.015004
3087.610000,0.015043
3087.710000,0.015082
3087.810000,0.015123
3087.900000,0.015162
3088.000000,0.015202
3088.100000,0.015241
3088.200000,0.015280
3088.300000,0.015320
3088.400000,0.015359
3088.500000,0.015399
3088.600000,0.015439
3088.700000,0.015478
3088.790000,0.015518
3088.890000,0.015557
3088.990000,0.015596
3089.090000,0.015637
3089.190000,0.015676
3089.290000,0.015715
3089.390000,0.015755
3089.480000,0.015794
3089.580000,0.015834
3089.680000,0.015874
3089.780000,0.015913
3089.880000,0.015953
3089.980000,0.015992
3090.080000,0.016031
3090.180000,0.016071
3090.280000,0.016111
3090.380000,0.016150
3090.480000,0.016190
3090.570000,0.016230
3090.670000,0.016269
3090.770000,0.016309
3090.870000,0.016348
3090.970000,0.016388
3091.070000,0.016427
3091.170000,0.016466
3091.270000,0.016506
3091.370000,0.016546
3091.460000,0.016586
3091.560000,0.016625
3091.660000,0.016664
3091.760000,0.016704
3091.860000,0.016743
3091.960000,0.016783
3092.060000,0.016823
3092.160000,0.016862
3092.260000,0.016902
3092.350000,0.016942
3092.450000,0.016981
3092.550000,0.017021
3092.650000,0.017060
3092.750000,0.017100
3092.850000,0.017139
3092.950000,0.017179
3093.050000,0.017219
3093.150000,0.017259
3093.250000,0.017298
3093.340000,0.017338
3093.440000,0.017377
3093.540000,0.017416
3093.640000,0.017456
3093.740000,0.017496
3093.840000,0.017535
3093.940000,0.017575
3094.040000,0.017615
3094.140000,0.017654
3094.240000,0.017694
3094.330000,0.017734
3094.430000,0.017773
3094.530000,0.017812
3094.630000,0.017852
3094.730000,0.017892
3094.830000,0.017931
3094.930000,0.017972
3095.030000,0.018011
3095.130000,0.018050
3095.220000,0.018090
3095.320000,0.018130
3095.420000,0.018169
3095.520000,0.018209
3095.620000,0.018248
3095.720000,0.018288
3095.820000,0.018328
3095.920000,0.018368
3096.020000,0.018407
3096.120000,0.018447
3096.220000,0.018486
3096.310000,0.018526
3096.410000,0.018566
3096.510000,0.018605
3096.610000,0.018645
3096.710000,0.018685
3096.810000,0.018724
3096.910000,0.018763
3097.010000,0.018804
3097.110000,0.018843
3097.210000,0.018882
3097.300000,0.018922
3097.400000,0.018961
3097.500000,0.019001
3097.600000,0.019042
3097.700000,0.019081
3097.800000,0.019121
3097.900000,0.019160
3098.000000,0.019200
3098.100000,0.019239
3098.200000,0.019279
3098.300000,0.019319
3098.400000,0.019358
3098.500000,0.019398
3098.590000,0.019438
3098.690000,0.019478
3098.790000,0.019517
3098.890000,0.019557
3098.990000,0.019596
3099.090000,0.019636
3099.190000,0.019675
3099.290000,0.019715
3099.390000,0.019755
3099.490000,0.019795
3099.590000,0.019834
3099.680000,0.019874
3099.780000,0.019913
3099.880000,0.019953
3099.980000,0.019993
3100.080000,0.020092
3100.180000,0.020205
3100.280000,0.020318
3100.380000,0.020432
3100.480000,0.020547
3100.580000,0.020659
3100.680000,0.020771
3100.780000,0.020884
3100.870000,0.020997
3100.970000,0.021111
3101.070000,0.021224
3101.170000,0.021338
3101.270000,0.021451
3101.370000,0.021563
3101.470000,0.021676
3101.570000,0.021790
3101.670000,0.021903
3101.770000,0.022016
3101.870000,0.022128
3101.970000,0.022241
3102.070000,0.022355
3102.170000,0.022470
3102.270000,0.022582
3102.360000,0.022695
3102.460000,0.022808
3102.560000,0.022920
3102.660000,0.023035
3102.760000,0.023148
3102.860000,0.023260
3102.960000,0.023375
3103.060000,0.023487
