# WAVELENGTH_UNIT	AA
# COMPNAME       	GROUND_JOHNSON_V
# NAME           	GROUND_JOHNSON_V
# DETECTOR       	energy
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
4750.000000,0.000000
4750.210000,0.000127
4750.420000,0.000252
4750.630000,0.000379
4750.840000,0.000506
4751.050000,0.000633
4751.270000,0.000759
4751.480000,0.000886
4751.690000,0.001011
4751.900000,0.001138
4752.110000,0.001265
4752.320000,0.001390
4752.530000,0.001517
4752.740000,0.001644
4752.950000,0.001770
4753.160000,0.001897
4753.370000,0.002023
4753.580000,0.002150
4753.790000,0.002276
4754.000000,0.002401
4754.210000,0.002528
4754.430000,0.002655
4754.630000,0.002781
4754.850000,0.002909
4755.060000,0.003036
4755.270000,0.003161
4755.480000,0.003288
4755.690000,0.003415
4755.900000,0.003540
4756.110000,0.003667
4756.320000,0.003794
4756.530000,0.003919
4756.750000,0.004048
4756.960000,0.004175
4757.170000,0.004300
4757.380000,0.004427
4757.590000,0.004554
4757.800000,0.004679
4758.010000,0.004806
4758.220000,0.004933
4758.430000,0.005059
4758.650000,0.005187
4758.850000,0.005312
4759.070000,0.005440
4759.280000,0.005566
4759.490000,0.005692
4759.700000,0.005819
4759.910000,0.005946
4760.120000,0.006071
4760.330000,0.006198
4760.540000,0.006327
4760.750000,0.006452
4760.970000,0.006579
4761.180000,0.006706
4761.390000,0.006832
4761.600000,0.006959
4761.810000,0.007086
4762.020000,0.007211
4762.230000,0.007338
4762.450000,0.007467
4762.650000,0.007593
4762.870000,0.007720
4763.080000,0.007847
4763.290000,0.007972
4763.500000,0.008099
4763.710000,0.008226
4763.920000,0.008352
4764.130000,0.008479
4764.340000,0.008606
4764.560000,0.008733
4764.770000,0.008860
4764.980000,0.008986
4765.190000,0.009113
4765.400000,0.009240
4765.610000,0.009366
4765.820000,0.009493
4766.030000,0.009620
4766.250000,0.009747
4766.460000,0.009875
4766.670000,0.010002
