# NAME			HERSCHEL_PACS_BLUE
# COMPNAME		HERSCHEL_PACS_BLUE
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
539811.019900,0.000110
540541.000400,0.000127
541272.010800,0.000149
542005.004900,0.000174
542740.974400,0.000207
543478.012100,0.000246
544217.987100,0.000292
544958.992000,0.000349
545703.048700,0.000415
546447.982800,0.000489
547196.044900,0.000579
547944.946300,0.000685
548697.013900,0.000801
549451.026900,0.000936
550206.031800,0.001090
550964.050300,0.001267
551724.014300,0.001493
552486.000100,0.001782
553249.969500,0.002140
554016.952500,0.002599
554785.041800,0.003182
555555.954000,0.003878
556328.010600,0.004700
557102.966300,0.005665
557879.982000,0.006751
558659.019500,0.007975
559441.032400,0.009337
560223.999000,0.010770
561010.055500,0.012298
561797.943100,0.013769
562588.043200,0.015411
563380.050700,0.017236
564174.957300,0.019291
564972.038300,0.021477
565771.026600,0.023767
566571.960400,0.026286
567375.984200,0.028976
568182.029700,0.031815
568989.944500,0.034946
569800.949100,0.038235
570612.983700,0.041493
571428.985600,0.044929
572246.017500,0.048485
573065.986600,0.051882
573888.015700,0.055525
574712.944000,0.059458
575540.046700,0.063293
576369.018600,0.067365
577201.042200,0.071892
578035.011300,0.076470
578870.964100,0.081241
579710.006700,0.085888
580551.986700,0.090511
581394.996600,0.095411
582241.973900,0.100653
583089.981100,0.106150
583942.031900,0.112039
584794.998200,0.117755
585652.046200,0.123631
586510.009800,0.129391
587372.016900,0.135667
588235.015900,0.142264
589101.944000,0.148838
589971.008300,0.155394
590842.056300,0.161835
591716.041600,0.168066
592593.040500,0.174517
593471.984900,0.181205
594353.981000,0.188179
595237.999000,0.195707
596124.992400,0.203311
597014.961200,0.210078
597906.990100,0.217555
598801.994300,0.225067
599700.050400,0.232349
600601.005600,0.239996
601503.982500,0.247917
602409.973100,0.255344
603318.023700,0.262387
604230.003400,0.269255
605144.004800,0.275607
606060.981800,0.281619
606980.018600,0.287727
607902.984600,0.293566
608828.048700,0.298717
609756.050100,0.303889
610686.988800,0.308908
611620.979300,0.313452
612556.991600,0.318058
613497.009300,0.322264
614439.048800,0.325698
615385.017400,0.329750
616333.007800,0.334729
617284.050000,0.339911
618238.029500,0.345664
619195.022600,0.352120
620154.991100,0.358545
621118.011500,0.365037
622084.045400,0.371346
623052.978500,0.378117
624025.039700,0.384569
625000.000000,0.390229
625977.973900,0.394875
626958.961500,0.399337
627942.962600,0.404031
628931.007400,0.408879
629921.035800,0.413125
630914.993300,0.416077
631912.002600,0.417277
632910.957300,0.421352
633913.993800,0.429863
634921.035800,0.438127
635929.985000,0.444949
636943.054200,0.451292
637958.984400,0.457495
638977.966300,0.463309
640000.000000,0.469702
641026.001000,0.476195
642054.977400,0.481976
643087.005600,0.488802
644122.009300,0.495328
645160.980200,0.499707
646203.994800,0.503528
647248.992900,0.507449
648298.034700,0.510204
649350.967400,0.512200
650406.036400,0.513882
651465.988200,0.514839
652528.991700,0.516230
653594.970700,0.517115
654664.001500,0.516008
655737.991300,0.514180
656813.964800,0.513347
657894.973800,0.512823
658979.034400,0.512001
660065.994300,0.511521
661156.997700,0.511944
662251.968400,0.512186
663349.990800,0.511664
664451.980600,0.512062
665557.022100,0.513292
666667.022700,0.515429
667779.998800,0.516272
668896.026600,0.514410
670017.013500,0.511657
671140.976000,0.509671
672268.981900,0.508205
673401.031500,0.507281
674535.980200,0.506028
675675.964400,0.503302
676819.000200,0.499445
