# NAME			HERSCHEL_PACS_GREEN
# COMPNAME		HERSCHEL_PACS_GREEN
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
668896.026600,0.000180
670017.013500,0.000292
671140.976000,0.000017
672268.981900,0.000128
673401.031500,0.000322
674535.980200,0.000022
675675.964400,0.000147
676819.000200,0.000353
677966.003400,0.000067
679116.973900,0.000078
680271.987900,0.000372
681430.969200,0.000078
682593.994100,0.000015
683760.986300,0.000209
684931.030300,0.000072
686106.033300,0.000066
687285.003700,0.000224
688468.017600,0.000109
689654.998800,0.000064
690846.023600,0.000526
692042.007400,0.000415
693240.966800,0.000300
694443.969700,0.000742
695652.008100,0.000556
696864.013700,0.000205
698079.986600,0.000556
699300.994900,0.000305
700524.978600,0.000082
701753.997800,0.000207
702987.976100,0.000227
704225.006100,0.000038
705466.995200,0.000324
706714.019800,0.000678
707965.011600,0.000281
709219.970700,0.000600
710479.965200,0.001176
711744.003300,0.000844
713012.008700,0.000953
714285.965000,0.001425
715563.964800,0.000984
716846.008300,0.000880
718133.010900,0.001379
719423.980700,0.000930
720720.977800,0.000536
722022.018400,0.000940
723327.026400,0.000567
724637.985200,0.000132
725952.987700,0.000621
727273.025500,0.000334
728597.030600,0.000067
729926.986700,0.000072
731260.986300,0.000198
732601.013200,0.000010
733945.007300,0.000025
735294.036900,0.000106
736648.025500,0.000022
738006.973300,0.000091
739372.024500,0.000017
740740.966800,0.000095
742115.020800,0.000357
743494.033800,0.000196
744878.997800,0.000223
746268.997200,0.000430
747664.032000,0.000195
749064.025900,0.000057
750468.978900,0.000152
751880.035400,0.000026
753295.974700,0.000014
754717.025800,0.000219
756144.027700,0.000203
757575.988800,0.000197
759012.985200,0.000853
760456.008900,0.000516
761904.983500,0.000132
763358.993500,0.000878
764817.962600,0.000598
766283.035300,0.000148
767753.982500,0.001077
769231.033300,0.001078
770712.966900,0.000506
772201.004000,0.001466
773694.000200,0.001873
775194.015500,0.001228
776698.989900,0.002018
778209.991500,0.002636
779727.020300,0.001887
781250.000000,0.002488
782779.007000,0.003438
784313.964800,0.002810
785855.026200,0.003206
787401.962300,0.004472
788955.001800,0.004395
790513.992300,0.005176
792079.010000,0.007161
793650.970500,0.007620
795229.034400,0.008375
796812.973000,0.010581
798403.015100,0.011414
800000.000000,0.012228
801603.012100,0.014892
803212.966900,0.016557
804829.025300,0.018026
806452.026400,0.021912
808080.978400,0.025488
809717.025800,0.028105
811359.024000,0.032986
813007.965100,0.039130
814664.001500,0.045042
816326.980600,0.051864
817995.986900,0.058955
819672.012300,0.066848
821354.980500,0.076767
823044.967700,0.087443
824741.973900,0.100780
826445.999100,0.115714
828156.967200,0.131404
829875.030500,0.149148
831601.028400,0.167954
833332.977300,0.186327
835073.013300,0.205672
836819.992100,0.225335
838573.989900,0.242845
840335.998500,0.259589
842105.026200,0.269478
843881.988500,0.283383
845665.969800,0.296556
847457.962000,0.310720
849256.973300,0.325314
851063.995400,0.341531
852878.036500,0.359379
854701.004000,0.376443
856530.990600,0.392817
858368.988000,0.408650
860214.996300,0.420221
862069.015500,0.429624
863930.969200,0.437686
865801.010100,0.442078
867678.985600,0.443654
869564.971900,0.444661
871460.037200,0.443947
873361.969000,0.441489
875273.971600,0.439453
877192.993200,0.436985
879121.017500,0.433433
881056.976300,0.431011
883002.014200,0.428992
884955.978400,0.425648
886918.029800,0.422882
888889.007600,0.420483
890868.988000,0.416628
892856.979400,0.412423
894854.965200,0.409785
896860.961900,0.406396
898876.037600,0.403976
900901.031500,0.404834
902935.028100,0.407556
904977.035500,0.412733
907029.037500,0.421293
909091.033900,0.429533
911162.033100,0.437935
913242.034900,0.449141
915332.031200,0.460351
917431.030300,0.470352
919540.023800,0.481688
921659.011800,0.492609
923787.994400,0.502153
925925.979600,0.512986
928074.035600,0.523493
930233.001700,0.531692
932400.970500,0.540633
934579.010000,0.549775
936768.035900,0.555764
938966.980000,0.561068
941175.994900,0.565942
943395.996100,0.567452
945625.991800,0.568157
947866.973900,0.570508
950119.018600,0.571616
952380.981400,0.573019
954654.007000,0.575780
956938.018800,0.576367
959233.017000,0.575739
961538.009600,0.578610
963854.980500,0.580246
966184.005700,0.578966
968523.025500,0.580038
970874.023400,0.581219
973236.007700,0.580184
975609.970100,0.581172
977994.995100,0.582526
980391.998300,0.581595
982800.979600,0.581921
985222.015400,0.582167
987654.037500,0.578952
990099.029500,0.575169
992555.999800,0.571108
995025.024400,0.563640
997506.027200,0.556846
1000000.000000,0.553627
1002509.994500,0.549269
1005029.983500,0.544147
1007559.967000,0.540431
1010100.021400,0.533981
1012659.988400,0.527844
1015230.026200,0.525945
1017809.982300,0.524405
1020410.003700,0.520724
1023020.019500,0.519074
1025640.029900,0.517688
1028280.029300,0.514608
1030930.023200,0.513931
1033590.011600,0.513783
1036269.989000,0.510802
1038960.037200,0.507169
1041669.998200,0.502256
1044390.029900,0.494410
1047119.979900,0.487835
1049869.995100,0.482584
1052630.004900,0.473372
1055410.003700,0.463719
1058199.996900,0.460195
1061009.979200,0.455217
1063830.032300,0.450775
1066669.998200,0.453501
1069520.034800,0.455920
1072389.984100,0.455619
1075270.004300,0.459141
1078170.013400,0.459018
1081080.017100,0.454029
1084010.009800,0.455200
1086959.991500,0.457686
1089919.967700,0.452013
1092900.009200,0.449778
1095889.968900,0.450995
1098899.993900,0.445150
1101930.007900,0.442953
1104970.016500,0.445748
1108030.014000,0.441609
1111110.000600,0.438610
1114209.976200,0.442069
1117320.022600,0.437672
1120449.981700,0.433324
1123600.006100,0.436091
1126760.025000,0.432658
1129940.033000,0.426907
1133140.029900,0.427058
1136360.015900,0.422077
1139599.990800,0.413699
1142860.031100,0.412088
1146129.989600,0.409175
1149430.007900,0.401063
1152740.020800,0.397287
1156070.022600,0.393540
1159420.013400,0.384306
1162789.993300,0.379174
1166179.962200,0.376256
1169589.996300,0.367713
1173020.019500,0.361588
1176470.031700,0.358322
1179940.033000,0.348840
1183430.023200,0.340148
1186940.002400,0.334940
1190479.965200,0.324309
1194029.998800,0.313222
1197600.021400,0.305625
1201200.027500,0.293588
1204820.022600,0.279905
1208460.006700,0.269006
1212119.979900,0.255196
1215810.012800,0.239686
1219509.964000,0.226569
1223239.975000,0.211424
1226989.975000,0.194123
1230770.034800,0.178874
1234570.007300,0.163280
1238389.968900,0.146036
1242239.990200,0.130748
1246110.000600,0.116502
1250000.000000,0.101429
1253919.982900,0.087673
1257860.031100,0.075222
1261829.986600,0.063080
1265820.007300,0.052714
1269840.011600,0.043916
1273889.999400,0.035584
1277959.976200,0.028468
1282050.018300,0.022736
1286170.043900,0.017627
1290319.976800,0.013539
1294499.969500,0.010727
1298699.951200,0.008720
1302929.992700,0.007309
1307189.941400,0.006535
1311479.950000,0.006234
1315789.947500,0.006079
1320130.004900,0.006084
1324499.969500,0.006174
1328899.993900,0.006309
1333329.925500,0.006496
1337790.069600,0.006552
1342279.968300,0.006413
1346799.926800,0.006170
1351349.945100,0.005838
1355930.023200,0.005443
1360540.008500,0.005089
1365189.971900,0.004754
1369859.924300,0.004326
1374570.007300,0.003904
1379309.845000,0.003483
1384080.047600,0.002980
1388890.075700,0.002538
1393730.011000,0.002237
1398600.006100,0.001926
1403509.979200,0.001592
1408450.012200,0.001316
1413430.023200,0.001060
1418439.941400,0.000836
1423489.990200,0.000672
1428569.946300,0.000539
1433690.033000,0.000430
1438849.945100,0.000354
1444040.069600,0.000286
1449279.937700,0.000219
1454550.018300,0.000169
1459850.006100,0.000135
1465200.042700,0.000105
