# NAME			HERSCHEL_PACS_RED
# COMPNAME		HERSCHEL_PACS_RED
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
1114209.976200,0.000123
1117320.022600,0.000186
1120449.981700,0.000251
1123600.006100,0.000327
1126760.025000,0.000424
1129940.033000,0.000564
1133140.029900,0.000745
1136360.015900,0.001007
1139599.990800,0.001292
1142860.031100,0.001489
1146129.989600,0.001641
1149430.007900,0.001924
1152740.020800,0.002251
1156070.022600,0.002455
1159420.013400,0.002603
1162789.993300,0.002902
1166179.962200,0.003314
1169589.996300,0.003896
1173020.019500,0.004603
1176470.031700,0.005203
1179940.033000,0.005911
1183430.023200,0.006944
1186940.002400,0.008151
1190479.965200,0.009556
1194029.998800,0.011279
1197600.021400,0.012974
1201200.027500,0.014910
1204820.022600,0.017556
1208460.006700,0.020500
1212119.979900,0.023687
1215810.012800,0.027529
1219509.964000,0.031797
1223239.975000,0.036672
1226989.975000,0.042770
1230770.034800,0.049610
1234570.007300,0.056778
1238389.968900,0.065691
1242239.990200,0.076384
1246110.000600,0.087222
1250000.000000,0.099647
1253919.982900,0.114529
1257860.031100,0.129435
1261829.986600,0.146434
1265820.007300,0.166544
1269840.011600,0.185356
1273889.999400,0.205597
1277959.976200,0.230493
1282050.018300,0.252862
1286170.043900,0.274605
1290319.976800,0.301586
1294499.969500,0.324261
1298699.951200,0.343256
1302929.992700,0.367845
1307189.941400,0.388629
1311479.950000,0.403465
1315789.947500,0.422941
1320130.004900,0.437648
1324499.969500,0.441607
1328899.993900,0.448333
1333329.925500,0.454161
1337790.069600,0.450629
1342279.968300,0.450380
1346799.926800,0.453477
1351349.945100,0.450510
1355930.023200,0.452333
1360540.008500,0.463038
1365189.971900,0.468239
1369859.924300,0.473924
1374570.007300,0.488863
1379309.845000,0.496747
1384080.047600,0.498928
1388890.075700,0.508083
1393730.011000,0.510638
1398600.006100,0.507472
1403509.979200,0.514133
1408450.012200,0.517551
1413430.023200,0.513237
1418439.941400,0.517836
1423489.990200,0.521810
1428569.946300,0.517146
1433690.033000,0.520022
1438849.945100,0.524563
1444040.069600,0.520245
1449279.937700,0.521576
1454550.018300,0.527749
1459850.006100,0.526550
1465200.042700,0.528340
1470590.057400,0.535338
1476009.979200,0.534712
1481479.950000,0.535202
1486990.051300,0.543420
1492539.978000,0.543501
1498130.035400,0.540527
1503760.070800,0.546614
1509429.931600,0.546654
1515149.993900,0.540914
1520910.034200,0.545060
1526719.970700,0.545702
1532570.037800,0.539329
1538459.930400,0.543259
1544400.024400,0.546314
1550390.014600,0.540564
1556419.982900,0.542747
1562500.000000,0.544672
1568630.065900,0.536338
1574799.957300,0.535639
1581029.968300,0.538078
1587299.957300,0.529592
1593630.065900,0.524246
1600000.000000,0.524885
1606430.053700,0.516854
1612899.932900,0.509749
1619429.931600,0.510861
1626020.050000,0.506278
1632649.993900,0.499765
1639340.057400,0.501560
1646089.935300,0.498322
1652890.014600,0.489745
1659750.061000,0.489233
1666670.074500,0.485033
1673639.984100,0.473850
1680670.013400,0.471473
1687760.009800,0.470701
1694920.043900,0.460580
1702129.974400,0.457268
1709400.024400,0.457957
1716739.959700,0.450658
1724140.014600,0.449159
1731600.036600,0.452309
1739129.943800,0.446053
1746719.970700,0.442808
1754389.953600,0.445406
1762109.985400,0.440926
1769909.973100,0.438277
1777779.998800,0.441164
1785709.991500,0.435159
1793719.940200,0.429747
1801799.926800,0.432801
1809949.951200,0.432525
1818179.931600,0.430561
1826479.950000,0.436655
1834859.924300,0.439237
1843320.007300,0.433252
1851849.975600,0.433453
1860469.970700,0.435221
1869160.003700,0.432822
1877929.992700,0.434708
1886790.008500,0.435832
1895729.980500,0.428704
1904759.979200,0.424391
1913880.004900,0.422630
1923079.986600,0.415795
1932369.995100,0.410199
1941750.030500,0.404831
1951219.940200,0.389426
1960780.029300,0.374824
1970440.063500,0.367303
1980200.042700,0.355677
1990050.048800,0.342366
2000000.000000,0.333008
2010050.048800,0.314394
2020200.042700,0.294157
2030460.052500,0.281663
2040820.007300,0.264420
2051280.059800,0.241459
2061860.046400,0.225093
2072539.978000,0.206788
2083329.925500,0.181573
2094239.959700,0.164831
2105260.009800,0.150374
2116399.993900,0.135176
2127660.064700,0.121540
2139040.069600,0.107791
2150540.008500,0.093567
2162160.034200,0.082464
2173910.064700,0.072885
2185789.947500,0.063338
2197799.987800,0.055415
2209940.033000,0.048305
2222220.001200,0.041694
2234640.045200,0.036946
2247189.941400,0.032905
2259889.984100,0.028374
2272729.950000,0.024620
2285709.991500,0.021874
2298849.945100,0.018989
2312140.045200,0.016238
2325579.986600,0.014224
2339179.992700,0.012476
2352940.063500,0.011017
2366860.046400,0.009811
2380950.012200,0.008725
2395209.960900,0.007686
2409640.045200,0.006962
2424239.959700,0.006213
2439019.928000,0.005308
2453990.020800,0.004835
2469140.014600,0.004417
2484470.062300,0.003826
2500000.000000,0.003429
2515720.062300,0.003116
2531649.932900,0.002774
