# NAME			HERSCHEL_SPIRE_PLW
# COMPNAME		HERSCHEL_SPIRE_PLW
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3348961.8,1.0175e-5
3359086.3,1.0044e-5
3370407.8,1.3223e-5
3381805.9,1.3377e-5
3393281.3,2.2469e-5
3404834.9,2.6388e-5
3415300.5,1.8860e-5
3427004.8,2.6192e-5
3438789.5,4.9804e-5
3450655.6,5.5927e-5
3462603.9,6.8844e-5
3473428.3,1.1014e-4
3485535.0,1.4397e-4
3497726.5,1.8289e-4
3510003.5,2.7825e-4
3521126.8,4.3321e-4
3533568.9,5.7985e-4
3546099.3,6.4321e-4
3558718.9,7.8576e-4
3571428.6,9.7828e-4
3582945.2,9.4399e-4
3595828.8,7.9311e-4
3608805.5,8.4291e-4
3621876.1,9.7061e-4
3635041.8,1.1086e-3
3646973.0,1.2882e-3
3660322.1,1.2002e-3
3673769.3,1.1912e-3
3687315.6,1.1858e-3
3699593.0,1.3261e-3
3713330.9,1.2911e-3
3727171.1,1.4148e-3
3741114.9,1.5196e-3
3755163.3,1.8436e-3
3767897.5,2.5506e-3
3782148.3,2.9686e-3
3796507.2,3.5843e-3
3810975.6,4.1411e-3
3825554.7,5.4229e-3
3838771.6,6.6411e-3
3853564.5,8.1303e-3
3868472.0,1.0333e-2
3883495.1,1.3049e-2
3897116.1,1.6378e-2
3912363.1,2.1408e-2
3927729.8,2.8756e-2
3943217.7,3.7835e-2
3958828.2,4.8873e-2
3972983.7,6.2802e-2
3988831.3,8.1352e-2
4004805.8,1.0359e-1
4020908.7,1.3142e-1
4037141.7,1.6933e-1
4051863.9,2.1457e-1
4068348.3,2.7286e-1
4084967.3,3.5728e-1
4101722.7,4.5983e-1
4116920.5,5.7740e-1
4133939.6,6.7391e-1
4151100.0,7.5490e-1
4168403.5,8.2903e-1
4185851.8,8.5385e-1
4201680.7,8.7198e-1
4219409.3,8.9484e-1
4237288.1,9.2031e-1
4255319.1,9.3697e-1
4271678.8,9.5934e-1
4290004.3,9.7191e-1
4308487.7,9.9184e-1
4327131.1,9.8857e-1
4345936.5,9.9837e-1
4363001.7,9.7159e-1
4382120.9,9.6718e-1
4401408.5,9.8122e-1
4420866.5,9.9804e-1
4440497.3,1.0000e+0
4458314.8,9.8824e-1
4478280.3,9.8890e-1
4498425.6,9.3811e-1
4518752.8,9.2276e-1
4537205.1,9.1737e-1
4557885.1,9.0349e-1
4578754.6,8.9598e-1
4599816.0,9.2374e-1
4621072.1,9.4971e-1
4640371.2,9.5346e-1
4662004.7,9.8449e-1
4683840.7,9.6522e-1
4705882.4,9.5003e-1
4728132.4,9.1362e-1
4748338.1,9.0317e-1
4770992.4,8.6414e-1
4793863.9,8.5614e-1
