# NAME			HERSCHEL_SPIRE_PLW_EXT
# COMPNAME		HERSCHEL_SPIRE_PLW_EXT
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3438789.5,1.7189e-5
3450655.6,1.9435e-5
3462603.9,2.4090e-5
3473428.3,3.8782e-5
3485535.0,5.1049e-5
3497726.5,6.5301e-5
3510003.5,1.0005e-4
3521126.8,1.5676e-4
3533568.9,2.1130e-4
3546099.3,2.3606e-4
3558718.9,2.9043e-4
3571428.6,3.6418e-4
3582945.2,3.5368e-4
3595828.8,2.9929e-4
3608805.5,3.2039e-4
3621876.1,3.7160e-4
3635041.8,4.2752e-4
3646973.0,5.0005e-4
3660322.1,4.6930e-4
3673769.3,4.6922e-4
3687315.6,4.7055e-4
3699593.0,5.2972e-4
3713330.9,5.1960e-4
3727171.1,5.7360e-4
3741114.9,6.2072e-4
3755163.3,7.5872e-4
3767897.5,1.0568e-3
3782148.3,1.2394e-3
3796507.2,1.5078e-3
3810975.6,1.7553e-3
3825554.7,2.3163e-3
3838771.6,2.8562e-3
3853564.5,3.5237e-3
3868472.0,4.5131e-3
3883495.1,5.7435e-3
3897116.1,7.2597e-3
3912363.1,9.5634e-3
3927729.8,1.2947e-2
3943217.7,1.7169e-2
3958828.2,2.2355e-2
3972983.7,2.8932e-2
3988831.3,3.7777e-2
4004805.8,4.8490e-2
4020908.7,6.2011e-2
4037141.7,8.0548e-2
4051863.9,1.0281e-1
4068348.3,1.3181e-1
4084967.3,1.7400e-1
4101722.7,2.2578e-1
4116920.5,2.8562e-1
4133939.6,3.3612e-1
4151100.0,3.7965e-1
4168403.5,4.2041e-1
4185851.8,4.3663e-1
4201680.7,4.4928e-1
4219409.3,4.6496e-1
4237288.1,4.8225e-1
4255319.1,4.9517e-1
4271678.8,5.1090e-1
4290004.3,5.2204e-1
4308487.7,5.3735e-1
4327131.1,5.4022e-1
4345936.5,5.5033e-1
4363001.7,5.3978e-1
4382120.9,5.4205e-1
4401408.5,5.5477e-1
4420866.5,5.6928e-1
4440497.3,5.7548e-1
4458314.8,5.7328e-1
4478280.3,5.7881e-1
4498425.6,5.5404e-1
4518752.8,5.4991e-1
4537205.1,5.5117e-1
4557885.1,5.4779e-1
4578754.6,5.4823e-1
4599816.0,5.7042e-1
4621072.1,5.9189e-1
4640371.2,5.9920e-1
4662004.7,6.2448e-1
4683840.7,6.1801e-1
4705882.4,6.1402e-1
