# NAME			HERSCHEL_SPIRE_PMW
# COMPNAME		HERSCHEL_SPIRE_PMW
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
1995211.5,2.2590e-5
1999200.3,1.5957e-5
2047082.9,1.0945e-5
2255300.0,1.3204e-5
2259887.0,1.1843e-5
2265005.7,1.0698e-5
2270147.6,1.4258e-5
2370229.9,1.1827e-5
2375861.2,1.4692e-5
2380952.4,1.1331e-5
2386634.8,1.3424e-5
2392344.5,1.1947e-5
2398081.5,1.6653e-5
2403846.2,1.3609e-5
2409058.1,1.9582e-5
2414875.6,1.8126e-5
2420721.4,1.6511e-5
2426595.5,1.2826e-5
2431906.6,1.2010e-5
2437835.2,1.4572e-5
2443792.8,1.3283e-5
2449779.5,1.9930e-5
2455795.7,1.5569e-5
2461235.5,1.3383e-5
2467308.2,1.2118e-5
2473410.8,2.2242e-5
2479543.8,2.2843e-5
2485707.2,1.6416e-5
2491280.5,1.9930e-5
2497502.5,2.2637e-5
2503755.6,1.9661e-5
2510040.2,1.6084e-5
2515723.3,1.8886e-5
2522068.1,2.3650e-5
2528445.0,1.9250e-5
2534854.2,3.3592e-5
2541296.1,4.4404e-5
2547121.8,4.8678e-5
2553626.1,5.9617e-5
2560163.9,6.2846e-5
2566735.1,6.5696e-5
2573340.2,8.9362e-5
2579313.9,1.0915e-4
2585984.0,1.1602e-4
2592688.6,1.2134e-4
2599428.1,1.4413e-4
2605523.7,1.5894e-4
2612330.2,1.9218e-4
2619172.3,2.3128e-4
2626050.4,2.7260e-4
2632964.7,3.2500e-4
2639218.8,4.0209e-4
2646202.7,4.8092e-4
2653223.7,6.0551e-4
2660282.0,7.4260e-4
2666666.7,9.0977e-4
2673796.8,1.1265e-3
2680965.1,1.4203e-3
2688172.0,1.7508e-3
2695417.8,2.1703e-3
2701972.4,2.6627e-3
2709292.9,3.1107e-3
2716653.1,3.5808e-3
2724053.4,4.1175e-3
2731494.1,4.6858e-3
2738225.6,5.3411e-3
2745744.1,6.2023e-3
2753304.0,7.1015e-3
2760905.6,8.0149e-3
2767783.0,9.1183e-3
2775464.9,1.0388e-2
2783189.5,1.1572e-2
2790957.3,1.2775e-2
2798768.5,1.4130e-2
2805836.1,1.5805e-2
2813731.0,1.7113e-2
2821670.4,1.9107e-2
2829654.8,2.1577e-2
2837684.4,2.3603e-2
2844950.2,2.8178e-2
2853067.0,3.6568e-2
2861230.3,4.0541e-2
2869440.5,5.2113e-2
2876870.0,6.2783e-2
2885170.2,7.7014e-2
2893518.5,9.1832e-2
2901915.3,1.0910e-1
2910360.9,1.2661e-1
2918004.1,1.4884e-1
2926543.8,1.8173e-1
2935133.5,2.2780e-1
2943773.9,2.8558e-1
2952465.3,3.5428e-1
2960331.6,4.2710e-1
2969121.1,4.9850e-1
2977963.1,5.4868e-1
2986857.8,5.8240e-1
2994908.7,6.1042e-1
3003905.1,6.3796e-1
3012955.7,6.5822e-1
3022061.0,6.7136e-1
3031221.6,6.9289e-1
3039513.7,6.9701e-1
3048780.5,6.9099e-1
3058104.0,6.8688e-1
3067484.7,6.8783e-1
3076923.1,6.9653e-1
3085467.4,6.8656e-1
3095017.0,7.1189e-1
3104625.9,7.3389e-1
3114294.6,7.4608e-1
3123048.1,7.4941e-1
3132832.1,7.6207e-1
3142677.6,7.7268e-1
3152585.1,7.6112e-1
3162555.3,7.5447e-1
3171582.6,7.4687e-1
3181673.6,7.2772e-1
3191828.9,7.2392e-1
3202049.3,7.3199e-1
3211303.8,7.7157e-1
3221649.5,8.1399e-1
3232062.1,8.6338e-1
3242542.2,8.7795e-1
3253090.4,8.9077e-1
3262642.7,8.6069e-1
3273322.4,8.5151e-1
3284072.2,8.2650e-1
3294892.9,8.1479e-1
3305785.1,8.2492e-1
3315649.9,8.4502e-1
3326680.0,8.5357e-1
3337783.7,8.7890e-1
3348961.8,8.8887e-1
3359086.3,8.9315e-1
3370407.8,8.9346e-1
3381805.9,8.9077e-1
3393281.3,8.7842e-1
3404834.9,8.7700e-1
3415300.5,8.7826e-1
3427004.8,8.8428e-1
3438789.5,9.0913e-1
3450655.6,9.1547e-1
3462603.9,8.9884e-1
3473428.3,8.6987e-1
3485535.0,8.6592e-1
3497726.5,8.4565e-1
3510003.5,8.5104e-1
3521126.8,8.8729e-1
3533568.9,9.3605e-1
3546099.3,9.8464e-1
3558718.9,9.9098e-1
3571428.6,1.0000e+0
3582945.2,9.8211e-1
3595828.8,9.3209e-1
3608805.5,9.0723e-1
3621876.1,8.9789e-1
3635041.8,8.9647e-1
3646973.0,9.1436e-1
3660322.1,9.2132e-1
3673769.3,9.5124e-1
3687315.6,9.5662e-1
3699593.0,9.6834e-1
3713330.9,9.8053e-1
3727171.1,9.9573e-1
3741114.9,9.8259e-1
3755163.3,9.6644e-1
3767897.5,9.5710e-1
3782148.3,9.5298e-1
3796507.2,9.4998e-1
3810975.6,9.4602e-1
3825554.7,9.4618e-1
3838771.6,9.6517e-1
3853564.5,9.4428e-1
3868472.0,9.2180e-1
3883495.1,8.9758e-1
3897116.1,8.8776e-1
3912363.1,8.7478e-1
3927729.8,8.7716e-1
3943217.7,8.5056e-1
3958828.2,8.2175e-1
3972983.7,7.5511e-1
3988831.3,7.0112e-1
4004805.8,6.1263e-1
4020908.7,5.4029e-1
4037141.7,4.6019e-1
4051863.9,4.0652e-1
4068348.3,3.3845e-1
4084967.3,2.9429e-1
4101722.7,2.5708e-1
4116920.5,2.2147e-1
4133939.6,1.8284e-1
4151100.0,1.5139e-1
4168403.5,7.3896e-2
4185851.8,3.4558e-2
4201680.7,2.0310e-2
4219409.3,1.3350e-2
4237288.1,9.4349e-3
4255319.1,6.7184e-3
4271678.8,5.0958e-3
4290004.3,4.0241e-3
4308487.7,3.1455e-3
4327131.1,2.4379e-3
4345936.5,1.9693e-3
4363001.7,1.5925e-3
4382120.9,1.3209e-3
4401408.5,1.1581e-3
4420866.5,1.0431e-3
4440497.3,9.1547e-4
4458314.8,7.9262e-4
4478280.3,6.8925e-4
4498425.6,5.7939e-4
4518752.8,5.0451e-4
4537205.1,4.4831e-4
4557885.1,4.1966e-4
4578754.6,4.0541e-4
4599816.0,3.9782e-4
4621072.1,3.8040e-4
4640371.2,3.5713e-4
4662004.7,3.3972e-4
4683840.7,3.1154e-4
4705882.4,2.8305e-4
4728132.4,2.4790e-4
