# NAME			HERSCHEL_SPIRE_PSW_EXT
# COMPNAME		HERSCHEL_SPIRE_PSW_EXT
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
1666666.7,1.9116e-4
1669449.1,1.4896e-4
1672240.8,1.0648e-4
1674761.3,6.1664e-5
1694340.9,4.1376e-5
1697216.6,1.0719e-4
1699813.0,1.7485e-4
1702707.3,2.4295e-4
1705611.5,2.4773e-4
1708525.5,2.4666e-4
1711449.6,2.5227e-4
1714089.8,2.7073e-4
1717033.0,2.8939e-4
1719986.2,3.5421e-4
1722949.7,4.3372e-4
1725625.5,4.8434e-4
1728608.5,4.0906e-4
1731601.7,3.3319e-4
1734605.4,2.4910e-4
1737619.5,1.5951e-4
1740341.1,7.2516e-5
1743375.2,6.9012e-5
1746419.8,6.5545e-5
1749475.2,8.0847e-5
1752541.2,1.1828e-4
1755309.8,1.5592e-4
1758396.3,1.3137e-4
1761493.7,9.8584e-5
1764602.1,6.9291e-5
1767409.0,4.7918e-5
1770538.2,2.6450e-5
1773678.6,1.3061e-4
1776830.1,2.8102e-4
1779992.9,4.1428e-4
1782849.0,4.5268e-4
1786033.2,4.9144e-4
1789228.8,3.8284e-4
1792435.9,1.6788e-4
1805054.2,8.0896e-5
1808318.3,3.7920e-4
1811266.1,6.7935e-4
1814552.7,7.5915e-4
1817851.3,8.0277e-4
1821161.9,7.8178e-4
1824484.6,5.9382e-4
1827485.4,4.0462e-4
1830831.2,3.9305e-4
1834189.3,4.5618e-4
1837559.7,5.2757e-4
1840942.6,6.5130e-4
1843997.8,7.7558e-4
1847404.4,9.1276e-4
1850823.6,1.0594e-3
1854255.5,1.2079e-3
1857355.1,1.4230e-3
1860811.3,1.6417e-3
1864280.4,1.7488e-3
1867762.4,1.6884e-3
1871257.5,1.6277e-3
1874414.2,1.5405e-3
1877934.3,1.4467e-3
1881467.5,1.4084e-3
1885014.1,1.5353e-3
1888574.1,1.6623e-3
1891789.6,1.7771e-3
1895375.3,1.8860e-3
1898974.6,1.9816e-3
1902587.5,1.9467e-3
1905851.0,1.9107e-3
1909490.2,1.8368e-3
1913143.3,1.7270e-3
1916810.4,1.6163e-3
1920491.6,1.7866e-3
1923816.9,1.9736e-3
1927525.1,2.2001e-3
1931247.6,2.4930e-3
1934984.5,2.7873e-3
1938360.1,2.9735e-3
1942124.7,3.1343e-3
1945903.9,3.3213e-3
1949697.8,3.6006e-3
1953506.5,3.8812e-3
1956947.2,4.3210e-3
1960784.3,4.8513e-3
1964636.5,5.3714e-3
1968503.9,5.6991e-3
1972386.6,6.0302e-3
1975894.1,6.4483e-3
1979806.0,6.9617e-3
1983733.4,7.4782e-3
1987676.4,8.3196e-3
1991238.6,9.1991e-3
1995211.5,1.0163e-2
1999200.3,1.1282e-2
2003205.1,1.2419e-2
2007226.0,1.4029e-2
2010858.6,1.5788e-2
2014910.3,1.7726e-2
2018978.4,2.0325e-2
2023062.9,2.2954e-2
2027164.0,2.5960e-2
2030869.2,2.9200e-2
2035002.0,3.2552e-2
2039151.7,3.7732e-2
2043318.3,4.2953e-2
2047082.9,4.8940e-2
2051282.1,5.5825e-2
2055498.5,6.2775e-2
2059732.2,7.2484e-2
2063983.5,8.2588e-2
2067824.6,9.4446e-2
2072109.4,1.0997e-1
2076412.0,1.2561e-1
2080732.4,1.4246e-1
2085070.9,1.5990e-1
2088991.0,1.7704e-1
2093364.0,1.9295e-1
2097755.4,2.0909e-1
2102165.2,2.2745e-1
2106150.0,2.4732e-1
2110595.2,2.6755e-1
2115059.2,2.9274e-1
2119542.2,3.1814e-1
2124044.2,3.4078e-1
2128112.4,3.5963e-1
2132650.9,3.7869e-1
2137208.8,3.8587e-1
2141786.2,3.9111e-1
2146383.3,3.9678e-1
2150537.6,4.0337e-1
2155172.4,4.1009e-1
2159827.2,4.1753e-1
2164502.2,4.2532e-1
2168727.0,4.3270e-1
2173440.6,4.3858e-1
2178174.7,4.4450e-1
2182929.5,4.4850e-1
2187705.1,4.5106e-1
2192021.0,4.5334e-1
2196836.6,4.6279e-1
2201673.3,4.7232e-1
2206531.3,4.7862e-1
2210922.0,4.7972e-1
2215821.0,4.8104e-1
2220741.7,4.7982e-1
2225684.4,4.7808e-1
2230649.1,4.7704e-1
2235136.3,4.7834e-1
2240143.4,4.7977e-1
2245172.9,4.9304e-1
2250225.0,5.1205e-1
2255300.0,5.3030e-1
2259887.0,5.4119e-1
2265005.7,5.5252e-1
2270147.6,5.5557e-1
2275312.9,5.5138e-1
2279981.8,5.4689e-1
2285192.0,5.4724e-1
2290426.0,5.4792e-1
2295684.1,5.5576e-1
2300966.4,5.7566e-1
2305741.3,5.9547e-1
2311070.0,6.1000e-1
2316423.4,6.2322e-1
2321801.7,6.3490e-1
2327205.0,6.4064e-1
2332089.6,6.4614e-1
2337540.9,6.5006e-1
2343017.8,6.5300e-1
2348520.4,6.5641e-1
2353494.9,6.6467e-1
2359046.9,6.7343e-1
2364625.2,6.7639e-1
2370229.9,6.7346e-1
2375861.2,6.7062e-1
2380952.4,6.7326e-1
2386634.8,6.7683e-1
2392344.5,6.8479e-1
2398081.5,7.0135e-1
2403846.2,7.1794e-1
2409058.1,7.3278e-1
2414875.6,7.4762e-1
2420721.4,7.5752e-1
2426595.5,7.4676e-1
2431906.6,7.3553e-1
2437835.2,7.2627e-1
2443792.8,7.1801e-1
2449779.5,7.1065e-1
2455795.7,7.2259e-1
2461235.5,7.3429e-1
2467308.2,7.5008e-1
2473410.8,7.7006e-1
2479543.8,7.9022e-1
2485707.2,7.9072e-1
2491280.5,7.8851e-1
2497502.5,7.8500e-1
2503755.6,7.7783e-1
2510040.2,7.7058e-1
2515723.3,7.7589e-1
2522068.1,7.8623e-1
2528445.0,7.9654e-1
2534854.2,8.0733e-1
2541296.1,8.1823e-1
2547121.8,8.2559e-1
2553626.1,8.3143e-1
2560163.9,8.3745e-1
2566735.1,8.5112e-1
2573340.2,8.6492e-1
2579313.9,8.7853e-1
2585984.0,8.9287e-1
2592688.6,9.0734e-1
2599428.1,9.0398e-1
2605523.7,8.9732e-1
2612330.2,8.8964e-1
2619172.3,8.7819e-1
2626050.4,8.6661e-1
2632964.7,8.7704e-1
2639218.8,8.9585e-1
2646202.7,9.1733e-1
2653223.7,9.5644e-1
2660282.0,9.8778e-1
2666666.7,1.0000e+0
2673796.8,9.9416e-1
2680965.1,9.7536e-1
2688172.0,9.4547e-1
2695417.8,9.2348e-1
2701972.4,9.1850e-1
2709292.9,9.1320e-1
2716653.1,9.3505e-1
2724053.4,9.5666e-1
2731494.1,9.6743e-1
2738225.6,9.8255e-1
2745744.1,9.8671e-1
2753304.0,9.7950e-1
2760905.6,9.6293e-1
2767783.0,9.5163e-1
2775464.9,9.4978e-1
2783189.5,9.5348e-1
2790957.3,9.3955e-1
2798768.5,9.2997e-1
2805836.1,9.1553e-1
2813731.0,8.9002e-1
2821670.4,8.5584e-1
2829654.8,8.3446e-1
2837684.4,7.7980e-1
2844950.2,7.7480e-1
2853067.0,8.3105e-1
2861230.3,7.6277e-1
2869440.5,7.7411e-1
2876870.0,7.3993e-1
2885170.2,6.8640e-1
2893518.5,6.1206e-1
2901915.3,5.3980e-1
2910360.9,4.5655e-1
2918004.1,3.8562e-1
2926543.8,3.2259e-1
2935133.5,2.6342e-1
2943773.9,1.5206e-1
2952465.3,6.9042e-2
2960331.6,3.8082e-2
2969121.1,2.2996e-2
2977963.1,1.4359e-2
2986857.8,9.3196e-3
2994908.7,7.6234e-3
3003905.1,6.4329e-3
3012955.7,5.8582e-3
3022061.0,5.5832e-3
3031221.6,5.3672e-3
3039513.7,5.1263e-3
3048780.5,4.8895e-3
3058104.0,4.5244e-3
3067484.7,4.1160e-3
3076923.1,3.7259e-3
3085467.4,3.2640e-3
3095017.0,2.9270e-3
3104625.9,2.6175e-3
3114294.6,2.3341e-3
3123048.1,2.0639e-3
3132832.1,1.7945e-3
3142677.6,1.5171e-3
3152585.1,1.2760e-3
3162555.3,1.0675e-3
3171582.6,8.8541e-4
3181673.6,7.4776e-4
3191828.9,6.5745e-4
3202049.3,5.8244e-4
3211303.8,5.3716e-4
3221649.5,5.0063e-4
3232062.1,4.7094e-4
3242542.2,4.3306e-4
3253090.4,3.9576e-4
3262642.7,3.5510e-4
3273322.4,3.2298e-4
3284072.2,2.9044e-4
3294892.9,2.6060e-4
3305785.1,2.4206e-4
3315649.9,2.2491e-4
3326680.0,2.1074e-4
3337783.7,2.0019e-4
3348961.8,1.8949e-4
3359086.3,1.7690e-4
3370407.8,1.6393e-4
3381805.9,1.4994e-4
3393281.3,1.3812e-4
3404834.9,1.2968e-4
3415300.5,1.2185e-4
3427004.8,1.1649e-4
3438789.5,1.1232e-4
3450655.6,1.0694e-4
3462603.9,9.8840e-5
3473428.3,8.9764e-5
3485535.0,8.1004e-5
