# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_ACS_HRC_F555W
# NAME           	HST_ACS_HRC_F555W
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3480.000000,0.000002
3480.380000,0.000002
3480.770000,0.000002
3481.150000,0.000002
3481.540000,0.000002
3481.920000,0.000002
3482.310000,0.000002
3482.690000,0.000002
3483.080000,0.000002
3483.460000,0.000002
3483.850000,0.000002
3484.230000,0.000002
3484.620000,0.000002
3485.000000,0.000002
3485.390000,0.000002
3485.770000,0.000002
3486.160000,0.000002
3486.540000,0.000002
3486.930000,0.000002
3487.310000,0.000002
3487.700000,0.000002
3488.080000,0.000002
3488.470000,0.000002
3488.850000,0.000002
3489.240000,0.000002
3489.620000,0.000002
3490.010000,0.000002
3490.390000,0.000002
3490.780000,0.000002
3491.160000,0.000002
3491.550000,0.000002
3491.940000,0.000002
3492.320000,0.000002
3492.710000,0.000002
3493.090000,0.000002
3493.480000,0.000002
3493.860000,0.000002
3494.250000,0.000002
3494.640000,0.000002
3495.020000,0.000003
3495.410000,0.000003
3495.790000,0.000003
3496.180000,0.000003
3496.570000,0.000003
3496.950000,0.000003
3497.340000,0.000003
3497.730000,0.000003
3498.110000,0.000003
3498.500000,0.000003
3498.880000,0.000003
3499.270000,0.000003
3499.660000,0.000003
3500.040000,0.000003
3500.430000,0.000003
3500.820000,0.000003
3501.200000,0.000003
3501.590000,0.000003
3501.980000,0.000003
3502.360000,0.000003
3502.750000,0.000003
3503.140000,0.000003
3503.520000,0.000003
3503.910000,0.000003
3504.300000,0.000003
3504.690000,0.000003
3505.070000,0.000003
3505.460000,0.000003
3505.850000,0.000003
3506.230000,0.000003
3506.620000,0.000003
3507.010000,0.000003
3507.400000,0.000003
3507.780000,0.000003
3508.170000,0.000003
3508.560000,0.000003
3508.950000,0.000003
3509.330000,0.000003
3509.720000,0.000003
3510.110000,0.000003
3510.500000,0.000003
3510.880000,0.000003
3511.270000,0.000003
3511.660000,0.000003
3512.050000,0.000003
3512.440000,0.000003
3512.820000,0.000003
3513.210000,0.000003
3513.600000,0.000004
3513.990000,0.000004
3514.380000,0.000004
3514.760000,0.000004
3515.150000,0.000004
3515.540000,0.000004
3515.930000,0.000004
3516.320000,0.000004
3516.710000,0.000004
3517.090000,0.000004
3517.480000,0.000004
3517.870000,0.000004
3518.260000,0.000004
3518.650000,0.000004
3519.040000,0.000004
3519.430000,0.000004
3519.810000,0.000004
3520.200000,0.000004
3520.590000,0.000004
3520.980000,0.000004
3521.370000,0.000004
3521.760000,0.000004
3522.150000,0.000004
3522.540000,0.000004
3522.930000,0.000004
3523.310000,0.000004
3523.700000,0.000004
3524.090000,0.000004
3524.480000,0.000004
3524.870000,0.000004
3525.260000,0.000003
3525.650000,0.000003
3526.040000,0.000003
3526.430000,0.000003
3526.820000,0.000003
3527.210000,0.000003
3527.600000,0.000003
3527.990000,0.000003
3528.380000,0.000003
3528.770000,0.000003
3529.160000,0.000003
3529.550000,0.000003
3529.940000,0.000003
3530.330000,0.000003
3530.720000,0.000003
3531.110000,0.000003
3531.500000,0.000003
3531.890000,0.000003
3532.280000,0.000003
3532.670000,0.000003
3533.060000,0.000003
3533.450000,0.000003
3533.840000,0.000003
3534.230000,0.000003
3534.620000,0.000003
3535.010000,0.000003
3535.400000,0.000003
3535.790000,0.000003
3536.180000,0.000003
3536.570000,0.000003
3536.960000,0.000003
3537.350000,0.000003
3537.740000,0.000003
3538.130000,0.000002
3538.520000,0.000002
3538.910000,0.000002
3539.310000,0.000002
3539.700000,0.000002
3540.090000,0.000002
3540.480000,0.000002
3540.870000,0.000002
3541.260000,0.000002
3541.650000,0.000002
3542.040000,0.000002
3542.430000,0.000002
3542.820000,0.000002
3543.220000,0.000002
3543.610000,0.000002
3544.000000,0.000002
3544.390000,0.000002
