# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_NIC3_F150W
# NAME           	HST_NIC3_F150W
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
8994.999023,0.000000
8995.000000,-0.000046
9000.000000,-0.000246
9005.000000,-0.000276
9010.000000,-0.000567
9015.000000,0.000087
9020.000000,-0.000321
9025.000000,-0.000253
9030.000000,-0.000071
9035.000000,-0.000225
9040.000000,0.000001
9045.000000,-0.000182
9050.000000,-0.000728
9055.000000,-0.000690
9060.000000,-0.000117
9065.000000,0.000227
9070.000000,-0.000432
9075.000000,-0.000284
9080.000000,-0.000145
9085.000000,-0.000842
9090.000000,-0.000335
9095.000000,-0.000277
9100.000000,-0.000002
9105.000000,-0.000109
9110.000000,-0.000134
9115.000000,-0.000238
9120.000000,-0.000157
9125.000000,-0.000310
9130.000000,-0.000382
9135.000000,-0.000151
9140.000000,-0.000299
9145.000000,-0.000099
9150.000000,-0.000048
9155.000000,-0.000170
9160.000000,-0.000263
9165.000000,-0.000354
9170.000000,-0.000327
9175.000000,0.000143
9180.000000,-0.000135
9185.000000,-0.000134
9190.000000,-0.000246
9195.000000,-0.000288
9200.000000,-0.000351
9205.000000,-0.000088
9210.000000,-0.000301
9215.000000,-0.000320
9220.000000,-0.000058
9225.000000,-0.000043
9230.000000,-0.000352
9235.000000,-0.000251
9240.000000,-0.000428
9245.000000,0.000151
9250.000000,-0.000277
9255.000000,-0.000222
9260.000000,-0.000180
9265.000000,-0.000119
9270.000000,-0.000129
9275.000000,-0.000167
9280.000000,-0.000194
9285.000000,-0.000125
9290.000000,-0.000028
9295.000000,-0.000179
9300.000000,-0.000140
9305.000000,-0.000112
9310.000000,-0.000296
9315.000000,-0.000202
9320.000000,-0.000091
9325.000000,-0.000187
9330.000000,-0.000072
9335.000000,-0.000647
9340.000000,-0.000218
9345.000000,-0.000269
9350.000000,-0.000092
9355.000000,-0.000265
9360.000000,-0.000263
9365.000000,-0.000017
9370.000000,-0.000395
9375.000000,-0.000274
9380.000000,-0.000271
9385.000000,-0.000153
9390.000000,-0.000198
9395.000000,-0.000117
9400.000000,0.000113
9405.000000,-0.000261
9410.000000,-0.000163
9415.000000,-0.000306
9420.000000,-0.000001
9425.000000,-0.000144
9430.000000,-0.000222
9435.000000,-0.000252
9440.000000,-0.000423
9445.000000,-0.000264
9450.000000,-0.000354
9455.000000,0.000031
9460.000000,-0.000151
9465.000000,0.000108
9470.000000,-0.000269
9475.000000,-0.000132
9480.000000,-0.000265
9485.000000,-0.000000
9490.000000,-0.000291
9495.000000,-0.000128
9500.000000,-0.000475
9505.000000,-0.000126
9510.000000,-0.000139
9515.000000,0.000118
9520.000000,-0.000179
9525.000000,-0.000234
9530.000000,-0.000121
9535.000000,-0.000064
9540.000000,-0.000201
9545.000000,-0.000378
9550.000000,-0.000225
9555.000000,-0.000013
9560.000000,-0.000195
9565.000000,-0.000200
9570.000000,-0.000232
9575.000000,-0.000191
9580.000000,-0.000092
9585.000000,-0.000209
9590.000000,-0.000186
9595.000000,-0.000017
9600.000000,-0.000197
9605.000000,-0.000144
9610.000000,0.000072
9615.000000,-0.000054
9620.000000,-0.000128
9625.000000,-0.000152
9630.000000,-0.000287
9635.000000,-0.000444
9640.000000,-0.000258
9645.000000,-0.000074
9650.000000,-0.000398
9655.000000,-0.000157
9660.000000,-0.000311
9665.000000,-0.000167
9670.000000,-0.000106
9675.000000,-0.000164
9680.000000,-0.000210
9685.000000,-0.000138
9690.000000,-0.000068
9695.000000,-0.000205
9700.000000,-0.000181
9705.000000,-0.000044
9710.000000,-0.000269
9715.000000,-0.000257
9720.000000,-0.000056
9725.000000,-0.000177
9730.000000,-0.000011
9735.000000,0.000045
9740.000000,-0.000233
9745.000000,-0.000152
9750.000000,-0.000174
9755.000000,-0.000066
9760.000000,-0.000095
9765.000000,-0.000347
9770.000000,-0.000193
9775.000000,-0.000051
9780.000000,-0.000180
9785.000000,-0.000032
9790.000000,-0.000243
9795.000000,-0.000028
9800.000000,-0.000295
9805.000000,-0.000053
9810.000000,-0.000170
9815.000000,-0.000238
9820.000000,-0.000184
9825.000000,-0.000246
9830.000000,0.000037
9835.000000,-0.000130
9840.000000,-0.000015
9845.000000,-0.000107
9850.000000,-0.000031
9855.000000,0.000079
9860.000000,-0.000105
9865.000000,-0.000071
9870.000000,0.000142
9875.000000,0.000118
9880.000000,0.000008
9885.000000,0.000168
9890.000000,0.000137
9895.000000,-0.000031
9900.000000,0.000246
9905.000000,0.000078
9910.000000,0.000068
9915.000000,0.000290
9920.000000,0.000270
9925.000000,0.000307
9930.000000,0.000267
9935.000000,0.000134
9940.000000,0.000048
9945.000000,0.000180
9950.000000,0.000151
9955.000000,0.000130
9960.000000,0.000169
9965.000000,0.000187
9970.000000,0.000103
9975.000000,0.000174
9980.000000,0.000073
9985.000000,0.000193
9990.000000,0.000084
9995.000000,0.000174
10000.000000,0.000039
10005.000000,0.000040
10010.000000,0.000195
10015.000000,0.000128
10020.000000,0.000158
10025.000000,0.000023
10030.000000,0.000171
10035.000000,0.000122
10040.000000,0.000187
10045.000000,0.000112
10050.000000,0.000180
10055.000000,0.000330
10060.000000,0.000134
10065.000000,0.000286
10070.000000,0.000329
10075.000000,0.000317
10080.000000,0.000393
10085.000000,0.000566
10090.000000,0.000431
10095.000000,0.000594
10100.000000,0.000568
10105.000000,0.000549
10110.000000,0.000490
10115.000000,0.000684
10120.000000,0.000641
10125.000000,0.000752
10130.000000,0.000974
10135.000000,0.000947
10140.000000,0.000880
10145.000000,0.001076
10150.000000,0.001168
10155.000000,0.001306
10160.000000,0.001247
10165.000000,0.001462
10170.000000,0.001541
10175.000000,0.001438
10180.000000,0.001601
10185.000000,0.001676
10190.000000,0.001764
10195.000000,0.001950
10200.000000,0.002209
10205.000000,0.002229
10210.000000,0.002424
10215.000000,0.002497
10220.000000,0.002384
10225.000000,0.002490
10230.000000,0.002655
10235.000000,0.002850
10240.000000,0.002879
10245.000000,0.003020
10250.000000,0.003160
10255.000000,0.003168
10260.000000,0.003270
10265.000000,0.003591
10270.000000,0.003461
10275.000000,0.003505
10280.000000,0.003787
10285.000000,0.003738
10290.000000,0.003880
10295.000000,0.004044
10300.000000,0.004103
10305.000000,0.004135
10310.000000,0.004274
10315.000000,0.004234
10320.000000,0.004372
10325.000000,0.004410
10330.000000,0.004659
10335.000000,0.004625
10340.000000,0.004677
10345.000000,0.004671
10350.000000,0.004686
10355.000000,0.004887
10360.000000,0.004893
10365.000000,0.004949
10370.000000,0.005014
10375.000000,0.005084
10380.000000,0.005145
10385.000000,0.005237
10390.000000,0.005325
10395.000000,0.005560
10400.000000,0.005588
10405.000000,0.005680
10410.000000,0.005733
10415.000000,0.005815
10420.000000,0.005929
10425.000000,0.006105
10430.000000,0.006180
10435.000000,0.006277
10440.000000,0.006559
10445.000000,0.006731
10450.000000,0.006692
10455.000000,0.007029
10460.000000,0.007232
10465.000000,0.007355
10470.000000,0.007631
10475.000000,0.007778
10480.000000,0.008057
10485.000000,0.008382
10490.000000,0.008716
10495.000000,0.008957
10500.000000,0.009308
10505.000000,0.009571
10510.000000,0.010095
10515.000000,0.010505
10520.000000,0.010993
10525.000000,0.011482
10530.000000,0.011896
10535.000000,0.012502
10540.000000,0.012865
10545.000000,0.013555
10550.000000,0.014262
