# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_NIC3_F215N
# NAME           	HST_NIC3_F215N
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
20497.998047,0.000000
20498.000000,-0.003707
20500.000000,-0.002998
20502.000000,0.000687
20504.000000,0.001080
20506.000000,0.001025
20508.000000,-0.000002
20510.000000,-0.000501
20512.000000,0.002550
20514.000000,0.001595
20516.000000,-0.001650
20518.000000,-0.001879
20520.000000,0.000226
20522.000000,-0.002216
20524.000000,-0.003209
20526.000000,-0.003093
20528.000000,-0.002412
20530.000000,-0.000174
20532.000000,-0.000971
20534.000000,0.000392
20536.000000,-0.000456
20538.000000,-0.001888
20540.000000,-0.003083
20542.000000,-0.001837
20544.000000,-0.000984
20546.000000,-0.002563
20548.000000,-0.001032
20550.000000,-0.000804
20552.000000,-0.002765
20554.000000,-0.001668
20556.000000,0.003675
20558.000000,0.000515
20560.000000,-0.003622
20562.000000,-0.000290
20564.000000,-0.001326
20566.000000,-0.001214
20568.000000,-0.001561
20570.000000,0.003260
20572.000000,0.002247
20574.000000,0.000345
20576.000000,0.000925
20578.000000,0.001383
20580.000000,0.001212
20582.000000,0.001778
20584.000000,-0.002553
20586.000000,0.000687
20588.000000,-0.002257
20590.000000,-0.001387
20592.000000,-0.002035
20594.000000,-0.000641
20596.000000,-0.004375
20598.000000,-0.002593
20600.000000,-0.000525
20602.000000,-0.001849
20604.000000,-0.001916
20606.000000,0.000350
20608.000000,0.001966
20610.000000,0.001268
20612.000000,-0.001048
20614.000000,-0.000349
20616.000000,0.000524
20618.000000,0.000343
20620.000000,-0.004365
20622.000000,0.000231
20624.000000,-0.000125
20626.000000,-0.004914
20628.000000,0.000933
20630.000000,-0.000291
20632.000000,0.001567
20634.000000,-0.000993
20636.000000,0.000879
20638.000000,-0.001872
20640.000000,0.000513
20642.000000,-0.001756
20644.000000,-0.000353
20646.000000,0.001758
20648.000000,0.000062
20650.000000,0.002130
20652.000000,-0.002937
20654.000000,0.000529
20656.000000,0.003327
20658.000000,-0.001351
20660.000000,-0.004382
20662.000000,-0.000875
20664.000000,0.002168
20666.000000,-0.001414
20668.000000,-0.000173
20670.000000,-0.000117
20672.000000,0.000054
20674.000000,-0.002667
20676.000000,-0.000355
20678.000000,-0.001592
20680.000000,-0.000288
20682.000000,0.000331
20684.000000,-0.006182
20686.000000,0.000232
20688.000000,-0.000663
20690.000000,0.000052
20692.000000,-0.002135
20694.000000,-0.002135
20696.000000,-0.001058
20698.000000,-0.001538
20700.000000,0.001064
20702.000000,0.000706
20704.000000,-0.001724
20706.000000,0.000001
20708.000000,0.000535
20710.000000,-0.000835
20712.000000,-0.001955
20714.000000,0.000890
20716.000000,0.000060
20718.000000,0.000772
