# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_NIC3_F222M
# NAME           	HST_NIC3_F222M
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
20497.998047,0.000000
20498.000000,0.009433
20500.000000,0.002440
20502.000000,0.003675
20504.000000,0.002642
20506.000000,0.004421
20508.000000,0.005596
20510.000000,0.006001
20512.000000,0.005950
20514.000000,0.004398
20516.000000,0.005766
20518.000000,0.006124
20520.000000,0.005943
20522.000000,0.003343
20524.000000,0.004280
20526.000000,0.004400
20528.000000,0.004436
20530.000000,0.004049
20532.000000,0.006792
20534.000000,0.003167
20536.000000,0.003035
20538.000000,0.004397
20540.000000,0.004637
20542.000000,0.004769
20544.000000,0.004401
20546.000000,0.008417
20548.000000,0.004942
20550.000000,0.007357
20552.000000,0.003715
20554.000000,0.004066
20556.000000,0.005670
20558.000000,0.006686
20560.000000,0.007237
20562.000000,0.006682
20564.000000,0.006159
20566.000000,0.006231
20568.000000,0.003193
20570.000000,0.002740
20572.000000,0.007261
20574.000000,0.006774
20576.000000,0.003901
20578.000000,0.007954
20580.000000,0.006613
20582.000000,0.005850
20584.000000,0.007042
20586.000000,0.000946
20588.000000,0.003756
20590.000000,0.005014
20592.000000,0.008137
20594.000000,0.008330
20596.000000,0.007996
20598.000000,0.003600
20600.000000,0.005710
20602.000000,0.006062
20604.000000,0.008879
20606.000000,0.007628
20608.000000,0.008132
20610.000000,0.002721
20612.000000,0.001490
20614.000000,0.006622
20616.000000,0.007382
20618.000000,0.008212
20620.000000,0.005401
20622.000000,0.005733
20624.000000,0.008734
20626.000000,0.009070
20628.000000,0.006815
20630.000000,0.004514
20632.000000,0.005220
20634.000000,0.006987
20636.000000,0.007510
20638.000000,0.004700
20640.000000,0.005091
20642.000000,0.005485
20644.000000,0.004184
20646.000000,0.010362
20648.000000,0.009468
20650.000000,0.008760
20652.000000,0.006315
20654.000000,0.006477
20656.000000,0.006307
20658.000000,0.007555
20660.000000,0.008277
20662.000000,0.010466
20664.000000,0.009549
20666.000000,0.006549
