# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_WFC3_F098M
# NAME           	HST_WFC3_F098M
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
6999.930664,0.000000
7000.930664,0.000000
7001.930664,0.000100
7051.943848,0.000100
7101.957520,0.000100
7151.970703,0.000100
7201.984375,0.000100
7251.998047,0.000100
7302.011230,0.000100
7352.024902,0.000100
7402.038086,0.000100
7452.051758,0.000100
7502.065430,0.000100
7552.078613,0.000100
7602.092285,0.000100
7652.105957,0.000100
7702.119141,0.000100
7752.132812,0.000100
7802.145996,0.000100
7952.186523,0.000100
8252.267578,0.000100
8302.281250,0.000100
8352.294922,0.000100
8452.322266,0.000100
8552.348633,0.000100
8602.362305,0.000300
8802.416016,0.000899
8812.418945,0.001139
8822.421875,0.001479
8832.424805,0.002019
8842.427734,0.002858
8852.429688,0.003798
8862.432617,0.005257
8872.435547,0.006716
8882.438477,0.009375
8892.440430,0.012830
8902.443359,0.017690
8912.446289,0.025090
8922.449219,0.035690
8932.452148,0.051480
8942.454102,0.074270
8952.457031,0.107100
8962.459961,0.154200
8972.462891,0.216400
8982.464844,0.297500
8992.467773,0.394900
9002.470703,0.503700
9012.473633,0.618100
9022.476562,0.724300
9032.478516,0.812900
9042.481445,0.881400
9052.484375,0.926100
9062.487305,0.951700
9072.489258,0.961800
9082.492188,0.963900
9092.495117,0.962900
9102.498047,0.960300
9112.500000,0.957500
9122.502930,0.955400
9132.505859,0.951200
9142.508789,0.948700
9152.510742,0.946400
9162.513672,0.944000
9172.516602,0.943400
9182.519531,0.942600
9192.522461,0.943700
9202.524414,0.943900
9212.527344,0.948200
9222.530273,0.952100
9232.533203,0.956300
9242.535156,0.961100
9252.538086,0.962500
9262.541016,0.964500
9272.543945,0.965800
9282.546875,0.966600
9292.548828,0.966900
9302.551758,0.966500
9312.554688,0.966200
9322.557617,0.967000
9332.559570,0.966500
9342.562500,0.967300
9352.565430,0.967400
9362.568359,0.968100
9372.570312,0.969400
9382.573242,0.970700
9392.576172,0.968600
9402.579102,0.968100
9412.582031,0.963300
9422.583984,0.958300
9432.586914,0.952700
9442.589844,0.947100
9452.592773,0.943100
9462.594727,0.941400
9472.597656,0.940800
9482.600586,0.943200
9492.603516,0.947800
9502.606445,0.952000
9512.608398,0.954100
9522.611328,0.955000
9532.614258,0.953900
9542.617188,0.950300
9552.619141,0.946100
9562.622070,0.941200
9572.625000,0.938800
9582.627930,0.936800
9592.630859,0.936100
9602.632812,0.935800
9612.635742,0.936600
9622.638672,0.936400
9632.641602,0.935100
9642.643555,0.933400
9652.646484,0.931300
9662.649414,0.930200
9672.652344,0.929900
9682.655273,0.930200
9692.657227,0.931600
9702.660156,0.933100
9712.663086,0.935900
9722.666016,0.937400
9732.667969,0.937400
9742.670898,0.937700
9752.673828,0.936800
9762.676758,0.937200
9772.679688,0.937200
9782.681641,0.939900
9792.684570,0.943800
9802.687500,0.948600
9812.690430,0.954700
9822.692383,0.959700
9832.695312,0.963100
9842.698242,0.965700
9852.701172,0.966800
9862.703125,0.966500
9872.706055,0.965500
9882.708984,0.963800
9892.711914,0.962700
9902.714844,0.960600
9912.716797,0.959800
9922.719727,0.956700
9932.722656,0.954500
9942.725586,0.951300
9952.727539,0.946900
9962.730469,0.942600
9972.733398,0.938500
9982.736328,0.935600
9992.739258,0.933500
10002.741211,0.933900
10012.744141,0.934000
10022.747070,0.934700
10032.750000,0.935900
10042.751953,0.933900
10052.754883,0.930400
10062.757812,0.925100
10072.759766,0.917600
10082.762695,0.908400
10092.765625,0.900300
10102.768555,0.895600
10112.771484,0.890900
10122.774414,0.889700
10132.777344,0.892100
10142.779297,0.895700
10152.782227,0.900600
10162.785156,0.904800
10172.788086,0.907600
10182.790039,0.906900
10192.792969,0.904200
10202.795898,0.898000
10212.797852,0.890400
10222.800781,0.883800
10232.803711,0.879700
10242.806641,0.878500
10252.808594,0.881300
10262.811523,0.889800
10272.815430,0.900000
10282.817383,0.913300
10292.820312,0.925800
10302.823242,0.937400
10312.826172,0.946400
10322.828125,0.952500
10332.831055,0.954200
10342.833984,0.954800
10352.835938,0.952500
10362.838867,0.950700
10372.841797,0.948600
10382.843750,0.948900
10392.846680,0.949900
10402.849609,0.950600
10412.852539,0.953400
10422.855469,0.954100
10432.858398,0.953000
10442.861328,0.951000
10452.863281,0.947200
10462.866211,0.941500
10472.869141,0.933700
10482.872070,0.926800
10492.874023,0.918000
10502.876953,0.909300
10512.879883,0.900800
10522.881836,0.893900
10532.884766,0.889900
10542.887695,0.889000
10552.890625,0.892000
10562.892578,0.896500
10572.896484,0.903100
10582.899414,0.910000
10592.901367,0.916500
10602.904297,0.922100
10612.907227,0.922300
10622.910156,0.918400
10632.912109,0.908100
10642.915039,0.888500
10652.917969,0.855500
10662.919922,0.804700
10672.922852,0.734700
10682.925781,0.649400
10692.928711,0.556400
10702.930664,0.462400
10712.933594,0.374400
10722.936523,0.300100
10732.939453,0.236300
10742.942383,0.184700
10752.945312,0.140800
10762.948242,0.106200
10772.950195,0.078330
10782.953125,0.057220
10792.956055,0.041200
10802.958008,0.030190
10812.960938,0.022590
10822.963867,0.016690
10832.966797,0.012790
10842.968750,0.010090
10852.971680,0.008196
10862.974609,0.006496
10872.976562,0.005497
10882.980469,0.004897
10892.983398,0.003898
10902.986328,0.003698
10912.988281,0.002838
10922.991211,0.002478
10932.994141,0.002019
10942.996094,0.001459
10952.999023,0.001199
10963.001953,0.000959
10973.004883,0.000719
10983.006836,0.000480
10993.009766,0.000340
11003.012695,0.000400
11013.014648,0.000200
11153.052734,0.000100
11253.080078,0.000300
11903.256836,0.000200
11953.269531,0.000200
12003.284180,0.000100
12053.297852,0.000100
13003.555664,0.000100
13403.664062,0.000100
14203.881836,0.000100
14553.976562,0.000300
14704.017578,0.000200
15254.166992,0.000100
15354.194336,0.000100
15754.302734,0.000100
16004.371094,0.000100
16104.398438,0.000100
16204.425781,0.000100
16954.630859,0.000100
19005.187500,0.000100
19605.351562,0.000100
19606.351562,0.000000
19607.351562,0.000000
