# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_WFC3_F128N
# NAME           	HST_WFC3_F128N
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
6999.930664,0.000000
7000.930664,0.000000
7001.930664,0.000100
7051.943848,0.000100
7101.957520,0.000100
7151.970703,0.000100
7201.984375,0.000100
7251.998047,0.000200
7302.011230,0.000200
7352.024902,0.000200
7402.038086,0.000300
7452.051758,0.000500
7502.065430,0.000999
7552.078613,0.001598
7602.092285,0.004394
7652.105957,0.004792
7702.119141,0.019780
7752.132812,0.004996
7802.145996,0.000300
7852.159668,0.000100
7902.173340,0.000100
7952.186523,0.000200
8002.200195,0.000100
8052.213867,0.000100
8102.227539,0.000100
8152.240723,0.000100
8202.253906,0.000100
8252.267578,0.000200
8302.281250,0.000200
8352.294922,0.000100
8402.308594,0.000100
8452.322266,0.000200
8502.334961,0.000100
8552.348633,0.000200
8602.362305,0.000699
8702.389648,0.000100
8752.403320,0.000300
8802.416016,0.000200
8852.429688,0.000200
8902.443359,0.000400
9052.484375,0.000600
9102.498047,0.000400
9152.510742,0.000200
9202.524414,0.000400
9252.538086,0.000200
9302.551758,0.000300
9352.565430,0.000699
9402.579102,0.000100
9452.592773,0.000100
9502.606445,0.000200
9552.619141,0.000100
9602.632812,0.000200
9652.646484,0.000200
9752.673828,0.000200
9852.701172,0.000500
9952.727539,0.000200
10102.768555,0.000599
10152.782227,0.000599
10202.795898,0.000500
10252.808594,0.000300
10302.823242,0.000100
10352.835938,0.000200
10452.863281,0.000400
10552.890625,0.000200
10702.930664,0.000600
10802.958008,0.000100
10852.971680,0.000200
10902.986328,0.000100
10952.999023,0.000300
11003.012695,0.000100
11103.040039,0.000300
11153.052734,0.000100
11203.067383,0.000300
11253.080078,0.000500
11353.108398,0.000300
11453.134766,0.000100
11503.148438,0.000200
11553.162109,0.000200
11653.189453,0.000400
11703.203125,0.000300
11803.230469,0.000500
11853.243164,0.000300
11903.256836,0.000100
11953.269531,0.000200
12003.284180,0.000300
12053.297852,0.000300
12103.310547,0.000100
12153.325195,0.000100
12203.337891,0.000600
12353.378906,0.000400
12453.406250,0.000200
12503.419922,0.000600
12553.432617,0.000400
12603.447266,0.000600
12653.460938,0.000300
12701.473633,0.000995
12703.473633,0.000799
12705.474609,0.000896
12707.474609,0.001291
12709.475586,0.000987
12711.475586,0.001283
12713.476562,0.001679
12715.476562,0.002275
12717.477539,0.002271
12719.478516,0.002467
12721.478516,0.003262
12723.480469,0.004458
12725.480469,0.005753
12727.481445,0.007049
12729.481445,0.009444
12731.482422,0.012640
12733.482422,0.017230
12735.483398,0.023630
12737.483398,0.032220
12739.484375,0.044010
12741.484375,0.060000
12743.485352,0.082590
12745.486328,0.113900
12747.486328,0.152500
12749.487305,0.203200
12751.487305,0.261000
12753.488281,0.330000
12755.488281,0.404600
12757.489258,0.484600
12759.489258,0.563600
12761.490234,0.640000
12763.490234,0.705000
12765.491211,0.763300
12767.492188,0.810400
12769.492188,0.849300
12771.493164,0.878600
12773.493164,0.900100
12775.494141,0.913700
12777.494141,0.923400
12779.495117,0.929700
12781.495117,0.933700
12783.496094,0.936800
12785.496094,0.938900
12787.497070,0.940400
12789.498047,0.940500
12791.498047,0.939900
12793.499023,0.938900
12795.499023,0.936600
12797.500000,0.934500
12799.500000,0.931600
12801.500977,0.928900
12803.500977,0.925700
12805.501953,0.922900
12807.501953,0.921000
12809.502930,0.919000
12811.503906,0.917500
12813.503906,0.915500
12815.504883,0.914600
12817.504883,0.913300
12819.505859,0.912000
12821.505859,0.910700
12823.506836,0.909600
12825.506836,0.909100
12827.507812,0.907900
12829.507812,0.906800
12831.508789,0.905800
12833.508789,0.904900
12835.509766,0.904000
12837.510742,0.902800
12839.510742,0.901000
12841.511719,0.899800
12843.511719,0.898900
12845.512695,0.898000
12847.512695,0.897000
12849.513672,0.896100
12851.513672,0.894100
12853.514648,0.893200
12855.514648,0.892300
12857.515625,0.891800
12859.516602,0.891200
12861.516602,0.890400
12863.517578,0.888900
12865.517578,0.888000
12867.518555,0.886700
12869.518555,0.885900
12871.519531,0.885400
12873.519531,0.884200
12875.521484,0.882500
12877.521484,0.881400
12879.522461,0.880900
12881.523438,0.880300
12883.523438,0.880700
12885.524414,0.881300
12887.524414,0.882300
12889.525391,0.883900
12891.525391,0.886300
12893.526367,0.888600
12895.526367,0.889500
12897.527344,0.887900
12899.527344,0.882900
12901.528320,0.873000
12903.528320,0.853600
12905.529297,0.826100
12907.530273,0.784000
12909.530273,0.734500
12911.531250,0.669800
12913.531250,0.602000
12915.532227,0.525000
12917.532227,0.449600
12919.533203,0.373000
12921.533203,0.306500
12923.534180,0.243000
12925.534180,0.191200
12927.535156,0.146300
12929.536133,0.111600
12931.536133,0.082570
12933.537109,0.062180
12935.537109,0.046290
12937.538086,0.035090
12939.538086,0.026190
12941.539062,0.019790
12943.539062,0.015290
12945.540039,0.012100
12947.540039,0.009396
12949.541016,0.007297
12951.541992,0.005898
12953.541992,0.004698
12955.542969,0.003710
12957.542969,0.002923
12959.543945,0.002335
12961.543945,0.002047
12963.544922,0.001859
12965.544922,0.001771
12967.545898,0.001583
12969.545898,0.000896
12971.546875,0.001307
12973.547852,0.001519
12975.547852,0.001131
12977.548828,0.000744
12979.548828,0.000955
12981.549805,0.000568
12983.549805,0.000579
12985.550781,0.000991
12987.550781,0.000603
12989.551758,0.000615
12991.551758,0.000927
13003.555664,0.000799
13053.569336,0.000200
13203.610352,0.000500
13303.636719,0.000200
13403.664062,0.000300
13653.732422,0.000300
13703.746094,0.000100
13803.773438,0.000200
13903.799805,0.000100
13953.814453,0.000200
14003.827148,0.000100
14053.840820,0.000200
14103.855469,0.000200
14153.868164,0.000100
14203.881836,0.000100
14253.894531,0.000200
14303.909180,0.000400
14553.976562,0.000100
14603.991211,0.000100
14704.017578,0.000400
14754.031250,0.000200
14804.044922,0.000400
14854.057617,0.000300
14954.085938,0.000200
15004.098633,0.000100
15054.113281,0.000200
15154.139648,0.000200
15204.154297,0.000100
15254.166992,0.000100
15304.180664,0.000200
15354.194336,0.000500
15454.221680,0.000300
15554.249023,0.000500
15604.261719,0.000100
15704.290039,0.000300
15754.302734,0.000100
15804.317383,0.000400
15854.330078,0.000200
15954.358398,0.000100
16004.371094,0.000400
16054.384766,0.000200
16104.398438,0.000700
