# WAVELENGTH_UNIT	AA
# COMPNAME       	HST_WFC3_F606W
# NAME           	HST_WFC3_F606W
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
1998.648193,0.000000
1999.648193,0.000000
2000.648193,0.000000
2020.651733,0.000000
2040.655273,0.000000
2080.662842,0.000000
2100.666748,0.000000
2120.670654,0.000000
2140.674561,0.000000
2160.678711,0.000000
2180.682861,0.000000
2200.687012,0.000000
2220.691162,0.000000
2240.695312,0.000000
2280.704102,0.000000
2300.708496,0.000000
2340.717285,0.000000
2360.721680,0.000000
2420.735107,0.000000
2440.739746,0.000000
2460.744385,0.000000
2480.749023,0.000000
2500.753662,0.000000
2520.758301,0.000000
2560.767578,0.000000
2600.777100,0.000000
2640.786621,0.000000
2660.791504,0.000000
2700.801025,0.000000
2760.815674,0.000000
2780.820312,0.000000
2840.835205,0.000000
2860.840088,0.000000
2900.849854,0.000000
2920.854736,0.000000
2960.864746,0.000000
2980.869629,0.000000
3020.879639,0.000000
3040.884766,0.000000
3060.889648,0.000000
3100.899658,0.000000
3120.904785,0.000000
3140.909912,0.000000
3160.914795,0.000000
3180.919922,0.000000
3260.940186,0.000000
3280.945312,0.000000
3300.950195,0.000000
3320.955322,0.000000
3340.960449,0.000000
3380.970703,0.000000
3400.975830,0.000000
3420.980957,0.000000
3440.986084,0.000000
3460.991211,0.000000
3480.996338,0.000000
3561.016846,0.000000
3581.021973,0.000000
3601.027100,0.000000
3641.037598,0.000000
3661.042480,0.000000
3681.047852,0.000000
3801.078857,0.000000
3821.083984,0.000000
3841.089355,0.000000
3861.094482,0.000000
3881.099609,0.000001
3941.115479,0.000001
3961.120605,0.000001
3981.125732,0.000001
4001.131104,0.000001
4021.136230,0.000001
4041.141602,0.000001
4061.146729,0.000001
4081.151855,0.000001
4101.157227,0.000002
4121.162598,0.000002
4141.167480,0.000002
4161.172852,0.000002
4181.178223,0.000002
4201.183594,0.000003
4221.188477,0.000003
4241.193848,0.000003
4261.199219,0.000004
4281.204590,0.000005
4301.209473,0.000006
4321.214844,0.000006
4341.220215,0.000007
4361.225586,0.000009
4381.230469,0.000011
4401.235840,0.000013
4421.241211,0.000016
4441.246582,0.000018
4461.251953,0.000022
4481.257324,0.000036
4501.262207,0.000048
4521.267578,0.000056
4531.270508,0.000047
4541.272949,0.000108
4551.275391,0.000146
4561.278320,0.000131
4571.280762,0.000129
4581.283691,0.000236
4591.286133,0.000382
4601.288574,0.000409
4611.291504,0.000417
4621.293945,0.000458
4631.296875,0.000615
4641.299316,0.001118
4651.301758,0.002084
4661.304688,0.002905
4671.307129,0.003559
4681.310059,0.004849
4691.312500,0.007368
4701.315430,0.010406
4711.317871,0.012870
4721.320312,0.016799
4731.323242,0.027839
4741.325684,0.058351
4751.328613,0.118862
4761.331055,0.173230
4771.333984,0.207872
4781.336426,0.288020
4791.338867,0.469084
4801.341797,0.721132
4811.344238,0.891158
4821.347168,0.950595
4831.349609,0.965228
4841.352539,0.951723
4851.354980,0.937566
4861.357422,0.949538
4871.360352,0.971040
4881.362793,0.964413
4891.365723,0.932004
4901.368164,0.905458
4911.371094,0.902375
4921.373535,0.916826
4931.375977,0.936590
4941.378906,0.957295
4951.381348,0.972411
4961.384277,0.974609
4971.386719,0.961277
4981.389648,0.944989
4991.392090,0.941834
5001.395020,0.955920
5011.397461,0.972645
5021.399902,0.973750
5031.402832,0.952261
5041.405273,0.921434
5051.408203,0.898020
5061.410645,0.890747
5071.413574,0.898559
5081.416016,0.913321
5091.418945,0.927364
5101.421387,0.934536
5111.424316,0.937756
5121.426758,0.941971
5131.429199,0.951722
5141.432129,0.962900
5151.434570,0.966526
5161.437500,0.955049
5171.439941,0.932256
5181.442871,0.911540
5191.445312,0.904270
5201.448242,0.916183
5211.450684,0.941363
5221.453613,0.967433
5231.456055,0.982436
5241.458496,0.983307
5251.461426,0.975519
5261.463867,0.966653
5271.466797,0.960592
5281.469238,0.956919
5291.472168,0.953452
5301.474609,0.949213
5311.477539,0.946148
5321.479980,0.946337
5331.482910,0.952075
5341.485352,0.961439
5351.487793,0.972468
5361.490723,0.981981
5371.493164,0.987499
5381.496094,0.988789
5391.498535,0.985673
5401.501465,0.980016
5411.503906,0.972721
5421.506836,0.964178
5431.509277,0.955726
5441.512207,0.948843
5451.514648,0.944465
5461.517578,0.944182
5471.520020,0.948552
5481.522461,0.957286
5491.525391,0.968335
5501.527832,0.979192
5511.530762,0.986935
5521.533203,0.989105
5531.536133,0.985426
5541.538574,0.976845
5551.541504,0.966131
5561.543945,0.954842
5571.546875,0.945038
5581.549316,0.938247
5591.552246,0.935349
5601.554688,0.937345
5611.557617,0.944126
5621.560059,0.954673
5631.562988,0.966831
5641.565430,0.977916
5651.567871,0.984702
5661.570801,0.985580
5671.573730,0.981286
5681.576172,0.973127
5691.578613,0.964200
5701.581543,0.956544
5711.583984,0.951256
5721.586914,0.948130
5731.589355,0.946276
5741.592285,0.945521
5751.594727,0.945757
5761.597656,0.947485
5771.600098,0.951634
5781.603027,0.958879
5791.605469,0.968507
5801.608398,0.978505
5811.610840,0.986148
5821.613770,0.988674
5831.616211,0.984553
5841.619141,0.974480
5851.621582,0.961344
5861.624512,0.948745
5871.626953,0.939327
5881.629883,0.934811
5891.632324,0.935498
5901.634766,0.939618
5911.637695,0.946152
5921.640625,0.953380
5931.643066,0.960019
5941.645508,0.966025
5951.648438,0.971420
5961.650879,0.976470
5971.653809,0.981493
5981.656738,0.985679
5991.659180,0.987829
