# NAME           	KEPLER_Kp
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	KEPLER_Kp
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.480000000000000000e+03,1.119999999999999983e-04
3.490000000000000000e+03,1.510000000000000112e-04
3.500000000000000000e+03,1.579999999999999916e-04
3.510000000000000000e+03,1.930000000000000021e-04
3.520000000000000000e+03,2.269999999999999882e-04
3.530000000000000000e+03,2.339999999999999958e-04
3.540000000000000000e+03,2.169999999999999891e-04
3.550000000000000000e+03,2.300000000000000070e-04
3.560000000000000000e+03,2.779999999999999811e-04
3.570000000000000000e+03,3.289999999999999739e-04
3.580000000000000000e+03,3.809999999999999910e-04
3.590000000000000000e+03,4.240000000000000062e-04
3.600000000000000000e+03,4.539999999999999765e-04
3.610000000000000000e+03,5.000000000000000104e-04
3.620000000000000000e+03,5.490000000000000088e-04
3.630000000000000000e+03,6.070000000000000092e-04
3.640000000000000000e+03,6.790000000000000245e-04
3.650000000000000000e+03,7.410000000000000137e-04
3.660000000000000000e+03,7.889999999999999878e-04
3.670000000000000000e+03,8.319999999999999488e-04
3.680000000000000000e+03,8.639999999999999677e-04
3.690000000000000000e+03,8.899999999999999491e-04
3.700000000000000000e+03,9.079999999999999530e-04
3.710000000000000000e+03,9.259999999999999568e-04
3.720000000000000000e+03,9.370000000000000074e-04
3.730000000000000000e+03,9.370000000000000074e-04
3.740000000000000000e+03,9.399999999999999719e-04
3.750000000000000000e+03,1.000000000000000021e-03
3.760000000000000000e+03,9.909999999999999105e-04
3.770000000000000000e+03,9.870000000000000301e-04
3.780000000000000000e+03,9.740000000000000394e-04
3.790000000000000000e+03,9.520000000000000467e-04
3.800000000000000000e+03,9.259999999999999568e-04
3.810000000000000000e+03,9.039999999999999642e-04
3.820000000000000000e+03,8.729999999999999696e-04
3.830000000000000000e+03,8.390000000000000105e-04
3.840000000000000000e+03,8.059999999999999673e-04
3.850000000000000000e+03,7.770000000000000214e-04
3.860000000000000000e+03,7.380000000000000492e-04
3.870000000000000000e+03,6.999999999999999929e-04
3.880000000000000000e+03,6.610000000000000207e-04
3.890000000000000000e+03,6.170000000000000354e-04
3.900000000000000000e+03,5.829999999999999679e-04
3.910000000000000000e+03,5.559999999999999621e-04
3.920000000000000000e+03,5.360000000000000181e-04
3.930000000000000000e+03,5.000000000000000104e-04
3.940000000000000000e+03,4.510000000000000120e-04
3.950000000000000000e+03,3.980000000000000248e-04
3.960000000000000000e+03,3.699999999999999947e-04
3.970000000000000000e+03,3.789999999999999966e-04
3.980000000000000000e+03,4.000000000000000192e-04
3.990000000000000000e+03,4.139999999999999800e-04
4.000000000000000000e+03,3.950000000000000061e-04
4.010000000000000000e+03,3.420000000000000188e-04
4.020000000000000000e+03,2.970000000000000092e-04
4.030000000000000000e+03,2.849999999999999886e-04
4.040000000000000000e+03,3.310000000000000225e-04
4.050000000000000000e+03,3.980000000000000248e-04
4.060000000000000000e+03,4.670000000000000214e-04
4.070000000000000000e+03,5.119999999999999768e-04
4.080000000000000000e+03,5.379999999999999583e-04
4.090000000000000000e+03,5.779999999999999548e-04
4.100000000000000000e+03,6.909999999999999910e-04
4.110000000000000000e+03,9.659999999999999533e-04
4.120000000000000000e+03,1.441000000000000007e-03
4.130000000000000000e+03,2.082000000000000083e-03
4.140000000000000000e+03,2.756000000000000203e-03
4.150000000000000000e+03,3.376999999999999794e-03
4.160000000000000000e+03,3.994000000000000154e-03
4.170000000000000000e+03,4.841999999999999950e-03
4.180000000000000000e+03,6.326000000000000026e-03
4.190000000000000000e+03,8.847999999999999962e-03
4.200000000000000000e+03,1.277999999999999969e-02
4.210000000000000000e+03,1.821000000000000049e-02
4.220000000000000000e+03,2.506999999999999854e-02
4.230000000000000000e+03,3.332000000000000239e-02
4.240000000000000000e+03,4.333000000000000046e-02
4.250000000000000000e+03,5.630000000000000282e-02
4.260000000000000000e+03,7.320999999999999730e-02
4.270000000000000000e+03,9.460999999999999965e-02
4.280000000000000000e+03,1.204999999999999960e-01
4.290000000000000000e+03,1.501000000000000112e-01
4.300000000000000000e+03,1.814999999999999947e-01
4.310000000000000000e+03,2.124999999999999944e-01
4.320000000000000000e+03,2.416999999999999982e-01
4.330000000000000000e+03,2.703999999999999737e-01
4.340000000000000000e+03,2.988000000000000100e-01
4.350000000000000000e+03,3.281999999999999917e-01
4.360000000000000000e+03,3.558999999999999941e-01
4.370000000000000000e+03,3.810999999999999943e-01
4.380000000000000000e+03,4.020000000000000240e-01
4.390000000000000000e+03,4.173000000000000043e-01
4.400000000000000000e+03,4.278000000000000136e-01
4.410000000000000000e+03,4.359999999999999987e-01
4.420000000000000000e+03,4.409000000000000141e-01
4.430000000000000000e+03,4.450000000000000067e-01
4.440000000000000000e+03,4.486999999999999877e-01
4.450000000000000000e+03,4.519000000000000239e-01
4.460000000000000000e+03,4.552999999999999825e-01
4.470000000000000000e+03,4.585000000000000187e-01
4.480000000000000000e+03,4.616999999999999993e-01
4.490000000000000000e+03,4.637999999999999901e-01
4.500000000000000000e+03,4.647999999999999909e-01
4.510000000000000000e+03,4.656000000000000139e-01
4.520000000000000000e+03,4.668999999999999817e-01
4.530000000000000000e+03,4.685000000000000275e-01
4.540000000000000000e+03,4.724999999999999756e-01
4.550000000000000000e+03,4.777000000000000135e-01
4.560000000000000000e+03,4.843000000000000083e-01
4.570000000000000000e+03,4.912000000000000255e-01
4.580000000000000000e+03,4.965999999999999859e-01
4.590000000000000000e+03,5.001999999999999780e-01
4.600000000000000000e+03,5.022999999999999687e-01
4.610000000000000000e+03,5.022999999999999687e-01
4.620000000000000000e+03,5.014999999999999458e-01
4.630000000000000000e+03,5.010000000000000009e-01
4.640000000000000000e+03,5.020999999999999908e-01
4.650000000000000000e+03,5.041999999999999815e-01
4.660000000000000000e+03,5.087000000000000410e-01
4.670000000000000000e+03,5.149000000000000243e-01
4.680000000000000000e+03,5.217000000000000526e-01
4.690000000000000000e+03,5.283999999999999808e-01
4.700000000000000000e+03,5.334999999999999742e-01
