# WAVELENGTH_UNIT	AA
# COMPNAME       	SPITZER_IRAC_58
# NAME           	SPITZER_IRAC_58
# DETECTOR       	photon
#
## WAVELENGTH	None	AA
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
46260.000000,0.000000
46300.000000,0.000065
46340.000000,0.000070
46380.000000,0.000079
46420.000000,0.000091
46460.000000,0.000100
46510.000000,0.000105
46550.000000,0.000103
46590.000000,0.000100
46630.000000,0.000091
46670.000000,0.000073
46720.000000,0.000064
46760.000000,0.000074
46800.000000,0.000078
46840.000000,0.000070
46880.000000,0.000065
46930.000000,0.000071
46970.000000,0.000079
47010.000000,0.000072
47060.000000,0.000050
47100.000000,0.000024
47140.000000,0.000005
47180.000000,0.000010
47230.000000,0.000022
47270.000000,0.000014
47310.000000,0.000072
47360.000000,0.000075
47400.000000,0.000065
47440.000000,0.000046
47490.000000,0.000036
47530.000000,0.000029
47570.000000,0.000031
47620.000000,0.000068
47660.000000,0.000077
47700.000000,0.000091
47750.000000,0.000101
47790.000000,0.000103
47840.000000,0.000103
47880.000000,0.000108
47920.000000,0.000103
47970.000000,0.000089
48010.000000,0.000077
48060.000000,0.000074
48100.000000,0.000068
48150.000000,0.000067
48190.000000,0.000074
48240.000000,0.000075
48280.000000,0.000064
48330.000000,0.000054
48370.000000,0.000057
48420.000000,0.000066
48460.000000,0.000081
48510.000000,0.000106
48550.000000,0.000127
48600.000000,0.000132
48640.000000,0.000118
48690.000000,0.000088
48740.000000,0.000057
48780.000000,0.000040
48830.000000,0.000064
48870.000000,0.000123
48920.000000,0.000200
48970.000000,0.000290
49010.000000,0.000418
49060.000000,0.000582
49100.000000,0.000047
49150.000000,0.000160
49200.000000,0.000351
49240.000000,0.000669
49290.000000,0.001159
49340.000000,0.001900
49390.000000,0.003030
49430.000000,0.004231
49480.000000,0.006523
49530.000000,0.009625
49570.000000,0.013520
49620.000000,0.018150
49670.000000,0.023320
49720.000000,0.028810
49760.000000,0.034550
49810.000000,0.040360
49860.000000,0.046150
49910.000000,0.051910
49960.000000,0.057520
50000.000000,0.063040
50050.000000,0.068450
50100.000000,0.073600
50150.000000,0.078550
50200.000000,0.083160
50250.000000,0.087200
50300.000000,0.090530
50340.000000,0.092920
50390.000000,0.094310
50440.000000,0.094720
50490.000000,0.094310
50540.000000,0.093580
50590.000000,0.092840
50640.000000,0.092490
50690.000000,0.092930
50740.000000,0.094190
50790.000000,0.096370
50840.000000,0.099370
50890.000000,0.102800
50940.000000,0.106500
50990.000000,0.110100
51040.000000,0.113500
51090.000000,0.116300
51140.000000,0.118500
51190.000000,0.120200
51240.000000,0.121300
51290.000000,0.121800
51340.000000,0.122000
51390.000000,0.121800
51440.000000,0.121600
51490.000000,0.121200
51550.000000,0.120600
51600.000000,0.120100
51650.000000,0.119700
51700.000000,0.119200
51750.000000,0.118900
51800.000000,0.118700
51850.000000,0.118600
51910.000000,0.118800
51960.000000,0.119400
52010.000000,0.120400
52060.000000,0.121700
52120.000000,0.123500
52170.000000,0.125500
52220.000000,0.127700
52270.000000,0.129700
52330.000000,0.131600
52380.000000,0.133400
52430.000000,0.134500
52480.000000,0.135000
52540.000000,0.135100
52590.000000,0.134600
52640.000000,0.133600
52700.000000,0.132300
52750.000000,0.130700
52810.000000,0.128600
52860.000000,0.126500
52910.000000,0.124900
52970.000000,0.123300
53020.000000,0.122200
53080.000000,0.122100
53130.000000,0.122700
53180.000000,0.124100
53240.000000,0.126100
53290.000000,0.128600
53350.000000,0.131400
53400.000000,0.134000
53460.000000,0.136600
53510.000000,0.138800
53570.000000,0.140200
53620.000000,0.141200
53680.000000,0.142000
53740.000000,0.142500
53790.000000,0.142800
53850.000000,0.143200
53900.000000,0.143600
53960.000000,0.143600
54020.000000,0.143600
54070.000000,0.143600
54130.000000,0.143300
54180.000000,0.143300
54240.000000,0.143000
