# NAME           	STROMGREN_b
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	STROMGREN_b
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
4.275000000000000000e+03,0.000000000000000000e+00
4.300000000000000000e+03,1.000000000000000021e-02
4.325000000000000000e+03,1.000000000000000021e-02
4.350000000000000000e+03,1.000000000000000021e-02
4.375000000000000000e+03,1.000000000000000021e-02
4.400000000000000000e+03,1.000000000000000021e-02
4.425000000000000000e+03,2.000000000000000042e-02
4.450000000000000000e+03,2.000000000000000042e-02
4.475000000000000000e+03,2.999999999999999889e-02
4.500000000000000000e+03,5.000000000000000278e-02
4.525000000000000000e+03,8.000000000000000167e-02
4.550000000000000000e+03,1.300000000000000044e-01
4.575000000000000000e+03,2.099999999999999922e-01
4.600000000000000000e+03,3.099999999999999978e-01
4.625000000000000000e+03,4.099999999999999756e-01
4.650000000000000000e+03,4.600000000000000200e-01
4.675000000000000000e+03,4.799999999999999822e-01
4.700000000000000000e+03,4.600000000000000200e-01
4.725000000000000000e+03,3.900000000000000133e-01
4.750000000000000000e+03,2.899999999999999800e-01
4.775000000000000000e+03,1.900000000000000022e-01
4.800000000000000000e+03,1.100000000000000006e-01
4.825000000000000000e+03,7.000000000000000666e-02
4.850000000000000000e+03,4.000000000000000083e-02
4.875000000000000000e+03,2.999999999999999889e-02
4.900000000000000000e+03,2.000000000000000042e-02
4.925000000000000000e+03,1.000000000000000021e-02
4.950000000000000000e+03,1.000000000000000021e-02
4.975000000000000000e+03,1.000000000000000021e-02
5.000000000000000000e+03,0.000000000000000000e+00
