# NAME           	STROMGREN_v
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	STROMGREN_v
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.675000000000000000e+03,0.000000000000000000e+00
3.700000000000000000e+03,1.000000000000000021e-02
3.725000000000000000e+03,1.000000000000000021e-02
3.750000000000000000e+03,1.000000000000000021e-02
3.775000000000000000e+03,1.000000000000000021e-02
3.800000000000000000e+03,1.000000000000000021e-02
3.825000000000000000e+03,1.000000000000000021e-02
3.850000000000000000e+03,2.000000000000000042e-02
3.875000000000000000e+03,2.000000000000000042e-02
3.900000000000000000e+03,2.999999999999999889e-02
3.925000000000000000e+03,5.000000000000000278e-02
3.950000000000000000e+03,7.000000000000000666e-02
3.975000000000000000e+03,1.300000000000000044e-01
4.000000000000000000e+03,2.099999999999999922e-01
4.025000000000000000e+03,3.099999999999999978e-01
4.050000000000000000e+03,4.099999999999999756e-01
4.075000000000000000e+03,4.699999999999999734e-01
4.100000000000000000e+03,4.899999999999999911e-01
4.125000000000000000e+03,4.799999999999999822e-01
4.150000000000000000e+03,4.400000000000000022e-01
4.175000000000000000e+03,3.699999999999999956e-01
4.200000000000000000e+03,2.800000000000000266e-01
4.225000000000000000e+03,1.799999999999999933e-01
4.250000000000000000e+03,1.199999999999999956e-01
4.275000000000000000e+03,8.000000000000000167e-02
4.300000000000000000e+03,5.000000000000000278e-02
4.325000000000000000e+03,2.999999999999999889e-02
4.350000000000000000e+03,2.000000000000000042e-02
4.375000000000000000e+03,2.000000000000000042e-02
4.400000000000000000e+03,1.000000000000000021e-02
4.425000000000000000e+03,1.000000000000000021e-02
4.450000000000000000e+03,1.000000000000000021e-02
4.475000000000000000e+03,1.000000000000000021e-02
4.500000000000000000e+03,1.000000000000000021e-02
4.525000000000000000e+03,0.000000000000000000e+00
