# NAME           	STROMGREN_y
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	STROMGREN_y
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
5.125000000000000000e+03,0.000000000000000000e+00
5.150000000000000000e+03,1.000000000000000021e-02
5.175000000000000000e+03,1.000000000000000021e-02
5.200000000000000000e+03,2.000000000000000042e-02
5.225000000000000000e+03,2.999999999999999889e-02
5.250000000000000000e+03,4.000000000000000083e-02
5.275000000000000000e+03,5.999999999999999778e-02
5.300000000000000000e+03,1.000000000000000056e-01
5.325000000000000000e+03,1.499999999999999944e-01
5.350000000000000000e+03,2.300000000000000100e-01
5.375000000000000000e+03,3.300000000000000155e-01
5.400000000000000000e+03,4.099999999999999756e-01
5.425000000000000000e+03,4.600000000000000200e-01
5.450000000000000000e+03,4.799999999999999822e-01
5.475000000000000000e+03,5.000000000000000000e-01
5.500000000000000000e+03,5.300000000000000266e-01
5.525000000000000000e+03,5.200000000000000178e-01
5.550000000000000000e+03,4.600000000000000200e-01
5.575000000000000000e+03,3.499999999999999778e-01
5.600000000000000000e+03,2.399999999999999911e-01
5.625000000000000000e+03,1.600000000000000033e-01
5.650000000000000000e+03,1.000000000000000056e-01
5.675000000000000000e+03,5.999999999999999778e-02
5.700000000000000000e+03,4.000000000000000083e-02
5.725000000000000000e+03,2.999999999999999889e-02
5.750000000000000000e+03,2.000000000000000042e-02
5.775000000000000000e+03,1.000000000000000021e-02
5.800000000000000000e+03,1.000000000000000021e-02
5.825000000000000000e+03,1.000000000000000021e-02
5.850000000000000000e+03,0.000000000000000000e+00
